Aromanian	Québécois French	probability
f	f	1.0
o̯ˈa	ɥ	1.0
v	v	1.0
ç	f	1.0
ŋ	-	1.0
ɲ	m	1.0
i	ẽɪ̯̃	0.131
i	-	0.331
l	oʊ̯	0.311
m	-	0.321
s	-	0.221
ˈo	œ	0.591
ˈɨ	-	0.831
d	-	0.522
j	-	0.102
l	l	0.682
n	-	0.52
u	u	0.592
ɡ	-	0.842
ʃ	-	0.472
ʤ	-	0.712
ˈu	-	0.182
ˈu	y	0.32
b	-	0.073
e̯ˈa	ɛ	0.513
i	œ	0.073
ʣ	-	0.423
ˈo	u	0.183
k	k	0.454
p	-	0.344
t	t	0.264
w	-	0.334
ə	æɛ̯	0.644
ʦ	s	0.414
ˈu	w	0.054
e̯ˈa	w_ɛ	0.35
i	i	0.305
ʎ	l	0.75
ˈa	e	0.055
ˈe	ɛ	0.495
ˈe	w_ɛ	0.505
ˈi	-	0.255
e̯ˈa	æɛ̯	0.136
i	e	0.16
p	p	0.656
r	-	0.286
r	ʁ	0.436
t	-	0.736
w	f	0.666
ə	-	0.356
ʦ	-	0.586
ˈo	ɑɔ̯	0.226
ˈu	ɒ̃ʊ̯̃	0.166
b	b	0.927
k	ʃ	0.167
ʣ	ʒ	0.577
ˈa	a	0.07
ˈi	i	0.517
d	d	0.478
j	v	0.898
k	p	0.08
n	n	0.48
r	l	0.278
u	-	0.408
ɡ	ɡ	0.158
ʃ	s	0.528
ʤ	ʒ	0.288
ˈa	æɛ̯	0.468
ˈi	ɪ	0.228
ˈu	u	0.278
k	-	0.299
m	m	0.679
s	s	0.779
ʎ	j	0.229
ˈa	ɛ	0.169
ˈa	-	0.239
ˈɨ	ẽɪ̯̃	0.169
