Alsatian	Insular North Frisian	probability
ˈɒː_s	s	1.0
ˈœ	ˈoː	1.0
ˈøi̯	ˈyː	1.0
ˈø	ˈʏ	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈo_l	l	1.0
ˈo	ˈuː	1.0
ˈei̯	ˈiː	1.0
ˈaː	-	1.0
ˈai̯	ˈɛ	1.0
ʃ_w	s	1.0
ʃ_t	s_t	1.0
ɡ̊	ɡ	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
t_ʁ	d_r	1.0
s_ə	t	1.0
p͡f	-	1.0
p	p	1.0
n_s	s	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_d̥	lʲ	1.0
kʰ_ˈo	ˈaʊ̯	1.0
kʰ	kʰ	1.0
h	h	1.0
f_ə	p	1.0
eː	aɪ̯	1.0
e	-	1.0
n	n	0.921
l	l	0.918
f	f	0.86
b̥	b	0.83
ʋ	v	0.813
ˈyː	ˈʏ	0.731
j	-	0.727
s	s	0.718
ˈəi̯	ˈiː	0.688
ˈɒː	-	0.676
x	x	0.622
k	ç	0.574
ʦ	tʰ	0.547
ə	-	0.523
ˈʊː	ˈoː	0.507
ˈe	ˈɛ	0.505
ˈeː	-	0.498
ˈe	-	0.495
ʦ	t	0.453
ˈi	ˈə	0.426
k	k	0.426
i	ɪ	0.423
ʁ	r	0.421
d̥	d	0.402
t	ɾ	0.392
x	-	0.378
ˈʊː	-	0.376
ˈeː	ˈiː	0.365
ʁ	ɐ	0.356
ʃ	s_k	0.334
ˈɒː	ˈa	0.324
d̥	tʰ	0.315
ˈəi̯	-	0.312
i	-	0.308
ˈu	ˈʊ	0.303
t	t	0.3
ˈu	ˈœ	0.286
d̥	-	0.283
s	t	0.282
j	j	0.273
ˈoː	ˈua̯	0.27
ˈyː	-	0.269
i	ɪ_ç	0.269
ə	ð	0.263
ˈiː	ˈə	0.254
ʃ	s	0.246
ʃ	ç	0.239
ˈɒ	ˈa	0.234
ə	ə	0.214
ˈɒ	ˈɔː	0.208
ˈoː	ˈoː	0.208
ˈiː	ˈiː	0.208
ˈoː	ˈuː	0.205
ˈoː	-	0.187
ʋ	-	0.187
ʃ	k	0.181
ˈiː	-	0.18
b̥	f	0.17
ˈi	ˈɛ	0.168
ˈu	ˈʏ	0.161
ˈu	-	0.161
t	-	0.161
ˈiː	ˈyː	0.148
ˈi	-	0.148
t	ð	0.148
ˈɒ	ˈuː	0.142
ˈi	ˈʊ	0.14
f	p	0.14
ˈeː	ˈɛ	0.137
ˈoː	ˈiː	0.13
ˈʊː	ˈʊ	0.117
ˈi	ˈœ	0.117
ˈiː	ˈɛ	0.111
ˈɒ	ˈʏ	0.109
ˈɒ	ˈʊ	0.109
ˈɒ	ˈœ	0.109
ˈiː	ˈeː	0.099
ʁ	ʁ̥	0.096
ˈɒ	ˈua̯	0.09
ˈu	ˈɛ	0.089
ʁ	r_ə	0.085
n	-	0.063
