Gascon	Gascon	probability
β_ɔ	b_a	1.0
ˈɛ_j	ˈa	1.0
ˈu_n	ˈɔ_n	1.0
ˈo	-	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_j	ˈe	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_#>	1.0
ʤ	d	1.0
ʃ	ʃ	1.0
ɾ_e	e_r	1.0
ɲ	ɲ	1.0
ɔ_#>	#>	1.0
ŋ_#>	n_#>	1.0
ð_e	d_ˈe	1.0
y	j	1.0
w_ˈe	ˈɔ	1.0
u_z_ˈa	ˈo	1.0
t_#>	l_#>	1.0
s_ˈe	s_ˈe	1.0
s_#>	j_#>	1.0
r_t	r_t	1.0
r_#>	r_n_#>	1.0
r	r	1.0
nː	m_e	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	t	1.0
m_i_#>	m_#>	1.0
m	m	1.0
lː	j	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_w	k	1.0
k_#>	k_#>	1.0
j_ʃ	s	1.0
j_t	t	1.0
j_r	r_e	1.0
h	f	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_d	1.0
p	p	0.931
l	l	0.913
ɔ	a	0.906
t	t	0.9
ˈi	ˈi	0.885
ð	d	0.818
ɾ	r	0.815
ɡ	ɡ	0.8
u	o	0.8
ˈa	ˈa	0.795
ˈɔ	ˈɔ	0.786
a	a	0.762
ˈɛ	ˈɛ	0.741
ɣ	ɡ	0.714
ŋ	ŋ	0.7
ˈu	ˈo	0.68
s	s	0.673
w_#>	l_#>	0.667
w	w	0.667
ˈy	ˈu	0.632
β	v	0.615
ʒ	ʒ	0.583
k	k	0.579
ʦ	ʃ	0.571
ˈa_w	ˈɔ	0.5
ˈa_w	w_ˈɛ	0.5
z	ʒ	0.5
j	j	0.5
i	i	0.5
i	-	0.5
e	e	0.471
b	v	0.471
ʎ	d_l	0.455
ʦ	w_ʃ	0.429
k	ʨ	0.421
b	b	0.382
z	-	0.375
ˈe	ˈɛ	0.359
w_#>	f_#>	0.333
w	-	0.333
ŋ	n	0.3
ɣ	-	0.286
#>	r_#>	0.286
ˈe	ˈe	0.282
e	-	0.265
ˈy	ˈo	0.263
ˈe	ˈe_j	0.256
ʒ	-	0.25
j	e	0.25
j	-	0.25
#>	a_#>	0.238
β	-	0.231
ˈɔ	w_ˈɛ	0.214
ˈa	ˈɛ	0.205
ɡ	-	0.2
u	-	0.2
ɾ	-	0.185
ʎ	l	0.182
ʎ	j	0.182
ʎ	-	0.182
ð	-	0.182
ʒ	ʥ	0.167
β	w	0.154
ˈɛ	j_ˈɛ	0.148
e	e_r	0.147
a	e	0.143
#>	j_#>	0.143
#>	e_#>	0.143
z	z	0.125
s	ʨ	0.122
s	ʧ	0.122
ˈi	j	0.115
ˈɛ	-	0.111
ˈy	-	0.105
t	-	0.1
a	o	0.095
#>	w_r_#>	0.095
#>	f_#>	0.095
ɔ	n_a	0.094
b	-	0.088
l	o_l	0.087
ˈu	ˈɔ	0.08
ˈu	ˈu	0.08
ˈu	ˈo_w	0.08
ˈu	-	0.08
p	f	0.069
e	ˈe	0.059
e	j	0.059
b	ʒ_ɡ	0.059
ˈe	j	0.051
ˈe	e	0.051
