English	Luxembourgish	probability
b	b	1.0
d	t	0.469
d	d	0.41
d	-	0.081
f	f	0.941
h	h	0.934
h	-	0.066
j	ɡ	0.373
j	ˈɑɪ̯	0.274
j	j	0.26
j	ˈiː	0.094
k	k	0.426
k	χ	0.296
k	ɕ	0.238
kʰ	kʰ	0.945
kʰ	-	0.055
l	l	1.0
m	m	0.982
n	n	0.787
n	ŋ	0.125
p	f	0.836
p	p	0.145
pʰ	f	1.0
s	z	0.481
s	ʃ	0.286
s	s	0.233
t	s	0.475
t	ɕ_t	0.208
t	t	0.161
t	ʦ	0.156
tʰ	ʦ	0.818
tʰ	b	0.182
v	v	0.659
v	ə_f	0.136
v	-	0.122
v	f	0.082
w	v	0.674
w	w	0.192
w	-	0.073
z	s	0.751
z	z	0.168
z	ʀ	0.081
ð	d	0.922
ð	n	0.078
ŋ	ŋ	0.846
ŋ	k	0.154
ə	ɐ	0.82
ə	-	0.102
əʊ̯	-	0.39
əʊ̯	ə	0.39
əʊ̯	ɐ	0.219
ɜː	ˈæːɪ̯	1.0
ɡ	ɡ	0.8
ɡ	-	0.2
ɪ	ə	0.915
ɪ	ˈeː	0.085
ɫ	l	0.933
ɫ	-	0.067
ɹ	ʀ	0.884
ɹ	-	0.116
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.641
ʧ	ɕ	0.177
ʧ	k	0.122
ʧ	χ	0.061
ˈaɪ̯	ˈæːɪ̯	0.181
ˈaɪ̯	ˈiː	0.139
ˈaɪ̯	ˈɑ	0.123
ˈaɪ̯	ˈɑɪ̯	0.107
ˈaɪ̯	ˈɜɪ̯	0.106
ˈaɪ̯	ˈe	0.074
ˈaɪ̯	ˈuə̯	0.073
ˈaɪ̯	ˈə	0.073
ˈaʊ̯	ˈæːʊ̯	0.539
ˈaʊ̯	ˈu	0.167
ˈaʊ̯	ˈɑɪ̯	0.112
ˈaʊ̯	ˈo	0.07
ˈaʊ̯	ˈəʊ̯	0.063
ˈe	ˈiə̯	0.201
ˈe	ˈɑ	0.128
ˈe	ˈəʊ̯	0.112
ˈe	ˈe	0.111
ˈe	ˈə	0.108
ˈe	ˈɛ	0.07
ˈe	ˈeː	0.062
ˈe	ˈæ	0.056
ˈeɪ̯	ˈeː	0.27
ˈeɪ̯	ˈaː	0.262
ˈeɪ̯	ˈoː	0.198
ˈeɪ̯	ˈu	0.174
ˈeɪ̯	ˈəʊ̯	0.096
ˈiː	ˈɜɪ̯	0.265
ˈiː	ˈaː	0.188
ˈiː	ˈeː	0.073
ˈiː	ˈoː	0.071
ˈiː	ˈi	0.068
ˈiː	ˈə	0.067
ˈiː	e	0.052
ˈuː	ˈu	0.308
ˈuː	-	0.181
ˈuː	ɐ	0.181
ˈuː	ˈæ	0.114
ˈuː	ˈəʊ̯	0.08
ˈuː	ˈɜɪ̯	0.075
ˈæ	ˈɑ	0.76
ˈæ	ˈaː	0.088
ˈæ	ˈæ	0.088
ˈæ	ˈiː	0.055
ˈɐ	ˈo	0.319
ˈɐ	ˈʊ	0.177
ˈɐ	ˈɔ	0.115
ˈɐ	ˈə	0.088
ˈɐ	ˈəʊ̯	0.087
ˈɑː	ˈaː	0.702
ˈɑː	ˈɛː	0.18
ˈɑː	ˈɑ	0.118
ˈɒ	ˈaː	0.337
ˈɒ	ˈo	0.261
ˈɒ	ˈeː	0.15
ˈɒ	ˈuː	0.15
ˈɒ	ˈɑ	0.101
ˈɔː	ˈaː	0.64
ˈɔː	ˈuː	0.114
ˈɔː	ʀ	0.078
ˈɔː	ɐ	0.07
ˈəʊ̯	ˈeː	0.475
ˈəʊ̯	ˈɜɪ̯	0.115
ˈəʊ̯	ˈo	0.102
ˈəʊ̯	ˈaː	0.093
ˈəʊ̯	ˈɛ	0.067
ˈəʊ̯	ˈoː	0.053
ˈɛ	ˈiː	0.361
ˈɛ	ˈɛ	0.361
ˈɛ	ˈuə̯	0.203
ˈɛ	ˈoː	0.075
ˈɜː	ˈuː	0.523
ˈɜː	ˈɛː	0.311
ˈɜː	ɐ	0.167
ˈɪ	ˈɑ	0.254
ˈɪ	ˈə	0.21
ˈɪ	ˈe	0.202
ˈɪ	ˈi	0.081
ˈʊ	ˈo	0.529
ˈʊ	ˈəʊ̯	0.244
ˈʊ	ˈʊ	0.158
ˈʊ	ˈu	0.069
θ	d	0.651
θ	t	0.349
