Standard German	Standard German	probability
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː_ʁ	a	1.0
ˈøː	-	1.0
ˈa_l	ˈɔː	1.0
ʦ_v	tʰ	1.0
ʃ_l	l̥	1.0
ɪ	ʉ_ŋ	1.0
ɡ̊	ɣ	1.0
ɡ_n	ɑ	1.0
ə_n	ɑ	1.0
ə_#>	#>	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	nː	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
ç_t_#>	tː_#>	1.0
z̥_#>	s_#>	1.0
x_t	tː	1.0
tʰ	d	1.0
t_n	ð_ɑ	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
n_z̥	sː	1.0
n_d	n_d	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
l_#>	ɽ_#>	1.0
kʰ	kʰ	1.0
k_ə	ɡː	1.0
j	-	1.0
h_ˈʊ	ˈʉ	1.0
eː	ɔ̃	1.0
d̥	ð	1.0
b̥	v	1.0
a	ɑ	1.0
<#_ˈa	<#	1.0
<#_ʁ	<#_r	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
#>	ɑ_#>	1.0
v	w	0.917
ʁ	r	0.905
z	s	0.895
m	m	0.857
s	t	0.833
f	f	0.81
ˈuː	ˈʉːə̯	0.8
x	k	0.714
b	b	0.714
ˈɪ	ˈɪ	0.68
ɐ	r	0.675
ç_#>	#>	0.667
ç	k	0.667
l	ɽ	0.667
k	-	0.667
d̥_#>	d_#>	0.667
f_#>	#>	0.625
d	tʰ	0.625
ʦ	tʰ	0.583
ˈeː	-	0.545
t	ð	0.536
ˈaʊ̯	ˈɑːu̯	0.533
ə	ɑ	0.526
ˈɔʏ̯	ˈʏː	0.5
ˈɔʏ̯	-	0.5
ˈa	ˈɑ	0.5
ʃ	s	0.5
ɡ	ɡ	0.474
ˈeː	j	0.455
n	n	0.439
ˈaː	ˈɑː	0.438
ˈʊ	ˈʉ	0.417
ˈiː	j_ˈʉːə̯	0.4
ˈɔ	ˈʉ	0.385
ˈʏ	ˈʏ	0.375
ˈʏ	-	0.375
f_#>	p_#>	0.375
d	-	0.375
ˈɛ	ˈɛ	0.368
ˈoː	ˈoː	0.364
ˈʊ	-	0.333
ˈyː	ˈʉːə̯	0.333
ˈyː	ˈyːœ̯	0.333
ˈyː	-	0.333
ˈaɪ̯	ˈiːe̯	0.333
ç_#>	ɡ_#>	0.333
ç	-	0.333
k	ʥː	0.333
d̥_#>	#>	0.333
ˈaː	ˈɔː	0.312
ˈɔ	ˈʉə̯	0.308
ˈɔ	-	0.308
ɐ	ɛ_r	0.3
n	ɑ	0.298
ˈaɪ̯	ˈɑːi̯	0.296
ʃ	s_ʨ	0.292
x	-	0.286
t	t	0.286
ˈoː	ˈœː	0.273
ˈiː	-	0.267
ˈɛ	-	0.263
ɡ	ɣ	0.263
ˈʏ	ˈʉ	0.25
ˈʊ	ˈʉə̯	0.25
ʦ	-	0.25
b	v	0.214
ˈɛ	ˈæ	0.211
ə	-	0.211
ʃ	s_k	0.208
ˈuː	-	0.2
ˈaʊ̯	ˈœː	0.2
ˈa	-	0.192
f	p	0.19
ˈoː	ˈʉː	0.182
ˈoː	-	0.182
ʦ	tː	0.167
s	-	0.167
ˈɪ	ˈɪː	0.16
ˈɛ	j	0.158
ɡ	ʥ	0.158
ˈa	ˈɑː	0.154
l	lː	0.152
ˈaɪ̯	ˈɛ	0.148
m	mː	0.143
ˈiː	ˈʉːə̯	0.133
ˈiː	j	0.133
ˈaʊ̯	ˈʉ	0.133
ˈaʊ̯	-	0.133
ˈaː	ˈɑ	0.125
ˈaː	-	0.125
n	nː	0.123
l	l	0.121
ˈɪ	j	0.12
ˈaɪ̯	ˈɪː	0.111
ˈaɪ̯	-	0.111
t	d	0.107
ɡ	ɣ_ɛ	0.105
ə	ʉ	0.105
ə	ɛ_n	0.105
z	s_j	0.105
n	ɔ	0.105
ʁ	-	0.095
v	-	0.083
ˈa	ˈɔ̃ː	0.077
ˈa	ˈo	0.077
t	s	0.071
b	-	0.071
ˈiː	ˈɪ̃ː	0.067
l	-	0.061
ə	ɑ̃	0.053
