Standard German	Standard German	probability
ˈɛː	ˈɒː	1.0
ˈøː	ˈoː	1.0
ˈuː	ˈuə̯	1.0
ˈa_l	ˈu	1.0
ʦ	t	1.0
ɡ̊	-	1.0
ɡ	ɦ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_ʦ	ɾ_t	1.0
ŋ	ŋ	1.0
z_ə	z̥	1.0
z	z	1.0
v	ʋ	1.0
tʰ	d	1.0
s_t	s_t	1.0
p͡f	p	1.0
p	-	1.0
m	m	1.0
kʰ	k	1.0
k_ə	ɦ_ə	1.0
j	j	1.0
f_#>	p_#>	1.0
eː	iə̯	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
n	n	0.917
f	v	0.903
ˈiː	ˈiə̯	0.857
s	t	0.833
ʁ	ɾ	0.826
b	b	0.81
ˈoː	ˈoː	0.8
ɐ	ɾ	0.769
l	l	0.762
ç	k	0.727
ˈa	ˈɑ	0.724
ˈʏ	ˈœ	0.667
ˈɔʏ̯	ˈiə̯	0.667
z̥	z̥	0.667
#>	ɦ̥_#>	0.667
ˈɪ	ˈɪ	0.632
ˈaː	ˈɒː	0.588
ˈyː	ˈuə̯	0.571
k	k	0.571
ʃ	s	0.556
ɪ	ɪ	0.5
ɪ	ç	0.5
x	k	0.5
x	h	0.5
ˈɛ	ˈæ	0.471
ˈaʊ̯	ˈyː	0.471
ˈʊ	ˈu	0.455
t	t	0.448
ˈyː	-	0.429
k	-	0.429
ˈɔ	ˈoː	0.421
t	d̥	0.414
ˈaʊ̯	ˈoː	0.412
ˈʊ	ˈɔ	0.364
ˈaɪ̯	ˈi	0.36
ˈʏ	ˈɪ	0.333
ˈɔʏ̯	ˈyː	0.333
ˈeː	ˈeː	0.333
z̥	-	0.333
#>	k_#>	0.333
ˈɔ	ˈɔ	0.316
ˈɛ	-	0.294
ˈaː	ˈɑ	0.294
ˈaɪ̯	ˈɛː	0.28
ç	h	0.273
ʃ	ʃ_h	0.259
ˈeː	ˈiə̯	0.25
ˈeː	-	0.25
l	w	0.238
ˈɛ	ˈeː	0.235
ˈɪ	ˈæ	0.211
ˈoː	ˈøː	0.2
b	v	0.19
ʃ	z	0.185
ˈʊ	-	0.182
ʁ	-	0.174
ˈa	ˈɒː	0.172
ˈeː	ˈɒː	0.167
s	s	0.167
ˈaɪ̯	ˈeː	0.16
ˈɪ	ˈɛ	0.158
ˈɔ	ˈœ	0.158
ˈiː	-	0.143
t	d	0.138
ɐ	ə_ɾ	0.128
ˈaɪ̯	-	0.12
ˈaː	-	0.118
ˈaʊ̯	-	0.118
ˈɔ	-	0.105
ˈa	-	0.103
ɐ	ɾ_ə	0.103
f	p	0.097
n	-	0.083
ˈaɪ̯	ˈɛ	0.08
