Old High German	Dutch	probability
ˈɛ_h	ˈi	1.0
ˈɑː	ˈaː	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈɑ_h	ˈaː	1.0
ˈuo̯	ˈu	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈiː_n	ˈɛi̯_n	1.0
ˈio̯	ˈi	1.0
ˈie̯	ˈi	1.0
ˈi_r	ˈɛi̯	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ʦ	t	1.0
ɡ	χ	1.0
ɛ_h	i	1.0
ɛ	ə	1.0
ə	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_t	χ_t	1.0
x_s	s	1.0
x	χ	1.0
v	ʋ	1.0
tː	d	1.0
t_ɑ	d_ə	1.0
t_o	t	1.0
t_i	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_l	s_ɫ	1.0
s_k	s	1.0
rː	-	1.0
r_ɡ	ɾ_χ	1.0
p͡f	p	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈoː	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʰ_n	k_n	1.0
kʰ	k	1.0
j	j	1.0
i_r	ə_ɾ	1.0
h	ɦ	1.0
fː	p	1.0
f_ɑ	p_ə	1.0
eː	ə	1.0
e	ə	1.0
d_ˈi	d_ˈɪ	1.0
b_ɑ	v_ə	1.0
r	ɾ	0.972
n	n	0.961
d	d	0.905
f	v	0.879
w	ʋ	0.843
b	b	0.835
ˈuː	ˈœy̯	0.823
i	-	0.805
ˈei̯	ˈeː	0.802
k	χ	0.79
ˈɑ	ˈɑ	0.728
t	d̥	0.708
ˈiː	ˈɛi̯	0.693
ˈi	ˈɪ	0.684
ˈe	ˈɛ	0.684
u	ə	0.681
ɑ	ə	0.607
ˈu	ˈɔ	0.606
s	z	0.546
ˈo	ˈoː	0.512
ˈo	ˈɔ	0.424
ɑ	-	0.393
ˈiu̯	ˈyː	0.387
ˈiu̯	ˈi	0.387
s	s	0.369
ˈɛ	ˈɛ	0.367
ˈɛ	ˈeː	0.344
u	-	0.319
ˈe	-	0.316
ˈɛ	-	0.289
ˈiu̯	-	0.226
ˈu	ˈoː	0.215
k	k	0.21
ˈɑ	ˈaː	0.206
ˈei̯	ˈɛi̯	0.198
i	ə	0.195
t	d	0.194
ˈu	ˈʏ	0.179
ˈuː	-	0.177
ˈi	ˈɛ	0.173
ˈiː	ˈɪ	0.157
w	-	0.157
ˈiː	-	0.151
f	v̥	0.121
b	v	0.108
t	t	0.098
ˈi	ˈɛi̯	0.096
d	-	0.095
s	z̥	0.086
ˈɑ	ˈɛ	0.066
ˈo	-	0.064
b	v̥	0.058
