English	Nynorsk Norwegian	probability
b	b	1.0
h	h	1.0
kʰ	kʰ	1.0
pʰ	pʰ	1.0
tʰ	tʰ	1.0
ð	d	1.0
ŋ	ŋː	1.0
əʊ̯	-	1.0
ɹ	ɾ	1.0
ʤ	ɡː	1.0
ˈæ	ˈɑ	1.0
ˈɛ	ˈœ	1.0
ˈɜː	ˈuː	1.0
ˈʊ	ˈuː	1.0
t	ʰtː	0.231
z	s_e	0.571
ə	ə	0.081
ʧ	k	0.201
ˈaɪ̯	ˈyː	0.101
ˈaʊ̯	ˈʉː	0.731
ˈiː	ˈæʉ̯	0.11
ˈiː	ˈøː	0.231
ˈɔː	ˈɑ	0.061
ˈəʊ̯	ˈoː	0.321
ˈɪ	ˈɛ	0.081
θ	ç	0.081
f	ʋ	0.202
m	m	0.652
t	t_ɑ	0.172
ɡ	j	0.372
ɪ	e	0.662
ˈiː	ˈeː	0.22
ˈuː	ˈoː	0.222
ˈɐ	ˈuː	0.062
ˈɐ	ˈoː	0.162
ˈɔː	ˈɔ_ɾ	0.072
ˈɪ	ˈeː	0.092
d	-	0.323
k	k	0.823
t	t	0.463
v	ʋ_e	0.253
v	-	0.573
ə	ɾ_e	0.073
ˈaɪ̯	ˈɪ	0.283
ˈaʊ̯	ˈʉ	0.063
ˈɐ	ˈʉ	0.53
ˈɑː	ˈɑ	0.23
m	ɾ_m	0.064
n	-	0.064
p	p_ɑ	0.064
ə	ə_ɾ	0.164
ɫ	lː	0.084
ˈe	ˈɛ	0.624
ˈiː	ˈiː	0.104
ˈuː	ˈyː	0.094
ˈuː	ˈuː	0.684
ˈɔː	ɾ	0.144
ˈɪ	ˈʏ	0.234
ˈɪ	ˈɪ	0.314
m	m_ɑ	0.085
m	m_j	0.155
n	n	0.755
s	ʂ	0.135
t	tː	0.095
w	kʰ_ʋ	0.155
ə	ɾ_ɑ	0.055
ʃ	s_k	0.35
ʃ	ʂ	0.65
ˈeɪ̯	ˈɑ	0.235
ˈeɪ̯	ˈɑː	0.765
ˈɑː	ˈɑː	0.255
ˈɒ	ˈʉː	0.45
ˈɒ	ˈɑ	0.55
j	ˈoː	0.326
n	nː	0.146
p	p	0.936
w	ʋ	0.706
z	ɑ_#>	0.146
ɫ	l	0.916
ˈaʊ̯	ˈʉ_ɡ	0.206
ˈɑː	ˈɑ_ɾ	0.516
ˈɔː	ˈɑ_ɾ	0.246
θ	nː	0.056
θ	tʰ	0.826
d	d_e	0.07
d	d	0.607
j	-	0.127
j	ɡ	0.547
k	ç	0.177
l	l	0.967
s	<#_kʰ	0.057
v	ʋ_ɑ	0.077
v	ʋ	0.097
z	ɡ_#>	0.067
z	e_#>	0.117
ə	e_ɾ	0.057
ˈiː	ˈʉː	0.067
ˈiː	ˈoː	0.17
ˈɐ	ˈɔ	0.217
ˈɔː	ˈʊ_ɾ	0.407
s	s	0.808
ə	ɾ	0.538
ɡ	ɡ	0.628
ɪ	-	0.338
ˈaɪ̯	ˈʉː	0.088
ˈaɪ̯	ˈɛ	0.148
ˈaɪ̯	ˈiː	0.38
ˈe	ˈøː	0.198
ˈiː	ˈœʏ̯	0.098
ˈɪ	ˈiː	0.128
f	f	0.749
w	-	0.139
ʧ	ç	0.799
ˈe	ˈʉː	0.179
ˈɔː	ˈɔ	0.069
ˈəʊ̯	ˈæɪ̯	0.679
ˈɪ	ˈyː	0.069
