Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ_j	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ɯ_ʔ	u	1.0
ɯ_s	z̩	1.0
ɢʷ	-	1.0
ɢ_u	ỹ	1.0
ɡʷ	x_w	1.0
ŋ	ŋ	1.0
z	-	1.0
w	-	1.0
uː_m	æ̃	1.0
uː	a	1.0
u_ʔ	w_⁵³	1.0
u_#>	w_¹¹_#>	1.0
tʰ	ʦʰ	1.0
t	ʦ	1.0
sʰ	ʦʰ	1.0
s_r	s	1.0
s_#>	#>	1.0
s	ɕ	1.0
r̥ʰ	tʰ͡x	1.0
r_ɯ	ĩ	1.0
r_eː	a	1.0
r_aː	a	1.0
qʰʷ	-	1.0
q	ɣ	1.0
o	-	1.0
l̥ʰ	tʰ͡x	1.0
lʼ	-	1.0
j	-	1.0
hʷ	x	1.0
e_#>	#>	1.0
aː_ʔ	u	1.0
aː_ŋ	ɒ̃	1.0
aː_n	æ̃	1.0
aː_l	ɤ	1.0
a_ʔ	y	1.0
a_ŋ	ɒ̃	1.0
a_#>	u_¹¹_#>	1.0
<#_ŋ	<#	1.0
<#_r	<#	1.0
<#_q	<#	1.0
<#	<#_x	1.0
aː	a	0.778
ʔ	-	0.765
eː	-	0.714
n_s	⁴⁵	0.667
h	s	0.667
b	pʰ͡x	0.667
r	l	0.636
oː	w	0.625
k	ʨ	0.625
a	-	0.6
e	a	0.571
#>	¹¹_#>	0.57
i	-	0.556
u	ə	0.5
u	ũ	0.5
p	p	0.5
p	f	0.5
n_i	ʐ	0.5
n_i	ə	0.5
kʰ	kʰ͡x	0.5
d_s	⁴⁵	0.5
d_s	j_⁴⁵	0.5
d	ʔ	0.5
ɡ	ʔ	0.478
n	ŋ	0.462
ɯː	a	0.444
e	-	0.429
ɯ	-	0.417
a	y	0.4
oː	ũ	0.375
k	k	0.375
r	j	0.364
l	-	0.353
ɯː	ə̃	0.333
ɯ	ə	0.333
n_s	ŋ_⁴⁵	0.333
m	m	0.333
h	-	0.333
b	f	0.333
n	æ̃	0.308
kʰ	ʦʰ	0.3
eː	a	0.286
m	v	0.278
i	ə	0.278
ɯ	ə̃	0.25
ʔ	w_⁵³	0.235
n	n	0.231
ɯː	-	0.222
m	-	0.222
aː	æ̃	0.222
ɡ	x	0.217
kʰ	ʨʰ	0.2
#>	⁵³_#>	0.194
l	j_¹¹	0.176
m	ŋ	0.167
i	w	0.167
d	ʦʰ	0.167
d	t	0.167
d	-	0.167
#>	²_#>	0.161
ɡ	-	0.13
l	ɤ	0.118
l	z̩_⁵³	0.118
l	z̩	0.118
l	j	0.118
ɡ	ʨʰ	0.087
ɡ	j	0.087
#>	⁴⁵_#>	0.054
