Hessian	Hessian	probability
ˈɛ̃ː	ə	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈi_n	1.0
ˈɑː_ɣ̊	ˈaːi̯	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈõː	ˈuː_n	1.0
ˈĩː	ˈɛɪ̯_n	1.0
ˈãː	ˈeː_n	1.0
ˈai̯_#>	ˈɛɪ̯_#>	1.0
ˈa_l	ˈoː_l	1.0
ʦ	t	1.0
ʣ̥	-	1.0
ʒ̊	-	1.0
ʃ_v	s_v	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ʀ	r	1.0
ɣ̊	ɣ_j	1.0
ɛː	i	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
pʰ	p_ˈaː	1.0
p	b	1.0
oː	ˈoː	1.0
l_#>	l_ə_#>	1.0
l	l	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
b̥_#>	f_#>	1.0
<#_ʀ	<#_r	1.0
<#_kʰ	<#_k	1.0
<#	<#_ɡ	1.0
n	n	0.951
m	m	0.92
f	f	0.88
b̥	b	0.846
d̥	d	0.838
v	v	0.821
ˈuː	ˈoːu̯	0.75
ˈeː	ˈeː	0.75
ˈaː	ˈoː	0.75
<#_d̥	<#_t	0.75
x	x	0.714
t	t	0.714
f_#>	p_#>	0.714
s	s	0.707
ˈe	-	0.667
ˈau̯	ˈuː	0.667
ˈai̯	ˈi	0.667
æ̆	ə_r	0.632
ˈɔ	ˈoːu̯	0.6
ɐ	r	0.529
ˈoː	ˈoː	0.5
ˈa	ˈɔː	0.5
ˈi	ˈɪ	0.464
#>	d_#>	0.455
ˈɛ	-	0.444
k	k	0.444
ˈu	ˈʊ	0.429
ʃ	s_k	0.417
ˈɔ	-	0.4
ɡ̊	ɣ	0.385
ˈo	ˈʊ	0.375
ˈo	ˈɔ	0.375
ʃ	x	0.375
æ̆	r	0.368
#>	k_#>	0.364
ˈɛ	ˈɛ	0.333
ˈɑ	-	0.333
ˈiː	j_ˈoː	0.333
ˈe	ˈeː	0.333
ˈai̯	ˈɛ	0.333
k	ɣ	0.333
ˈɑː	ˈɛɪ̯	0.308
ˈoː	ˈoːu̯	0.3
ˈa	-	0.3
ˈu	ˈuː	0.286
ˈu	-	0.286
x	-	0.286
t	d	0.286
f_#>	#>	0.286
ˈɑ	ˈoːu̯	0.267
ˈuː	ˈuː	0.25
ˈoi̯	ˈyː	0.25
ˈoi̯	ˈuː	0.25
ˈoi̯	j_ˈuː	0.25
ˈoi̯	-	0.25
ˈo	ˈuː	0.25
ˈiː	ˈɛɪ̯	0.25
ˈiː	j	0.25
ˈi	ˈiː	0.25
ˈeː	ˈœː	0.25
ˈaː	ˈeː	0.25
<#_d̥	<#	0.25
ˈɑː	ˈiː_r	0.231
ɡ̊	k	0.231
ɡ̊	j	0.231
ˈau̯	-	0.222
k	-	0.222
ˈɑ	ˈɔː	0.2
ˈɑ	ˈɔ	0.2
ˈoː	ˈuː	0.2
ˈa	ˈa	0.2
#>	t_#>	0.182
s	t	0.171
ˈiː	-	0.167
ˈɑː	ˈɛ	0.154
ˈɑː	ˈɔː	0.154
ˈɑː	-	0.154
ɡ̊	-	0.154
b̥	v	0.154
ˈi	ˈɛː	0.143
ʃ	k	0.125
f	p	0.12
ɐ	ˈi	0.118
ɐ	ə	0.118
ɐ	d_ə	0.118
ɐ	-	0.118
ˈɛ	ˈiːu̯	0.111
ˈɛ	ˈeːu̯	0.111
ˈau̯	ˈøː	0.111
v	-	0.107
ʃ	s	0.083
d̥	t	0.081
d̥	-	0.081
m	-	0.08
s	z_ə	0.073
ˈi	j_ˈʊ	0.071
ˈi	-	0.071
v	ɣ	0.071
