Polish	Polish	probability
ʨ	ʦʲ	1.0
ʥ	ʣʲ	1.0
ʑ	zʲ	1.0
ʈ͡ʂ	ʧ	1.0
ɡ̊	x	1.0
ɡ_j	ɣ	1.0
ɛ_ɲ	æ	1.0
ɛ_ŋ	u	1.0
ɛ_w̃	æ_ˈ	1.0
ɕ	sʲ	1.0
ɔ_w̃	u	1.0
ɔ_m	u	1.0
ɔ_d	a_d	1.0
ɔ_#>	a_#>	1.0
z̥	z̥	1.0
z	z	1.0
w_#>	ɫ_#>	1.0
v_j	vʲ	1.0
u_ɡ	ɣʲ	1.0
u_r	a_r	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
m_j	mʲ	1.0
m	m	1.0
l_#>	lʲ_#>	1.0
k_#>	k_#>	1.0
j	-	1.0
i	i	1.0
f_#>	w_#>	1.0
f	vʲ	1.0
b̥	b̥	1.0
<#_ʨ	<#_ʦʲ	1.0
<#_ɔ	<#_a	1.0
<#_v	<#_w	1.0
<#_l	<#_lʲ	1.0
<#_j	<#_j	1.0
<#	<#_v	1.0
#>	a_#>	1.0
ɨ	ɨ	0.933
v	v	0.889
r	r	0.889
w	ɫ	0.864
n	n	0.842
k	k	0.818
d̥	d̥	0.8
d	d	0.769
l	lʲ	0.75
ɡ	ɣ	0.714
x	x	0.667
ɲ	nʲ	0.636
ʦ	ʦ	0.625
ʐ	r	0.615
ɔ	o	0.585
b	b	0.583
a	a_ˈ	0.556
p	p	0.545
ʐ̊	ʐ̊	0.5
ʐ̊	r	0.5
ʂ	ʃ	0.5
ʂ	ʂ	0.5
j_a	æ	0.5
j_a	e_ˈ	0.5
p	pʲ	0.455
u	o	0.444
b	bʲ	0.417
ʐ	ʐ	0.385
ʦ	-	0.375
ɲ	-	0.364
x	xʲ	0.333
ɛ	e_ˈ	0.259
l	ʌ_ɫ	0.25
ɛ	a	0.241
d	-	0.231
u	u	0.222
ɔ	a	0.22
d̥	d̥ʲ	0.2
k	kʲ	0.182
a	a	0.167
n	-	0.158
ɔ	-	0.146
ɡ	ɣ_o	0.143
ɡ	-	0.143
w	w	0.136
ɛ	o_ˈ	0.13
a	e_ˈ	0.13
ɛ	æ	0.111
v	vʲ	0.111
u	ʉ	0.111
u	ɵ	0.111
u	a	0.111
r	a_r	0.111
ɛ	e	0.074
ɛ	-	0.074
ɨ	i_ˈ	0.067
ɛ	ɨ_ˈ	0.056
ɛ	ɛ_ˈ	0.056
a	æ	0.056
a	-	0.056
