Franco-Provençal	Galician	probability
p	p	1.0
z	θ	1.0
ɔ	o	1.0
ɛ	e	1.0
ˈɔ	ˈo	1.0
j	ð	0.061
n	-	0.201
s	ʃ	0.061
w	ˈɔ	0.1
ð	ɾ	0.561
ə	e	0.171
ʎ	ʎ	0.451
ʒ	-	0.771
ˈø	ˈo	0.521
ˈɔ̃	ˈo	0.181
ˈɛː	ˈi	0.051
ˈɛː	ˈɛ	0.061
f	f	0.892
s	ˈi_θ	0.052
ɲ	ɲ	0.852
ʒ	ɪ_#>	0.052
ˈi	ˈi_ɾ	0.082
ˈɛ	ˈe	0.712
e	e_s	0.73
j	ˈe	0.053
k	k	0.933
n	n	0.503
w	ˈɔ_ɣ	0.073
ð	ʃ	0.283
ɡ	ɡ	0.753
ˈa	ˈa	0.643
ˈaː	ˈa	0.953
ˈe	w	0.173
ˈĩ	ˈi_n	0.313
ˈoː	ˈɔ	0.363
ˈu	ˈu	0.303
ˈɑː	ˈa	0.63
ˈɑ̃	ˈɑ_ŋ	0.553
ˈɔ̃	ˈo_ŋ	0.093
ˈɔ̃	ŋ	0.63
ˈɛ̃	ˈe_n	0.263
a	ɐ	0.684
b	β	0.384
i	ɐ	0.924
o	ʊ	0.444
v	β	0.394
v	b	0.554
ʁ	-	0.064
ʁ	r	0.14
ʒ	ʊ_#>	0.074
ˈe	ˈe	0.164
a	-	0.135
d	d	0.925
e	e	0.065
e	-	0.205
s	θ	0.255
ʃ	k	0.685
ˈo	ˈɔ	0.195
ˈo	ˈo	0.805
ˈɛː	-	0.155
ˈɛ̃	ˈe	0.065
ˈɛ̃	ŋ	0.075
b	b	0.616
i	i	0.076
l	ɾ	0.056
m	m	0.96
ð	-	0.086
ʃ	θ	0.266
ˈe	ˈi	0.176
k	-	0.067
l	-	0.207
l	l	0.597
t	j_t	0.077
w	-	0.217
ɡ	ɣ	0.247
ʎ	ʎ_ʊ	0.527
ˈa	ˈa_ɾ	0.327
ˈɑ̃	ˈa	0.447
ˈɔ̃	ˈo_n	0.097
ˈɛː	ˈa	0.07
a	a	0.18
f	β_ɪ	0.108
n	ɲ	0.18
o	ɐ	0.058
t	k	0.18
ə	ʊ	0.058
ə	ɐ	0.738
ɲ	n	0.148
ˈi	ˈi	0.548
ˈĩ	ˈi_ɲ	0.258
ˈoː	ʊ	0.308
ˈoː	ˈo	0.308
ˈu	ˈɔ	0.418
ˈɑː	a	0.28
ˈɛ	ˈɛ	0.288
ˈɛː	ˈe	0.618
ˈɛ̃	n	0.278
j	-	0.849
l	l_ʊ	0.139
o	o	0.149
o	ɪ	0.349
s	s	0.559
t	t	0.629
w	ˈu	0.279
w	ˈo	0.279
ð	r	0.069
ʁ	ɾ	0.669
ˈe	ˈɛ	0.219
ˈe	ˈa	0.259
ˈi	ˈe	0.369
ˈĩ	ˈi_ŋ	0.429
ˈu	ˈo	0.279
ˈø	ˈɔ	0.479
ˈɑː	ˈa_l	0.09
ˈɛ̃	ɲ_ʊ	0.319
