Insular North Frisian	Insular North Frisian	probability
ˈɛː	-	1.0
ˈøː	-	1.0
ˈoː	ˈaʊ̯	1.0
ˈaː_r	ˈaː	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ˈa_x	ˈaː	1.0
ˈa	ˈa	1.0
ə_f	m	1.0
ç_ə	ɣ	1.0
z	z	1.0
tʲ	d	1.0
s_ˈeː	z	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ə	æ	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
lʲ	-	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	ae̯	1.0
<#_ˈɔː	<#_ˈa	1.0
<#	<#_v	1.0
l	l	0.958
ɐ	æ	0.943
r	r	0.923
v	v	0.87
ŋ	ŋ	0.846
ç	ç	0.833
d	d	0.818
t	t	0.8
f	f	0.781
ɡ	ɡ	0.727
j	-	0.714
ɪ	ɪ	0.667
ˈyː	ˈuː	0.6
ə	-	0.6
ˈuː	ˈuː	0.556
tʰ	tʰ	0.529
ɾ	d̥	0.522
x	x	0.5
x	-	0.5
nʲ	n_n	0.5
nʲ	n_d̥	0.5
ˈɪ	ˈɪ	0.478
tʰ	d	0.471
ˈɔː	ˈɒː	0.462
ˈɔ	-	0.455
s	z	0.441
ˈeː	-	0.438
ˈɪ	ˈiː	0.435
ˈɔa̯	ˈaʊ̯	0.4
ˈɔa̯	-	0.4
ˈyː	-	0.4
ə	n	0.4
ˈiː	ˈae̯	0.389
ˈɔː	-	0.385
ˈʏ	ˈuː	0.348
ɪ	-	0.333
s	ʃ	0.324
ˈeː	ˈae̯	0.312
j	j	0.286
ˈɛ	ˈɪ	0.281
ˈʊ	ˈʊ	0.278
ˈiː	ˈiː	0.278
ˈɔ	ˈɔ	0.273
ˈɔ	ˈaʊ̯	0.273
ɡ	-	0.273
ɾ	ɾ	0.261
s	s	0.235
ˈʊ	ˈɪ	0.222
ˈʊ	-	0.222
ˈuː	ˈɒː	0.222
ˈuː	ˈaʊ̯	0.222
ˈiː	-	0.222
f	v̥	0.219
ˈʏ	-	0.217
ˈɔa̯	ˈa	0.2
ˈœ	ˈʏ	0.2
ˈœ	-	0.2
ˈɛ	-	0.188
d	-	0.182
ˈʏ	ˈʊ	0.174
ˈʊ	ˈaʊ̯	0.167
ç	ɡ	0.167
ˈɛ	ˈʏ	0.156
ˈɛ	ˈae̯	0.156
ˈɔː	ˈɔ	0.154
ŋ	ç	0.154
ˈœ	ˈʊ	0.133
ˈœ	ˈɔ	0.133
ˈœ	ˈaʊ̯	0.133
ˈœ	ˈa	0.133
ɾ	n	0.13
v	w	0.13
ˈɛ	ˈɛ	0.125
ˈeː	ˈɛː	0.125
ˈeː	ˈɔʏ̯	0.125
ˈʊ	ˈa	0.111
ˈiː	ˈɛː	0.111
t	-	0.111
ˈɛ	ˈɔʏ̯	0.094
t	d̥	0.089
ˈʏ	ˈyː	0.087
ˈʏ	ˈiː	0.087
ˈʏ	ˈa	0.087
ˈɪ	-	0.087
ɾ	-	0.087
r	-	0.077
ˈœ	ˈøː	0.067
ɐ	-	0.057
