Aromanian	Aromanian	probability
ˈu_l	ˈu	1.0
ˈo_j	ˈu_j	1.0
ʧ	ɕ_ˈi	1.0
ʎ_i	a	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ŋ	-	1.0
ç	f	1.0
z	-	1.0
w_ə	v_ɪ	1.0
w	v	1.0
t_ˈi_k	ʦ	1.0
r_#>	l_ʊ_#>	1.0
p_t	tː	1.0
p_l	c	1.0
n_ə	n_ʊ	1.0
n_#>	n_ʊ_#>	1.0
m_t	n_t	1.0
l_#>	ɖː_ʊ_#>	1.0
k_ʎ	cː	1.0
k_ə	kː_a	1.0
k_r	k_ɾ	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	k_ʊ_#>	1.0
i_r	ɪ_ɾ	1.0
i_#>	#>	1.0
e̯a	-	1.0
e	ɪ	1.0
a_r	ʐ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_a	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
p	p	0.875
e̯ˈa	ˈi	0.842
ə	a	0.833
ˈɨ	ˈa	0.818
ˈa	ˈa	0.812
i	ɪ	0.803
ʎ	ɟː	0.8
#>	ʊ_#>	0.8
l	l	0.765
ˈo	ˈɔ	0.75
v	v	0.75
f	f	0.75
t	t	0.719
n	n	0.719
ʦ	ɕ	0.714
u	ʊ	0.706
m	m	0.679
j	v	0.667
k	k	0.636
ʃ	-	0.625
ˈi	ˈi	0.621
d	d	0.615
ˈu	ˈu	0.606
<#	<#_a	0.6
ˈe	ˈɛ	0.588
ɡ	-	0.571
s	s	0.55
o̯ˈa	ˈu	0.545
b	b	0.545
o̯ˈa	ˈɔ	0.455
b	v	0.455
ʣ	j	0.444
r	ɾ	0.441
ɲ	m	0.429
ɡ	ɡ	0.429
a	a	0.417
ʤ	ʤ	0.4
ʤ	j	0.4
<#	<#_n	0.4
d	ɾ	0.385
ʃ	s	0.375
ˈe	ˈi	0.353
ʣ	-	0.333
j	-	0.333
r	r	0.305
ɲ	n	0.286
ɲ	-	0.286
ˈo	ˈu	0.25
v	w	0.25
f	ç	0.25
a	-	0.25
l	-	0.235
ʣ	d	0.222
ʦ	t	0.214
ˈu	ˈɔ	0.212
ʤ	ʤː	0.2
ʎ	lː	0.2
s	ʃ	0.2
#>	a_#>	0.2
ˈa	ˈɛ	0.188
n	nː	0.188
ˈɨ	-	0.182
k	p	0.182
k	k_a	0.182
u	u	0.176
ˈi	ˈɛ	0.172
a	ˈa	0.167
a	ʐ	0.167
e̯ˈa	ˈa	0.158
s	-	0.15
m	-	0.143
p	-	0.125
ə	ɪ	0.119
u	-	0.118
m	mː	0.107
ˈi	ɪ	0.103
ˈi	i	0.103
s	sː_ʊ	0.1
n	-	0.094
ˈu	ˈo	0.091
ˈu	-	0.091
i	i	0.085
ʦ	ʧː	0.071
m	ɡ	0.071
i	ʊ	0.07
r	ɽ	0.068
r	l	0.068
t	ʈ_ɽ	0.062
t	ʈ	0.062
t	tː	0.062
t	-	0.062
ˈe	ˈe	0.059
