Western Lombard	Western Lombard	probability
ˈɑː_r	ˈa_ɾ	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈuː	ˈu	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ɛ	-	1.0
z	-	1.0
y	u	1.0
w	w	1.0
t_e	ɽ	1.0
r_a	ɾ_a	1.0
p_j	c	1.0
p	p	1.0
o	ɪ	1.0
l_s	r_s	1.0
ĩ	-	1.0
f_j	ç	1.0
ẽ	v_ɪ	1.0
d_a	t_a	1.0
ã	a_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ɕ	1.0
<#_v	<#	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
a	a	0.94
ɲ	ɲː	0.889
m	m	0.889
ˈyː	ˈu	0.867
ˈøː	ˈɔ	0.846
n	n	0.81
v	v	0.808
ˈɔ	ˈɔ	0.8
k	k	0.8
ˈu	ˈu	0.769
f	f	0.76
ˈã	ˈa_n	0.692
b	b	0.684
ˈe	ˈɛ	0.667
ˈa	ˈa	0.667
ɡ	ɡ	0.667
t	t	0.658
ˈeː	ˈi	0.647
i	i	0.625
ˈẽ	ˈɛ_n	0.6
r	ɾ	0.6
ˈɛ	ˈɛ	0.588
j	ɟː	0.583
ʧ	cː	0.556
#>	ʊ_#>	0.553
ʤ	-	0.5
l	l	0.472
ˈi	ˈi	0.455
s	s	0.436
#>	ɪ_#>	0.421
ˈẽ	ˈi	0.4
ʒ	ʤ	0.4
d	ɾ	0.4
i	ʊ	0.375
u	u	0.364
ˈeː	ˈɛ	0.353
e	i	0.346
ˈe	ˈi	0.333
ʧ	tː	0.333
ʤ	j	0.333
ɡ	-	0.333
l	ɖː	0.333
d	t	0.333
ˈã	ˈa	0.308
ˈũ	ˈɔ_n	0.3
ˈũ	ˈu_n	0.3
ˈi	ˈu	0.273
ˈi	ɪ	0.273
u	ʊ	0.273
ˈɛ	ˈi	0.265
b	-	0.263
j	-	0.25
ˈu	-	0.231
e	ɪ	0.231
t	tː	0.211
ˈɔ	ˈa_w	0.2
ˈũ	ˈu	0.2
ˈũ	ˈo	0.2
ʒ	ɕ	0.2
ʒ	j	0.2
ʒ	-	0.2
v	p	0.192
ˈa	ˈa_r	0.19
u	o	0.182
u	-	0.182
r	r	0.18
ʤ	ɟ	0.167
j	ˈi	0.167
s	ɕ_ɪ	0.164
ˈøː	-	0.154
e	-	0.154
ˈa	ˈa_ɾ	0.143
l	-	0.139
ˈyː	-	0.133
d	ʈ	0.133
d	-	0.133
f	v	0.12
e	ɽ	0.115
ʧ	dː	0.111
ɲ	ɲ	0.111
m	mː	0.111
s	ʃ	0.109
n	nː	0.095
n	-	0.095
k	kː	0.089
ˈɛ	ˈe	0.088
r	ʊ	0.08
f	v_ɪ	0.08
t	-	0.079
e	ɾ	0.077
e	ɪ_ɾ	0.077
s	ʦː	0.073
s	ʃː	0.073
s	sː	0.073
k	ŋ_k	0.067
r	r_ʊ	0.06
ˈɛ	ɪ	0.059
l	ʊ	0.056
t	ʈ	0.053
b	bː	0.053
