Nynorsk Norwegian	Yiddish	probability
b	b	1.0
d	t	0.766
d	d	0.204
e	-	0.557
e	ə	0.379
e	ɛ	0.045
e	ˈɔɪ̯	0.039
f	f	1.0
h	h	0.916
h	k	0.083
j	ɡ	0.522
j	-	0.244
j	t	0.104
j	ˈɛ	0.104
k	χ	0.815
k	k	0.157
kʰ	k	0.664
kʰ	-	0.315
l	l	0.967
l	-	0.04
lː	l	1.0
m	m	0.773
m	ə_m	0.118
m	v	0.059
m	n	0.055
m_j	m	1.0
mː	m	0.521
n	n	0.852
n	-	0.071
n	ʀ	0.071
nː	n	0.61
nː	n_t	0.109
nː	l	0.085
nː	ʀ	0.085
nː	d	0.073
p	f	0.867
p	p	0.121
pʰ	f	0.271
s	z	0.485
s	ʃ	0.292
s	s	0.137
s	ʃ_v	0.067
s	-	0.039
s_e	z	1.0
s_k	ʃ	1.0
sː	d	0.521
t	s	0.532
t	t	0.317
t	ʦ	0.144
tʰ	d	0.446
tʰ	ʦ	0.254
tʰ	t	0.188
tʰ	ʦ_v	0.087
v	v	1.0
ç	k	0.422
ç	t	0.278
ç	d	0.114
ç	χ	0.108
çː	ʦ	1.0
ŋ	ɪ	1.0
ŋː	ŋ	1.0
ɑ	n	0.511
ɑ	ə	0.281
ɑ	-	0.148
ɑ	ɪ	0.05
ə	n	1.0
ɛ	-	0.344
ɛ	ə	0.344
ɡ	ɡ	0.685
ɡ	χ	0.197
ɡ	k	0.06
ɡ	-	0.054
ɡː	k	0.803
ɡː	-	0.099
ɲ	ŋ	0.271
ɾ	ʀ	0.898
ɾ	-	0.065
ʃ	ʃ	0.291
ʃ	z	0.264
ʃ	ʧ	0.249
ʉ	-	1.0
ʋ	v	0.474
ʋ	b	0.226
ʋ	f	0.182
ʋ	-	0.057
ʋ	t	0.051
ʰkː	ŋ_k	0.218
ʰkː	k	0.19
ʰtː	χ_t	0.833
ʰtː	χ	0.145
ˈeː	ˈɛ	0.506
ˈeː	ˈɪ	0.312
ˈeː	ˈaɪ̯	0.122
ˈeː	ˈa	0.06
ˈiː	ˈaɪ̯	0.659
ˈiː	ˈɪ	0.324
ˈoː	ˈɔ	0.497
ˈoː	ˈɛ	0.168
ˈoː	ˈi	0.097
ˈoː	ˈa	0.081
ˈoː	ˈɔɪ̯	0.08
ˈuː	ˈʊ	0.566
ˈuː	ˈʊ_t	0.357
ˈuː	ˈɛɪ̯	0.067
ˈyː	ˈaɪ̯	0.264
ˈyː	ˈɪ	0.243
ˈyː	ˈaɪ̯_ə	0.158
ˈæ	ˈa	1.0
ˈæɪ̯	ˈɛɪ̯	0.82
ˈæɪ̯	ˈɔ	0.179
ˈæʉ̯	ˈɔɪ̯	1.0
ˈæːɪ̯	ˈɛɪ̯	0.141
ˈøː	ˈɪ	0.413
ˈøː	ˈɛɪ̯	0.219
ˈøː	ə	0.157
ˈøː	ˈɔɪ̯	0.15
ˈœ	ˈɪ	0.344
ˈœ	ˈɛ	0.344
ˈœʏ̯	ˈɔɪ̯	0.758
ˈœʏ̯	ˈɛ	0.144
ˈɑ	ˈa	0.837
ˈɑ	ˈɔ	0.16
ˈɑː	ˈɔ	0.641
ˈɑː	ˈa	0.346
ˈɔ	ˈʊ	0.311
ˈɔ	ˈɔ	0.244
ˈɔ	ˈa	0.185
ˈɔ	ˈɔɪ̯	0.14
ˈɔ	ˈɛ	0.083
ˈɛ	ˈɛ	0.675
ˈɛ	ˈaɪ̯	0.118
ˈɛ	ˈa	0.089
ˈɛ	ˈɪ	0.075
ˈɛ	ˈɛɪ̯	0.054
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	0.944
ˈɪ	ʀ	0.062
ˈʉ	v_ˈɔ	0.274
ˈʉ	ˈɔɪ̯	0.274
ˈʉ	ˈʊ	0.158
ˈʉ	ˈɛ	0.158
ˈʉ	ˈɔ	0.117
ˈʉː	ˈɔɪ̯	0.493
ˈʉː	ˈɪ	0.239
ˈʉː	ˈʊ	0.098
ˈʉː	ˈɛ	0.084
ˈʉː	ˈɔ	0.078
ˈʊ	ˈɔ	0.292
ˈʊ	ˈʊ	0.193
ˈʊ	ˈɛ	0.168
ˈʊ	j	0.125
ˈʊ	ˈɪ	0.096
ˈʏ	ˈɪ	0.492
ˈʏ	ˈʊ	0.132
ˈʏ	ˈaɪ̯	0.104
ˈʏ	ˈɔ	0.104
ˈʏ	ˈɛ	0.101
