Old Church Slavonic	Old Church Slavonic	probability
ˈ	-	1.0
ʒ	ʒ	1.0
ʊ_ˈ	o	1.0
ʃ_t	ʦ	1.0
ɪ_#>	#>	1.0
ɡ_ʊ	x	1.0
ɡ	ɦ	1.0
ɛ̃_ˈ	a	1.0
ɛ_ˈ	ɪ	1.0
ɔ̃	u	1.0
ɔ_ˈ	o	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ɔ	1.0
v_ʊ	w_ɪ	1.0
u	u	1.0
t_ɪ	ʨ	1.0
t_ɔ	t_ɔ	1.0
t_i	ʨ	1.0
t	t	1.0
s_ʊ_#>	s_#>	1.0
s_ʊ	s	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r_ɑ	ʀ_ɔ	1.0
nʲ	ɲ	1.0
n_ɪ	ɲ	1.0
m_ɪ	ɔ_m	1.0
l_ʊ	w	1.0
l_ɪ_#>	l_#>	1.0
l_ɪ	ɔ_w	1.0
l_ɑ	w_o	1.0
l_æ	l_ɛ	1.0
j	j	1.0
i_ˈ	i	1.0
d_ʊ	d̥	1.0
d_ɛ	ʥ_e	1.0
b_ʊ	b̥	1.0
a	a	1.0
<#_v	<#_w	1.0
<#_t	<#_ʨ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_w	1.0
#>	ɔ_#>	1.0
ɑ	a	0.946
z	z	0.867
n	n	0.867
k	k	0.864
ɯ	ɪ	0.778
x	x	0.778
v	ɥ	0.765
ʊ_#>	#>	0.76
ʊ	ɪ	0.75
d	d	0.75
b	b	0.7
æ	e	0.682
ʧ	ʧ	0.667
m	m	0.667
l	w	0.667
ʦ	ʦ	0.6
r_ɪ	ɔ_ʀ	0.6
p	p	0.6
ɪ	-	0.556
ɛ	ɛ	0.5
r	ʀ	0.5
ɪ	ɔ	0.444
ɛ̃	a	0.444
i	-	0.429
ʦ	-	0.4
r_ɪ	e_ʀ	0.4
r	ʀʲ	0.4
p	pʲ	0.4
ʧ	ʃ	0.333
ɛ̃	ɛ	0.333
m	mʲ	0.333
l	l	0.333
b	bʲ	0.3
i	ɪ	0.286
i	i	0.286
ɛ	ɔ	0.273
d	ʥ	0.25
ʊ_#>	i_#>	0.24
v	w	0.235
æ	ɛ	0.227
ɯ	-	0.222
ɛ̃	-	0.222
x	xʲ	0.222
ʊ	w	0.15
ɛ	-	0.136
k	kʲ	0.136
z	-	0.133
n	ɲ	0.133
ʊ	-	0.1
r	ʃ	0.1
ɛ	e	0.091
æ	-	0.091
ɑ	ɔ	0.054
