French	French	probability
ʁ_y	y	1.0
ʁ_s	ʁ_s	1.0
ɲ	ɲ	1.0
ɥ	w	1.0
ɡ	ɡ	1.0
z	z	1.0
y_ʁ	ˈy	1.0
w_a	ˈɛː	1.0
v	v	1.0
t_#>	t_a_#>	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
i_ʁ	ˈi	1.0
f_#>	f_#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_ʁ	ð	1.0
a_s	a_s	1.0
<#_ʁ	<#_ʁ	1.0
ʃ	ʃ	0.917
k	k	0.917
ɔ̃	ˈɔ̃	0.846
ʁ	ʁ	0.819
l	l	0.771
ə	ə	0.7
y	ˈu	0.625
a_#>	#>	0.625
<#_a	<#_a	0.6
#>	ə_#>	0.589
ɛ_ʁ	ˈaː_ð	0.571
ø	w	0.556
i	ˈi	0.529
j	j	0.5
ʒ	ð	0.471
ɛ̃	ˈɛ̃	0.429
ɛ_ʁ	ˈe_ʁ	0.429
ɑ̃	ˈɑ̃	0.421
w	w	0.417
o	ˈe_l	0.4
<#_a	<#_ˈɑː	0.4
e	ˈa	0.379
a	ˈa	0.379
y	-	0.375
a_#>	ˈe_#>	0.375
ɑ̃	ˈɛ̃	0.368
ʒ	ʒ	0.353
o	ˈoː	0.35
ɛ̃	ˈĩ	0.333
w	ˈɛː	0.333
ə	-	0.3
œ	ˈø	0.273
œ	ˈoː	0.273
œ	w_ˈe	0.273
u	ˈo	0.269
i	ˈe	0.265
ɛ	ˈɛ	0.256
w	-	0.25
j	ʎ	0.25
j	-	0.25
e	e	0.241
a	a	0.241
ɛ̃	ˈɑ̃	0.238
ɔ	ˈɔ	0.235
ɔ	ˈoː	0.235
ɔ	ɔ	0.235
u	o	0.231
ø	ˈø	0.222
ø	ˈu	0.222
e	j_ˈe	0.207
ɛ	ˈɛː	0.205
ɛ	ˈe	0.205
u	ˈu	0.192
œ	-	0.182
ʒ	ð_o	0.176
ɔ	ˈø	0.176
#>	ʃ_#>	0.161
ɔ̃	ɔ̃	0.154
u	ˈoː	0.154
o	-	0.15
l	l_a	0.146
a	ˈɛ	0.138
a	-	0.138
ɛ	ˈa	0.128
ʁ	ð	0.125
ɔ	ˈo	0.118
ɑ̃	ˈĩ	0.105
ɛ	ɛ	0.103
e	ˈaː	0.103
o	ˈe	0.1
i	-	0.088
ʃ	ʃ_i	0.083
k	-	0.083
u	ˈɔ	0.077
u	w	0.077
e	i	0.069
a	ˈe	0.069
i	j	0.059
i	i	0.059
#>	ˈe_#>	0.054
#>	ˈa_#>	0.054
#>	ʎ_#>	0.054
#>	l_#>	0.054
ɑ̃	ɛ̃	0.053
ɑ̃	ɑ̃	0.053
ɛ	ˈɑː	0.051
ɛ	ˈa_j	0.051
