Middle Chinese	Middle Chinese	probability
˧˥	²¹³	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	s	1.0
ʣ	ʨʰ	1.0
ʔˠ	-	1.0
ʔ	ŋ	1.0
ʑ	s	1.0
ʌ_i	a_j	1.0
ʉ_ɐ	ɔ	1.0
ʈˠ	ʦ	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ʃ	s_ɛ	1.0
ɳ	nʲ	1.0
ɨ_ʌ	y	1.0
ɦˠ	h	1.0
ɡˠ	ʨʰ	1.0
ɡ	ʨʰ	1.0
ɖˠ	ʦʰ	1.0
ɖ	ʦʰ	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_u	a_w	1.0
ȵ	nʲ	1.0
ŋˠ	ŋ	1.0
ŋ	ŋ	1.0
æ	a	1.0
w	-	1.0
u_ɑ	ɵ	1.0
u_o	ŋ̍	1.0
t̚	t̚_⁵	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	ɕ	1.0
p̚	a_t̚	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
mˠ	m	1.0
l	l	1.0
kʰˠ	kʰ	1.0
i_u	ɥ	1.0
hˠ	f	1.0
h	h	1.0
e_i	i	1.0
d	tʰ	1.0
bˠ	pʰ	1.0
b	f	1.0
a	a	1.0
<#_m_ɨ	<#	1.0
<#_h	<#	1.0
n	n	0.917
ə	ɛ	0.778
ɪ	i	0.75
i	-	0.706
ɛ	ɵ	0.667
m	n	0.667
k̚	ʔ	0.667
kʰ	kʰ	0.667
p	f	0.625
ʦʰ	ʦʰ	0.6
ʉ	-	0.6
ɨ_u	u	0.6
<#_ɦ	<#	0.6
<#_ŋ	<#_nʲ	0.6
˥˩	¹¹	0.588
o	u	0.571
k	k	0.571
ɦ	h	0.5
ɦ	f	0.5
˦	⁴²	0.493
u	w	0.444
o	-	0.429
k	ʨ	0.429
u	u	0.417
ʦʰ	ʨʰ	0.4
ʉ	ɥ	0.4
ɨ_u	ɨ	0.4
<#_ɦ	<#_w	0.4
<#_ŋ	<#	0.4
ɐ	ɔ	0.375
ɐ	-	0.375
p	p	0.375
ʌ	ɔ	0.333
ʌ	e	0.333
ʌ	a	0.333
ɛ	a	0.333
ɑ	ɔ	0.333
ɑ	o	0.333
m	m	0.333
k̚	t̚	0.333
kʰ	ʨʰ	0.333
ɨ	j	0.32
˦	³⁵	0.319
e	ɛ	0.312
˥˩	²¹³	0.294
i	j	0.294
ɪ	-	0.25
ɐ	ɵ	0.25
e	j_ɛ	0.25
ɨ	-	0.24
ə	-	0.222
ɑ	a	0.2
˦	²⁴	0.188
e	a	0.188
ɨ	i	0.16
ɑ	ɵ	0.133
e	z̩	0.125
e	j_a	0.125
ɨ	z̩	0.12
˥˩	³⁵	0.118
u	ɨ	0.083
n	l	0.083
ɨ	ɨ	0.08
ɨ	y	0.08
u	-	0.056
