Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛː	-	1.0
ˈɛ_s	s_t	1.0
ˈɑ̃	ˈa_ŋ	1.0
ˈøː_#>	ˈo_ɡ_o_#>	1.0
ˈy	-	1.0
ˈuː_#>	ˈo_v_o_#>	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ˈa_ʀ	r_t	1.0
ˈa_s	r_θ	1.0
ˈa	ˈa	1.0
ʒ	z	1.0
ɲː	e_n	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛː	u	1.0
ɔ̃	o_ŋ	1.0
w_#>	a_#>	1.0
v	v	1.0
uː	-	1.0
t	t	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k_ʀ	k_r	1.0
k_l	ʧ	1.0
j_#>	a_#>	1.0
i	-	1.0
ẽ	i	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʀ	r	0.947
k	k	0.917
a	a	0.8
ˈɔ̃	ˈo_ŋ	0.75
f	f	0.739
ˈuː	ˈo	0.714
ˈẽ	ˈi_ŋ	0.714
ʤ	ð	0.714
ˈøː	ˈo	0.667
ˈa_#>	l_#>	0.636
ˈɛ̃	ˈe_ŋ	0.625
ˈu	-	0.6
ˈoː	ˈɔ	0.6
ɔ	o	0.6
ʧ	k	0.588
#>	a_#>	0.552
s	θ	0.538
j	ˈɛ	0.524
ˈɔː	ˈa	0.5
ˈɔː	-	0.5
ˈɛ	ˈe	0.476
l	j	0.467
ˈiː	ˈa	0.462
s	s	0.462
ˈɔ	ˈo	0.455
w	-	0.455
ɛ	-	0.444
ˈu	ˈo	0.4
ˈoː	-	0.4
ɔ	-	0.4
l	l	0.4
ˈɛ̃	ŋ	0.375
ˈɔ	ˈɔ	0.364
ˈa_#>	#>	0.364
ˈøː	ˈe	0.333
ˈe	ˈa_r	0.333
ˈe	ˈa	0.333
ˈe	r	0.333
ʃ	s_k	0.333
ɛ	a	0.333
ˈiː	j_ˈe	0.308
ˈuː	ˈɔ	0.286
ˈẽ	ŋ	0.286
ʤ	-	0.286
w	ˈɔ	0.273
ˈɔ̃	ˈo	0.25
ʧ	k_a	0.235
ˈiː	ˈi	0.231
ʃ	ˈe_s	0.222
ʃ	s_e	0.222
ʃ	s	0.222
ɛ	ˈa	0.222
a	-	0.2
ˈɛ	ˈi	0.19
ˈɛ	ˈa	0.19
ˈɔ	ˈu	0.182
ʧ	k_ˈa	0.176
f	v	0.174
ˈɛ	ˈɛ	0.143
j	o	0.143
j	-	0.143
w	ˈe	0.136
w	w	0.136
#>	t_#>	0.134
l	ˈa	0.133
#>	r_#>	0.119
j	j	0.095
j	e_d	0.095
#>	l_#>	0.09
f	a_v	0.087
k	ʤ	0.083
#>	s_#>	0.075
ʀ	r_e	0.053
