Neapolitan	Corsican	probability
a	a	0.799
a	u	0.079
a	o	0.052
b	b	0.903
b	-	0.087
d	d	0.945
d	ɟ	0.06
e	e	0.29
e	i	0.22
e	-	0.145
e	ˈɛ	0.111
e	a	0.103
e	ˈi	0.103
f	f	1.0
i	i	0.659
i	e	0.159
i	-	0.118
i	ˈi	0.06
j	-	0.608
j	j	0.239
j	ɟ	0.149
k	k	0.76
k	c	0.091
k	-	0.082
l	l	0.961
m	m	0.852
m	-	0.147
m_ə	e	0.922
m_ə	u	0.058
n	n	0.954
n_ʤ	ɲ	1.0
o	u	0.725
o	ˈɔ	0.199
p	p	1.0
r	r	1.0
s	s	0.813
s	l	0.111
t	t	0.99
u	u	0.859
u	-	0.074
u	ˈɔ	0.074
v	v	0.721
v	b	0.232
w	-	0.719
w	w	0.189
w	l	0.088
z	z	0.268
ŋ	ŋ	1.0
ə	u	0.409
ə	a	0.266
ə	e	0.246
ə_ɾ	e	0.268
ɡ	ɡ	0.807
ɡ	k	0.115
ɡ	ɟ	0.076
ɲ	ɲ	0.531
ɲ	ŋ	0.117
ɲ	ɟ	0.117
ɲ	-	0.072
ɲ	b	0.063
ɲ	m	0.063
ɲ_ə	a	0.538
ɲ_ə	u	0.457
ɾ	r	0.791
ɾ	d	0.116
ɾ	-	0.059
ɾ_ə	e	1.0
ʃ	ʧ	0.506
ʃ	ʃ	0.152
ʃ	-	0.116
ʃ	s	0.088
ʃ	f	0.062
ʎ	ʎ	0.628
ʎ	-	0.177
ʎ	b	0.16
ʎ_ə	a	0.5
ʎ_ə	u	0.5
ʤ	ɟ	0.683
ʤ	-	0.153
ʤ	ʤ	0.153
ʤ_ə	a	1.0
ʦ	ʦ	0.684
ʦ	s	0.114
ʦ	ʧ	0.072
ʦ	-	0.068
ʦ	ʣ	0.068
ʧ	ʧ	1.0
ˈa	ˈa	0.978
ˈe	ˈɛ	0.651
ˈe	ˈe	0.262
ˈe	ˈi	0.079
ˈi	ˈi	0.502
ˈi	ˈɛ	0.33
ˈi	e	0.076
ˈi	ˈe	0.058
ˈi_ɾ	ˈi	1.0
ˈi_ʎ	ˈi	1.0
ˈo	ˈɔ	0.753
ˈo	ˈo	0.128
ˈo	ˈu	0.102
ˈu	ˈu	0.552
ˈu	ˈɔ	0.29
ˈu	ˈo	0.153
ˈɔ	ˈɔ	0.661
ˈɔ	ˈo	0.316
ˈɛ	ˈe	0.555
ˈɛ	ˈɛ	0.442
