Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʏ	-	1.0
ˈʊ	ˈu	1.0
ˈyː	-	1.0
ˈiː_#>	ˈiː_s_#>	1.0
ˈeː	ˈa_r	1.0
ˈaɪ̯	ˈa_s	1.0
ˈa	ˈa	1.0
ɾ	-	1.0
ɪ	-	1.0
ɣ	ˈiu̯	1.0
ɡ̊	ɡ_s	1.0
ɡ	ɡ	1.0
æ_n	r_n	1.0
z̥	s	1.0
z	s_ˈɛ	1.0
x	h	1.0
w	w	1.0
s	s	1.0
r	r	1.0
p	p	1.0
k	k	1.0
h	h	1.0
f	f	1.0
d̥_#>	t_#>	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_z	<#_s	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_θ	1.0
v	w	0.889
l	l	0.889
b	b	0.857
n	n	0.809
ˈɪ	ˈi	0.762
#>	s_#>	0.719
m	m	0.684
v̥	f_s	0.667
ˈɛː	-	0.6
ˈɔ	ˈu	0.6
ˈœː	ˈu	0.6
ˈoː	-	0.6
ç	s	0.6
<#	<#_h	0.6
ˈɛ	ˈi	0.571
ˈuː	ˈuː	0.571
t	t	0.556
ʃ	s	0.533
ˈɒː	ˈeː	0.5
ˈɒː	ˈa	0.5
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ˈaː	ˈɛ_r	0.5
ˈaː	ˈa_r	0.5
j	ɡ	0.5
j	j	0.5
æ	r	0.476
ˈaʊ̯	ˈoː	0.467
ʃ	s_k	0.467
ŋ	ŋ_ɡ	0.444
ˈɛ	-	0.429
ˈiː	ˈiː	0.417
ˈɛː	ˈi	0.4
ˈɔ	ˈa	0.4
ˈœː	-	0.4
ˈoː	ˈɔː	0.4
ˈae̯	ˈɛː	0.4
ç	x	0.4
<#	<#_ˈu	0.4
ˈae̯	ˈiu̯	0.333
ŋ	ŋ	0.333
æ	a_r	0.333
v̥	b	0.333
d̥	θ	0.316
ˈuː	ˈɔ	0.286
ˈae̯	-	0.267
d̥	θ_s	0.263
ˈiː	ˈi	0.25
ŋ	ɣ_a	0.222
d̥	d_s	0.211
ˈaʊ̯	ˈɔː	0.2
ˈaʊ̯	ˈa	0.2
t	t_s	0.185
ˈiː	ˈɛ	0.167
ˈiː	ˈiu̯	0.167
#>	n_#>	0.158
ˈɪ	ˈɛː	0.143
ˈuː	ɡʷː	0.143
b	-	0.143
ˈaʊ̯	ˈɔ	0.133
#>	a_#>	0.123
v	ʍ	0.111
t	t_a	0.111
l	lː	0.111
m	β_a	0.105
m	β	0.105
m	a	0.105
d̥	θ_iː	0.105
d̥	d_u	0.105
ˈɪ	ˈiː	0.095
æ	a	0.095
æ	-	0.095
t	s	0.074
t	-	0.074
n	nː	0.064
n	n_θ	0.064
n	n_d	0.064
