Dutch	Old English	probability
b	b	0.98
d	d	0.56
d	θ	0.326
d	ð	0.052
f	f	0.77
f	v	0.23
i	iːy̯	1.0
j	j	1.0
k	ʧ	0.507
k	k	0.423
m	m	0.906
m	mː	0.062
n	n	0.89
n	-	0.054
p	p	0.948
p	pː	0.052
s	s	0.521
s	ʃ	0.297
s	z	0.072
s	k_s	0.053
t	t	0.607
t	d	0.307
t	θ	0.05
v	f	0.749
v	v	0.188
w	w	1.0
z	s	0.93
z	z	0.07
ŋ	ŋ	0.906
ŋ	j	0.094
ə	ɑ	0.529
ə	e	0.178
ə	o	0.15
ə	-	0.139
ɦ	h	1.0
ɪ	i	1.0
ɫ	l	0.7
ɫ	ɫ	0.234
ɾ	r	0.871
ɾ	e_r	0.053
ʋ	w	0.903
ʋ	ʍ	0.097
ˈaː	ˈɑ	0.195
ˈaː	ˈæː	0.18
ˈaː	ˈoː	0.131
ˈaː	ˈæːɑ̯	0.128
ˈaː	ˈeo̯	0.098
ˈaː	ˈæ	0.073
ˈaː	ˈæɑ̯	0.072
ˈaː	ˈɑː	0.067
ˈeː	ˈɑː	0.446
ˈeː	ˈe	0.306
ˈeː	ˈi	0.104
ˈeː	ˈæː	0.065
ˈeː	ˈeo̯	0.054
ˈi	ˈeːo̯	0.781
ˈi	ˈiːy̯	0.135
ˈoː	ˈo	0.343
ˈoː	ˈæːɑ̯	0.278
ˈoː	ˈu	0.15
ˈoː	ˈiːy̯	0.105
ˈoː	ˈy	0.066
ˈu	ˈoː	0.532
ˈu	ˈeː	0.407
ˈu	ˈuː	0.061
ˈyː	ˈuː	0.601
ˈyː	ˈyː	0.208
ˈyː	ˈiːy̯	0.096
ˈyː	ˈæː	0.096
ˈøː	ˈo	1.0
ˈœy̯	ˈuː	0.73
ˈœy̯	ˈyː	0.164
ˈœy̯	ˈeːo̯	0.072
ˈɑ	ˈɑ	0.373
ˈɑ	ˈæ	0.179
ˈɑ	ˈæɑ̯	0.14
ˈɑ	ˈoː	0.117
ˈɑ	ˈeo̯	0.066
ˈɑ	ˈɛ	0.062
ˈɑu̯	ˈæɑ̯	0.568
ˈɑu̯	ɫ	0.295
ˈɑu̯	e	0.137
ˈɔ	ˈu	0.583
ˈɔ	ˈo	0.202
ˈɔ	ˈy	0.089
ˈɔ	-	0.077
ˈɛ	ˈeo̯	0.255
ˈɛ	ˈe	0.251
ˈɛ	ˈi	0.241
ˈɛ	ˈæɑ̯	0.094
ˈɛ	-	0.065
ˈɛi̯	ˈiː	0.546
ˈɛi̯	ˈɑː	0.2
ˈɛi̯	ˈeː	0.174
ˈɛi̯	ˈeːo̯	0.073
ˈɪ	ˈi	0.81
ˈɪ	ˈeːo̯	0.075
ˈɪ	ˈeː	0.064
ˈʏ	ˈy	0.725
ˈʏ	ˈu	0.205
ˈʏ	ˈeo̯	0.07
χ	j	0.202
χ	ɡ	0.194
χ	ɣ	0.17
χ	-	0.141
χ	ʤ	0.118
χ	ç	0.089
χ	x	0.066
