Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ˈe_n	1.0
ˈɛ_t	ˈi_t	1.0
ˈɛ_r	ˈæ_r	1.0
ˈɛ_j	ˈæ_r	1.0
ˈə	-	1.0
ˈø_v	ˈɒ_w	1.0
ˈu_z	ˈæ_w	1.0
ˈu_r	ˈo_r	1.0
ˈe_j	ˈæ	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ʧ	k_l	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ŋ_t_#>	n_#>	1.0
ŋ_a	n_ɐ	1.0
ŋ_#>	#>	1.0
t_a	t_ɜ	1.0
s_#>	w_#>	1.0
r_ˈɛ	ɾ_ˈæ	1.0
r_ˈu	r_ˈɒ	1.0
r_t	r_t	1.0
r_s	r_s	1.0
n_a	n_ɞ	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
j_#>	ʎ_#>	1.0
f	f	1.0
dː	w	1.0
d_#>	t_#>	1.0
a_#>	#>	1.0
<#_ˈø	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_a	1.0
m	m	0.958
k	k	0.953
ˈa	ˈa	0.951
p	p	0.941
s	s	0.862
ʤ	ʤ	0.857
ˈy	ˈu	0.824
ˈi	ˈi	0.812
t	t	0.8
ˈɔ	ˈɒ	0.786
ɡ	ɡ	0.778
b	b	0.737
j_ˈa	l_ˈa	0.667
v	v	0.659
d	d	0.65
n	n	0.643
u	o	0.625
ˈɛ	ˈe	0.6
r	ɾ	0.583
l	ʎ	0.545
ŋ	n	0.524
ˈø	ˈɒ	0.5
ˈu	ˈo	0.5
ə	ɾ	0.5
ə	-	0.5
w	w	0.5
w	l	0.5
l	l	0.455
i	i	0.417
i	e	0.417
j	-	0.375
#>	s_#>	0.364
ˈe	ˈa_r	0.361
a	ɐ	0.351
ˈu	ˈɒ	0.346
ŋ	ŋ	0.333
z	e	0.333
r	r	0.333
j_ˈa	ˈa	0.333
e	e	0.32
ˈø	ˈu	0.3
j	ʎ	0.292
j	l	0.292
ˈɛ	ˈæ	0.28
z	w	0.25
z	-	0.25
u	-	0.25
d	ð	0.25
a	a	0.247
ˈe	ˈæ	0.222
ɡ	ɣ	0.222
n	-	0.214
a	ɜ	0.208
ˈø	o	0.2
v	β	0.195
#>	ɜ_#>	0.182
ˈy	ˈo	0.176
ˈe	ˈe	0.167
z	s	0.167
i	-	0.167
e	ˈi_r	0.16
e	-	0.16
b	β	0.158
a	ɞ	0.156
ˈu	ˈu	0.154
ʤ	ɡ_l	0.143
ŋ	-	0.143
n	n_d	0.143
ˈi	-	0.125
u	u	0.125
e	ɾ	0.12
b	-	0.105
d	-	0.1
v	w	0.098
#>	z_ɐ_#>	0.091
#>	w_#>	0.091
#>	t_#>	0.091
#>	r_#>	0.091
#>	e_#>	0.091
t	ð	0.086
s	ʃ	0.086
ˈe	ˈe_r	0.083
ˈɛ	-	0.08
e	ɾ_e	0.08
e	i	0.08
e	e_r	0.08
ˈɔ	ˈæ	0.071
ˈɔ	ˈo	0.071
ˈɔ	-	0.071
ˈi	ˈæ	0.062
p	-	0.059
t	ˈi_t	0.057
t	j_t	0.057
ˈe	ˈi	0.056
ˈe	ˈa	0.056
ˈe	r	0.056
s	-	0.052
