East Low German	Icelandic	probability
b	b̥	0.843
b	v	0.154
d	d̥	0.41
d	θ	0.304
d	-	0.12
d	ð_ʏ	0.062
d	d̥_ʏ	0.055
f	f	0.777
f	v_ʏ	0.15
f	-	0.048
f	kʰ	0.031
h	h	0.842
h	ç	0.155
j	ɟ̊	0.351
j	-	0.306
j	ɡ̊	0.306
k	k	0.459
k	ɡ̊_ʏ	0.243
k	ɡ̊	0.094
k	c	0.068
k	ʰk	0.068
kʰ	kʰ	0.545
kʰ	-	0.158
kʰ	cʰ	0.118
l	l	0.565
l	l̥	0.329
l	l_ʏ	0.048
l	-	0.031
l	nː	0.027
m	m	0.534
m	m_ʏ	0.2
m	a	0.159
m	-	0.059
m	n̥	0.033
n	n	0.421
n	a	0.17
n	-	0.155
n	nː	0.123
n	n̥	0.054
p	p	0.478
p	p_ʏ	0.326
p	ʰp	0.075
p	v	0.05
r	r	0.823
r	-	0.123
r	r̥	0.049
s	s	0.787
s	r	0.082
s	v	0.063
s	sː	0.062
t	t	0.299
t	ð	0.29
t	t_ʏ	0.18
t	-	0.137
t	ʰt	0.044
tʰ	tʰ	1.0
v	v	0.617
v	-	0.374
w	v	1.0
x	ʰt	0.47
x	ɣ	0.224
x	r̥	0.105
x	ɡ̊	0.068
x	-	0.066
z	s	0.804
z	s_j	0.142
z	m	0.046
æ	r	0.281
æ	ɪ_r̥	0.241
æ	r̥	0.24
æ	r_a	0.062
æ	-	0.062
ç	r̥	0.2
ç	ɣ	0.16
ç	ʰt	0.148
ç	rː̥	0.098
ç	ɟ̊	0.098
ŋ	ŋ	0.662
ŋ	a	0.159
ŋ	ɲ	0.079
ŋ	ɡ̊	0.074
ŋ_k	ʰk	1.0
ɡ	ɡ̊	0.662
ɡ	ɟ̊	0.321
ɣ	j	0.468
ɪ	ʏ	0.188
ɪ	u	0.188
ɪ	ɑu̯	0.173
ɪ	ŋ	0.173
ɾ	ð	0.656
ɾ	ð_ʏ	0.217
ɾ	r	0.099
ʃ	s	0.505
ʃ	s_k	0.255
ʃ	s_c	0.234
ˈa	ˈa	0.308
ˈa	ˈaː	0.275
ˈa	ˈɑu̯	0.231
ˈa	ˈɛ	0.071
ˈa	ˈɔu̯	0.044
ˈae̯	ˈɛːi̯	0.198
ˈae̯	j	0.198
ˈae̯	j_ˈoːu̯	0.159
ˈae̯	j_ˈuː	0.135
ˈae̯	ˈœː	0.078
ˈaɪ̯	ˈoːu̯	1.0
ˈaʊ̯	ˈoːu̯	0.349
ˈaʊ̯	ˈœːy̯	0.292
ˈaʊ̯	ˈa	0.089
ˈaʊ̯	ˈaːi̯	0.059
ˈaʊ̯	ˈɔu̯	0.049
ˈaː	ˈa_r̥	0.354
ˈaː	ˈa_r	0.19
ˈaː	ˈaː	0.173
ˈaː	ˈɛ	0.091
ˈeː	ˈoːu̯	0.45
ˈeː	ˈɑːu̯	0.211
ˈeː	ˈaː	0.113
ˈiː	ˈiː	0.588
ˈiː	j	0.161
ˈiː	ˈɪ	0.104
ˈiː	ˈɛː	0.082
ˈiː	ˈɪː	0.044
ˈoː	ˈɑːu̯	0.347
ˈoː	ˈɔ	0.263
ˈoː	ˈœ	0.141
ˈoː	ˈœːy̯	0.141
ˈuː	ˈuː	0.469
ˈuː	ˈɔ	0.225
ˈuː	ˈʏ	0.125
ˈuː	ˈɪ	0.066
ˈuː	ˈɛːi̯	0.065
ˈyː	ˈɛːi̯	0.315
ˈyː	ˈi	0.183
ˈyː	ˈiː	0.183
ˈyː	ˈʏː	0.107
ˈøː	ˈʏ	0.574
ˈøː	ˈou̯	0.269
ˈœ	ˈœː	0.229
ˈœ	ˈou̯	0.229
ˈœ	ˈɛ	0.229
ˈœː	ˈɔː	0.156
ˈœː	ˈiː	0.156
ˈœː	ˈʏ	0.156
ˈœː	ˈi	0.148
ˈœː	ˈœː	0.148
ˈɒː	ˈɑːu̯	0.236
ˈɒː	ˈaː	0.132
ˈɒː	ˈa	0.11
ˈɒː	ˈɔː	0.1
ˈɒː	ˈœ	0.1
ˈɔ	ˈʏː	0.251
ˈɔ	ˈʏ	0.19
ˈɔ	ˈa	0.123
ˈɔ	j	0.118
ˈɔ	ˈɪ	0.076
ˈɔʏ̯	ˈeːi̯	0.349
ˈɔʏ̯	ˈaːi̯	0.285
ˈɔʏ̯	ˈai̯	0.11
ˈɛ	ˈɛ	0.324
ˈɛ	ˈɛːi̯	0.106
ˈɛ	ˈaːi̯	0.104
ˈɛ	ˈʏː	0.094
ˈɛ	ˈœː	0.069
ˈɛː	ˈɛː	0.608
ˈɛː	ˈœ	0.175
ˈɛː	ˈiː	0.102
ˈɛː	ˈɛ	0.068
ˈɪ	ˈɪ	0.228
ˈɪ	ˈɛ	0.206
ˈɪ	ˈi	0.169
ˈɪ	ˈiː	0.109
ˈɪ	ˈɪː	0.093
ˈʊ	ˈʏ	0.449
ˈʊ	ˈu	0.357
ˈʊ	ˈoːu̯	0.103
ˈʊ	ˈɔ	0.073
ˈʏ	ˈɪ	0.4
ˈʏ	ˈai̯	0.4
ˈʏ	ˈʏ	0.2
