East Low German	Icelandic	probability
b	b̥	1.0
s	s	1.0
tʰ	tʰ	1.0
w	v	1.0
ɪ	ɡ̊_ʏ	1.0
ˈœː	ˈɔː	1.0
ˈɔ	ˈʏː	1.0
ˈɔʏ̯	ˈaːi̯	1.0
d	θ	0.401
n	-	0.151
æ	r̥	0.471
ɾ	ð_ɪ	0.751
ˈaː	ˈa	0.311
ˈiː	ˈɪ	0.1
ˈiː	j	0.101
ˈɒː	ˈɔː	0.41
ˈɛ	j	0.41
ˈɪ	ˈɛ	0.11
k	k	0.332
t	ʰt	0.072
æ	r_t	0.102
ˈaː	ˈa_r̥	0.42
ˈuː	ˈʏ	0.112
ˈuː	ˈuː	0.702
ˈɪ	ˈiː	0.082
ˈɪ	ˈɪ	0.412
ˈʊ	ˈʏ	0.322
f	-	0.063
f	f	0.723
m	m	0.513
v	v	0.793
x	ɣ	0.473
ˈa	a_#>	0.073
ˈae̯	j_ˈoːu̯	0.093
ˈaʊ̯	ˈœːy̯	0.293
ˈɪ	ˈi	0.3
d	d̥	0.4
f	v_ʏ	0.214
h	h	0.774
l	l̥	0.154
r	r	0.934
æ	r	0.164
ˈa	ˈɑu̯	0.154
ˈae̯	j_ˈuː	0.284
ˈɛː	j	0.214
ˈʏ	ˈai̯	0.154
d	ð	0.055
k	k_ʏ	0.185
m	-	0.115
m	m_ʏ	0.325
n	a	0.215
ç	r̥	0.485
ŋ	ŋ_ɡ̊	0.455
ɡ	ɟ̊	0.255
ɡ	ɡ̊	0.745
ʃ	s	0.435
ˈa	r̥_#>	0.245
ˈa	ˈa	0.285
ˈoː	ˈœːy̯	0.245
ˈoː	ˈɑːu̯	0.755
h	ç	0.226
k	ʰk	0.456
p	ʰp	0.066
p	p_ʏ	0.486
t	t_ʏ	0.226
z	s	0.96
æ	ʏ_r̥	0.066
ˈuː	ˈɔ	0.186
ˈɒː	ˈa	0.086
ˈɛː	ˈɛː	0.786
kʰ	cʰ	0.447
t	t	0.337
v	kʰ_v	0.207
x	-	0.527
ʃ	s_k	0.287
ˈa	ˈœ	0.057
ˈa	ˈaː	0.127
ˈae̯	ˈɛi̯	0.147
ˈae̯	j	0.207
ˈɒː	ˈaːu̯	0.097
ˈʏ	ˈɪ	0.407
kʰ	kʰ	0.508
l	t_l̥	0.158
l	l	0.648
p	p	0.448
æ	ɪ_r̥	0.198
ç	ʏ_r̥	0.088
ç	ɣ	0.268
ŋ	a	0.508
ʃ	s_c	0.278
ˈae̯	ˈɛːi̯	0.228
ˈaʊ̯	ˈa	0.058
ˈiː	ˈiː	0.758
ˈɒː	ˈaː	0.128
ˈɪ	ˈɛː	0.08
ˈʊ	ˈu	0.678
d	d̥_ʏ	0.09
n	n	0.429
t	ð	0.249
ç	-	0.159
ɾ	ð_ʏ	0.249
ˈaʊ̯	ˈoːu̯	0.649
ˈaː	ˈaː	0.269
ˈɒː	ˈɑːu̯	0.279
ˈɛ	ˈɛ	0.59
ˈʏ	ˈʏ	0.439
