Neapolitan	Neapolitan	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_n	ˈo_n	1.0
ˈɔ_k	ˈe	1.0
ˈu_ɾ	ˈo	1.0
ˈi_ʎː	ˈi	1.0
ˈi_n	ˈe_n	1.0
ˈa_tː	ˈa_t	1.0
ʧː	-	1.0
ʧ	ˈe_θ	1.0
ʦː	θ	1.0
ʦ	-	1.0
ʤː	-	1.0
ʎː	ʝ	1.0
ɾ_ə	ɾ_u	1.0
ɾ_n	ɾ_n	1.0
ɾ_i	ˈe	1.0
ɲ	o_ɾ	1.0
ə_ɾ	ɾ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
t_ə	u	1.0
sː_ə	u	1.0
s	s	1.0
rː	r	1.0
p_ə	β_u	1.0
mː	m	1.0
m	m	1.0
kː_ə	k_a	1.0
kː_j	ʝ	1.0
k_j	ʎ	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d	d	1.0
b_w	b	1.0
a_t	a_ð	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	ɾ_#>	1.0
ˈa	ˈa	0.938
p	p	0.897
a	a	0.875
r	ɾ	0.818
k	k	0.818
ɾ	ɾ	0.816
ɡ	ɡ	0.8
w	w	0.792
l	ʎ	0.792
n	n	0.767
ɲː	ɲ	0.714
j	j	0.714
ˈe	ˈe	0.7
ʃ	θ	0.692
ˈɛ	ˈe	0.667
tː	ʧ	0.667
e	e	0.667
<#_j	<#_ʃ	0.667
<#	<#_ɡ	0.667
ˈi	ˈi	0.645
ˈo	ˈo	0.636
ʤ	ʃ	0.625
t	t	0.618
nː	ɲ	0.6
v	b	0.581
lː	ʎ	0.571
l_ə	l_u	0.556
ˈu	ˈo	0.515
ʃː	θ	0.5
ʃː	-	0.5
o	u	0.5
o	o	0.5
i	e	0.5
ˈu	ˈu	0.485
ˈɔ	ˈe	0.462
u	o	0.462
l_ə	l	0.444
lː	l	0.429
nː	n_d	0.4
t	ð	0.382
ʤ	-	0.375
ə	u	0.374
v	β	0.355
ə	a	0.353
ˈɛ	j_ˈe	0.333
tː	t	0.333
e	-	0.333
<#_j	<#	0.333
<#	<#_e	0.333
u	-	0.308
ˈi	ˈe	0.29
ɲː	-	0.286
i	-	0.286
ˈɔ	w_ˈe	0.269
n	ŋ	0.233
ʃ	e_s	0.231
u	u	0.231
ə	e	0.223
i	i	0.214
w	-	0.208
l	l	0.208
ɡ	ɣ	0.2
ˈɔ	ˈo	0.192
ˈo	w	0.182
ˈo	-	0.182
r	a_ɾ	0.182
j	ʝ	0.143
j	-	0.143
k	ɣ	0.136
a	k	0.125
p	β	0.103
ˈe	ˈi	0.1
ˈe	ˈe_j	0.1
ˈe	-	0.1
ɾ	-	0.079
ˈɔ	β	0.077
ʃ	-	0.077
ˈi	-	0.065
v	i_β	0.065
ˈa	ˈe	0.062
ɾ	l	0.053
ɾ	j	0.053
