Middle High German	Dutch	probability
ˈɛ_h	ˈi	1.0
ˈɑː	ˈaː	1.0
ˈɑ_s̻ː	ˈaː_t	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈøː	ˈoː	1.0
ˈæː	ˈaː	1.0
ˈyə̯	ˈu	1.0
ˈuə̯	ˈu	1.0
ˈu	ˈɔ	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈiə̯	ˈi	1.0
ˈi_r	ˈɛi̯	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	s	1.0
ɡ̊	ŋ	1.0
ɡ_ˈɑ	χ_ˈɑ	1.0
ɡ_r	χ_ɾ	1.0
ɡ	χ	1.0
ɛ	i	1.0
ə_t	p	1.0
ə_r	ɾ	1.0
ə_l	ə_ɫ	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_t	χ_t	1.0
x_s	s	1.0
x	k	1.0
v	v	1.0
tː	d	1.0
t_ə	d_ə	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ˈu	z_ˈoː	1.0
s_t	s_t	1.0
r_ʦ	ɾ_t	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː_ə	n	1.0
nː	n	1.0
n_ə	n	1.0
n_t	n_d	1.0
n_s	n_z̥	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ_n	k_n	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ə	1.0
fː	p	1.0
f_ə	p_ə	1.0
d̥	d̥	1.0
b̥	v̥	1.0
n	n	0.981
r	ɾ	0.95
w	ʋ	0.91
ˈei̯	ˈeː	0.897
d	d	0.883
b_ə	v_ə	0.872
ˈuː	ˈœy̯	0.848
b	b	0.827
ˈi	ˈɪ	0.796
ˈiː	ˈɛi̯	0.771
ˈɑ	ˈɑ	0.752
h	ɦ	0.73
ˈe	ˈɛ	0.684
s	z	0.684
ə	ə	0.659
s_ə	z_ə	0.644
kː	χ	0.64
f	p	0.582
ˈyː	ˈyː	0.521
ˈo	ˈoː	0.512
ˈyː	ˈœy̯	0.479
ˈy	ˈʏ	0.43
ʃ	s_χ	0.425
ˈo	ˈɔ	0.424
t	d	0.397
ʃ	s	0.369
ˈɛ	ˈɛ	0.367
kː	k	0.36
s_ə	z̥	0.356
ˈɛ	ˈeː	0.344
ə	-	0.341
t	d̥	0.339
ˈe	-	0.316
ˈy	-	0.308
ˈɛ	-	0.289
h	-	0.27
t	t	0.264
ˈy	ˈoː	0.262
f	ə_v̥	0.209
f	v̥	0.209
s	z̥	0.208
ʃ	z	0.206
ˈɑ	ˈaː	0.188
b	k_ˈɔ	0.173
ˈi	ˈɛ	0.161
ˈuː	-	0.152
b_ə	v̥	0.128
d	-	0.117
ˈiː	-	0.115
ˈiː	ˈɪ	0.114
s	s	0.109
ˈei̯	ˈɛi̯	0.103
w	-	0.09
ˈo	-	0.064
ˈɑ	ˈɛ	0.061
