Latvian	Ukrainian	probability
ʧ	ʧ	1.0
ʦ	k_ɔ	1.0
ʣ	ʒ	1.0
ʎ	lʲ	1.0
ʃ	-	1.0
ɲ	-	1.0
ɡ̊_s	ɦ	1.0
ɡ_a	ɦ_ɔ	1.0
ɛː	i_ˈ	1.0
ɛ_ʃ	ʃʲ	1.0
æː	-	1.0
z̥	z	1.0
w	-	1.0
v_i	ʋ	1.0
r̩	r	1.0
p	p	1.0
l̩	ɫ	1.0
j	ɛ_r	1.0
iː	ɪ	1.0
i_t	ʤ	1.0
e	ɐ_ʦʲ	1.0
d̥	d	1.0
d	d	1.0
b̥	-	1.0
b	b	1.0
ai̯	i	1.0
a_p	ɔ	1.0
z	z	0.855
u	-	0.712
uː	ɪ	0.703
r	r	0.671
m	m	0.671
aː	-	0.567
iɛ̯	i	0.531
i	-	0.522
au̯	-	0.516
k	k	0.505
uɔ̯	u	0.504
a	i	0.492
t	t	0.487
au̯	u	0.484
iɛ̯	ɪ	0.469
æ	ɔ_ˈ	0.46
v	ʋ	0.455
aː	i	0.433
n	nʲ	0.39
n	-	0.386
l	ɫ	0.385
ɛ	-	0.372
ɡ	-	0.331
ɡ	ɦ_ɔ	0.329
v	ʋʲ	0.305
uɔ̯	-	0.301
ɛ	ɛ	0.297
uː	-	0.297
u	ɐ	0.288
t	-	0.283
æ	ɛ	0.27
æ	-	0.27
ɡ	ɦ	0.251
ɛ	ɑ	0.25
s	s	0.246
a	-	0.245
t	t_ɪ	0.23
n	n	0.224
l	lʲ_i	0.212
k	-	0.205
uɔ̯	ʊ	0.196
k	ʧʲ	0.182
i	ɔ	0.174
s	j	0.172
r	rʲ	0.17
m	mʲ	0.165
m	-	0.164
i	ɛ_ˈ	0.164
r	r_ɔ	0.159
s	ɔ	0.146
z	zʲ	0.145
i	tʲ	0.14
a	ɑ	0.133
v	-	0.132
a	ɔ	0.13
l	ʋ	0.126
s	sʲ	0.121
s	-	0.111
v	w	0.108
k	ʃ	0.107
l	lʲ	0.103
s	ɪ_ˈ	0.1
ɡ	ɦʲ	0.089
l	ʍ	0.087
l	ɫ_ɔ	0.087
ɛ	ɐ	0.081
s	x	0.065
