Old Church Slavonic	Čakavian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʃ_t	c	1.0
ɡ_ʊ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e_̂	1.0
ɔ̃	uː	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
r_ʊ	a_r	1.0
r_ɪ	r̩	1.0
r	r	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m_ɪ	a_n	1.0
m	m	1.0
lʲ	l	1.0
l_ʊ	uː	1.0
k	k	1.0
j	j	1.0
d_ʊ	d̥	1.0
b_ʊ	b̥	1.0
b	b	1.0
a	a	1.0
ʒ	ʒ	0.863
ˈ	̂	0.822
l	l	0.785
ɪ	-	0.753
d	d	0.717
ɑ	a	0.66
u	uː	0.641
i	i	0.64
ɛ̃	eː	0.587
ʊ	-	0.556
ɔ	o	0.526
ɯ	iː	0.518
ɛ	e	0.476
æ	i	0.461
ɛ	eː	0.446
ʊ	a	0.444
æ	iː	0.441
ɛ̃	e	0.413
ɔ	oː	0.401
ɯ	i	0.387
i	iː	0.36
u	u	0.359
ɑ	aː	0.34
d	-	0.283
ɪ	a	0.247
ʒ	ʒ̊	0.137
ˈ	̌	0.119
l	uː	0.101
æ	-	0.098
ɯ	-	0.096
ɛ	-	0.078
ɔ	-	0.073
l	-	0.065
ˈ	-	0.059
