Gascon	Catalan	probability
a	ə	1.0
b	b	1.0
d	d	1.0
m	m	1.0
p	p	1.0
s	s	1.0
u	u	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʒ	ʒ	1.0
ʤ	ʤ	1.0
ʦ	w	1.0
ˈo	u	1.0
ˈɔ	ˈɔ	1.0
ð	-	0.251
ˈe	ˈe	0.381
ˈu	ˈɔ	0.491
i	ə	0.292
r	r	0.762
w	w	0.362
z	-	0.422
ˈɛ	ˈɛ	0.352
e	ə	0.793
j	-	0.213
l	l	0.553
n	n	0.973
ŋ	n	0.343
ˈi	ˈe	0.103
k	k	0.984
r	r_n	0.084
ˈy	ˈu	0.934
ˈɛ	ˈe	0.614
t	t_ɾ	0.135
ɾ	ɾ	0.925
β	-	0.065
β	β_ɾ	0.165
e	i	0.06
j	ʧ	0.106
r	ɾ_ə	0.066
ɔ	ə	0.96
ˈy	ˈo	0.066
t	t	0.707
w	ˈɔ	0.087
ŋ	ŋ	0.657
ˈe	ˈɛ	0.437
β	β	0.77
e	ɾ_ə	0.068
i	i	0.708
j	j	0.68
z	z	0.578
ˈi	ˈi	0.88
h	f	0.979
l	ʎ	0.429
t	ʎ	0.159
w	l	0.519
ð	ð	0.749
ɾ	-	0.069
ˈa	ˈa	0.949
ˈe	ə	0.09
ˈu	ˈo	0.469
