French	French	probability
ʃ_#>	kː_ə_#>	1.0
ɛ_d	a_j	1.0
ə_n	ə_n	1.0
ɑ̃_#>	ˈɛ_n_t_ə_#>	1.0
y	ˈu	1.0
p_l	k_j	1.0
n	n	1.0
j_ɛ	ˈɛ	1.0
i_ʁ	ˈi	1.0
i_l	ˈi_lː	1.0
f_l	ʃ	1.0
e_#>	ˈa_#>	1.0
a_ʁ	ɾ	1.0
<#_ʒ	<#_j	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ˈa	1.0
p	p	0.909
#>	ə_#>	0.888
f	f	0.857
ʃ	k	0.812
z	-	0.8
m	m	0.8
d	d	0.786
k	k	0.773
l	l	0.737
v	v	0.72
ʒ	ʤ	0.714
ɡ	ɡ	0.7
ʁ	ɾ	0.688
ʁ_#>	ə_#>	0.667
ɲ	ɲː	0.667
ɔ	ˈɔ	0.647
b	b	0.636
œ	ˈɔ	0.625
ə	ə	0.6
ø	ə	0.6
<#	<#_w	0.571
i	ˈi	0.533
u	ˈu	0.526
ɥ	ˈɔ	0.5
ɥ	ˈu	0.5
o	ˈɛ_lː	0.5
a_#>	ʃ_ə_#>	0.5
a_#>	#>	0.5
s	s	0.472
ɑ̃	n	0.455
ɛ	ˈa	0.432
w	ˈe	0.429
<#	<#_ˈa	0.429
ə	e	0.4
ø	ˈɔ_k	0.4
a	a	0.387
œ	ˈo	0.375
b	v	0.364
e	ʃ	0.357
t	t	0.353
j	-	0.353
ʁ_#>	#>	0.333
ɲ	ɲ	0.333
ɡ	-	0.3
ɔ̃	ˈo_n	0.3
ɔ̃	n	0.3
j	ʎː	0.294
ʒ	-	0.286
ɛ̃	ˈa_n	0.286
e	ˈa	0.286
ɑ̃	ˈɛ	0.273
ɑ̃	ŋ	0.273
s	ʃ	0.25
ɛ	ˈɛ	0.243
w	-	0.238
t	tː	0.235
t	s_t	0.235
j	kː_j	0.235
k	k_w	0.227
a	ˈa	0.226
a	ə	0.226
e	ˈa_t	0.214
d	-	0.214
ɔ̃	ˈɔ_n	0.2
ɔ̃	ˈo	0.2
z	z	0.2
ɛ̃	ˈi_n	0.19
w	ˈi	0.19
ʃ	k_a	0.188
t	ʃː	0.176
ʁ	r	0.172
o	ˈɔ_sː	0.167
o	ˈɔ	0.167
o	w	0.167
a	-	0.161
u	u	0.158
l	j	0.158
ɛ̃	ɲː	0.143
ɛ̃	ŋ	0.143
ɛ̃	n	0.143
w	ˈu	0.143
e	-	0.143
ɛ	ˈi	0.135
v	p	0.12
m	mː	0.12
ɔ	w_ˈɔ	0.118
ɔ	u	0.118
ɔ	o	0.118
j	j	0.118
s	ʃː	0.111
ɛ	ˈe	0.108
u	ˈu_tː	0.105
u	ˈu_kː	0.105
u	ˈo	0.105
l	ˈa	0.105
i	ə	0.1
i	tː_ə	0.1
ɛ̃	ˈa	0.095
f	v	0.095
p	p_w	0.091
ɛ	-	0.081
v	ə	0.08
v	v_j	0.08
m	nː	0.08
i	ˈɛ_ʦː	0.067
i	j_ˈɛ	0.067
i	i	0.067
i	-	0.067
s	ʦ	0.056
s	ʃ_ˈi	0.056
s	-	0.056
#>	t_ə_#>	0.051
