Old Frisian	Standard German	probability
θ	d	1.0
ˈiː	ˈaɪ̯	1.0
ˈe_t	ˈa_s	1.0
ɣ	ɡ	1.0
ɡː	k	1.0
ɡ	ɡ	1.0
ə_θ	a	1.0
ə_x	ɪ_ç	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z	1.0
v	b	1.0
tː	ʦ	1.0
t_ə	s	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
r_d	ɐ_t	1.0
pː	p͡f	1.0
p_ə	f_n	1.0
p	f	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l	1.0
l	l	1.0
kː	k	1.0
k_ə	ç	1.0
j_ə	n	1.0
iː	eː	1.0
i	ɪ	1.0
h_w	v	1.0
h	h	1.0
f	f	1.0
dː	t	1.0
bː	b	1.0
b	b	1.0
a	n	1.0
w	v	0.914
ˈa	ˈa	0.864
ˈi	ˈɪ	0.788
ˈuː	ˈaʊ̯	0.75
ˈi̯uː	ˈɔʏ̯	0.749
ˈɛː	ˈaɪ̯	0.722
e	-	0.703
ˈi̯aː	ˈiː	0.691
ˈoː	ˈuː	0.668
d	t	0.647
d_ə	t_n	0.629
nː	n_ə	0.562
t	s	0.545
s	z	0.538
ˈu	ˈʊ	0.508
r	ɐ	0.486
j	ɡ	0.469
ˈo	ˈɔ	0.455
x	x	0.453
k	k	0.441
nː	n	0.438
k	x	0.436
ə	ə	0.424
r	ʁ	0.412
s	ʃ	0.409
ˈɔː	ˈɔ	0.383
ˈe	ˈɛ	0.374
d_ə	d_n	0.371
x	ç	0.345
ˈɔː	ˈa	0.344
ə	-	0.324
ˈi̯aː	-	0.309
ˈaː	ˈaʊ̯	0.304
ˈaː	ˈoː	0.3
e	ə	0.297
ˈeː	-	0.295
j	-	0.294
ˈeː	ˈaː	0.291
t	t	0.29
d	d̥	0.269
ˈi̯uː	-	0.251
ˈo	ˈʊ	0.246
ˈaː	-	0.205
x	ɡ̊	0.202
ˈoː	-	0.197
ˈaː	ˈaɪ̯	0.191
ˈu	ˈɔ	0.19
ˈɛː	ˈøː	0.184
ə	n	0.179
ˈe	-	0.172
ˈe	ˈeː	0.166
t	ʦ	0.165
ˈu	ˈoː	0.155
ˈo	ˈyː	0.149
ˈo	-	0.149
ˈu	-	0.147
ˈe	ˈaː	0.14
ˈɔː	-	0.137
ˈɔː	ˈoː	0.136
ˈa	ˈaː	0.136
ˈoː	ˈa_n	0.135
ˈeː	ˈyː	0.135
ˈi	-	0.132
ˈuː	ˈʊ_n	0.126
ˈuː	ˈuː	0.124
k	ç	0.124
j	ɡ̊	0.124
ˈeː	ˈa	0.123
j	j	0.113
ˈeː	ˈiː	0.111
ˈe	ˈʏ	0.107
ˈɛː	ˈeː	0.094
w	-	0.086
d	d	0.085
ˈi	ˈaɪ̯	0.08
ə	ə_n	0.073
s	s	0.053
r	ˈʊ_ɐ	0.05
