Pennsylvania German	Afrikaans	probability
eː	i	1.0
pʰ	p	1.0
p͡f	p	1.0
t	t	1.0
ŋ	ŋ	1.0
ɡ̊	χ	1.0
ˈuː	ˈu	1.0
f	f	0.711
j	j	0.411
k	χ	0.41
v	-	0.41
ɾ	r	0.971
ʦ	t	0.951
ˈoː	ˈɑː	0.491
ˈɔː	ˈɑː	0.361
ˈɛː	ˈɪə̯	0.081
ˈɛː	ˈɑː	0.271
j	-	0.242
l	ɫ	0.92
v	v	0.492
x	k	0.462
ɑ	ə	0.312
ə	j	0.062
ə	-	0.522
ˈa	ˈə	0.062
ˈaː	ˈɔ	0.152
ˈiː	ˈi	0.712
ˈɔː	ˈa	0.22
ˈɛ	ˈə	0.082
ˈɪ	ˈœ	0.122
b̥	v̥	0.953
d̥	r_d̥	0.183
d̥	d̥	0.783
f	p	0.243
p	f	0.313
s	s	0.633
ç	k	0.453
ə	ˈɛː	0.133
ə	ə	0.283
ɡ	k	0.053
ʋ	w	0.193
ˈaɪ̯	ˈəɪ̯	0.473
ˈaʊ̯	ˈœu̯	0.143
ˈaʊ̯	ˈʊə̯	0.143
ˈaʊ̯	ˈœɪ̯	0.593
ˈaː	ˈa	0.233
ˈeː	ˈʊə̯	0.243
ˈeː	ˈɪə̯	0.383
ˈɔ	ˈœu̯	0.083
ˈɛ	ˈɪə̯	0.263
ˈɛː	ˈa	0.093
ˈɛː	ˈæː	0.243
d	d	0.74
ɪ	-	0.514
ˈiː	ˈu	0.184
ˈɔ	ˈɪə̯	0.104
ˈɛ	ˈɑː	0.064
ˈɛ	ˈa	0.14
ˈɛ	ˈæ	0.14
ˈɛ	ˈɛ	0.24
h	ɦ	0.985
ɑ	-	0.05
ɣ	-	0.5
ɣ	n	0.5
ˈaɪ̯	ˈə	0.05
ˈaː	ˈœ	0.155
ˈɔː	ˈʊə̯	0.305
d	d̥	0.066
d	t	0.076
n	ə_ŋ	0.06
ɪ	ə	0.486
ʃ	s	0.96
ʋ	v	0.766
ˈa	ˈɑː	0.086
ˈaɪ̯	ˈɪə̯	0.066
ˈaɪ̯	ˈi	0.146
ˈaʊ̯	ˈɔ	0.076
ˈeː	ˈəɪ̯	0.116
ˈɔ	ˈɔ	0.706
ˈʊ	ˈɪø̯	0.086
b	b	0.977
j	χ	0.347
p	p	0.687
s	t	0.367
ɑ	r	0.547
ɡ	χ	0.947
ˈa	ˈa	0.637
ˈaː	ˈʊə̯	0.37
ˈeː	ˈi	0.197
ˈɔ	ˈʊə̯	0.107
d	-	0.118
k	-	0.38
l	-	0.08
n	n	0.888
v	f	0.098
x	χ	0.538
ç	χ	0.418
ˈaɪ̯	ˈyː	0.078
ˈaɪ̯	ˈœɪ̯	0.128
ˈoː	ˈoːɪ̯	0.058
ˈoː	ˈʊə̯	0.418
ˈɛː	ˈæ	0.248
ˈɪ	ˈə	0.58
ˈʊ	ˈʊə̯	0.078
k	k	0.209
kʰ	k	0.99
m	m	0.979
ç	ŋ	0.129
ˈa	ˈʊə̯	0.079
ˈaɪ̯	-	0.059
ˈaː	ˈæː	0.089
ˈɪ	ˈəɪ̯	0.059
ˈɪ	ˈɛ	0.09
ˈʊ	ˈɔ	0.79
