East Low German	Faroese	probability
ae̯	a	1.0
b	b̥	0.843
b	v	0.118
d	d̥	0.491
d	tʰ	0.258
d	-	0.209
f	f	0.702
f	v	0.195
f	-	0.07
h	h	0.914
h	-	0.086
j	ˈaːi̯	0.381
j	ɡ̊	0.264
j	ʤ̊	0.218
j	-	0.137
k	k	0.472
k	ʰk	0.186
k	ʰʧː	0.093
k	-	0.083
k	ɡ̊ː	0.083
kʰ	kʰ	0.709
kʰ	ʧʰ	0.284
l	l	0.835
l	l̥	0.147
m	m	0.69
m	-	0.103
m	a	0.076
m	v	0.071
n	n	0.463
n	a	0.233
n	-	0.113
n	nː	0.097
n	n̥	0.055
p	p	0.742
p	ʰp	0.104
p	ʰpː	0.083
pʰ	pʰ	1.0
r	ɹ	0.86
r	-	0.073
r	r	0.067
s	s	0.981
t	t	0.435
t	ʰt	0.175
t	ʰtː	0.094
t	-	0.084
t	w	0.083
t	j	0.064
t	ʈ	0.055
tʰ	tʰ	0.939
tʰ	ʧʰ	0.061
v	v	0.749
v	-	0.137
v	kʰ_v	0.114
w	v	1.0
x	ʰtː	0.542
x	w	0.179
x	-	0.119
x	j	0.099
x	v	0.06
z	s	0.853
z	ʃ	0.147
æ	ɹ	0.503
æ	ɪ	0.199
æ	ʊ_ɹ	0.091
æ	-	0.089
ç	ʤ̊ː	0.173
ç	v	0.151
ç	ɡ̊	0.151
ç	-	0.099
ç	ɡ̊ː	0.087
ç	ʤ̊	0.087
ç	v̥	0.077
ç	ʧ	0.069
ç	w	0.066
ŋ	ŋ	0.574
ŋ	ɡ̊	0.238
ŋ	ʤ̊ː	0.093
ɡ	ɡ̊	0.666
ɡ	ʤ̊	0.125
ɡ	ʤ̊ː	0.125
ɡ	ʧ	0.085
ɣ	ʧː	1.0
ɪ	a	0.278
ɪ	ŋ	0.278
ɪ	ʊ	0.278
ɪ	ɛ	0.166
ɾ	w	0.584
ɾ	j	0.221
ɾ	v	0.138
ɾ	ʰt	0.058
ʃ	s	0.61
ʃ	ʃ	0.371
ˈa	ˈa	0.399
ˈa	ˈɔ	0.229
ˈa	ˈɛːa̯	0.188
ˈa	ˈɛ	0.108
ˈa	ˈœ	0.059
ˈae̯	ˈai̯	0.249
ˈae̯	ˈaːi̯	0.121
ˈae̯	ˈʊ	0.12
ˈae̯	ˈɪ	0.091
ˈae̯	ˈɛ	0.082
ˈae̯	ˈɛːi̯	0.061
ˈae̯	ˈɔːu̯	0.057
ˈaɪ̯	ˈeː	1.0
ˈaʊ̯	ˈɔːu̯	0.419
ˈaʊ̯	ˈɛːi̯	0.239
ˈaʊ̯	ˈɔ̯aː	0.111
ˈaː	ˈɛːa̯	0.649
ˈaː	ˈa	0.351
ˈeː	ˈɔ̯aː	1.0
ˈiː	ˈʊ̯iː	0.648
ˈiː	ˈɛːa̯	0.08
ˈiː	ˈɪ	0.079
ˈiː	ˈeː	0.079
ˈiː	j	0.058
ˈiː	ˈʊ	0.057
ˈoː	ˈɔ̯aː	0.313
ˈoː	ˈɛːi̯	0.297
ˈoː	j	0.148
ˈoː	ˈa	0.148
ˈoː	ˈɔ	0.094
ˈuː	ˈʉːu̯	0.375
ˈuː	ˈɔ	0.142
ˈuː	ˈɪ	0.14
ˈuː	ˈoː	0.135
ˈuː	ˈʊ	0.113
ˈuː	ˈɔːi̯	0.053
ˈyː	ˈʊ̯iː	0.469
ˈyː	ˈʏ	0.399
ˈyː	ˈɔːi̯	0.09
ˈøː	ˈɔ	1.0
ˈœ	ˈœ	0.655
ˈœ	ˈɔ	0.173
ˈœ	ˈɛ	0.173
ˈœː	ˈiː	0.329
ˈœː	ˈʊ	0.259
ˈœː	ˈɛːi̯	0.156
ˈœː	ˈɔ	0.143
ˈœː	ˈøː	0.071
ˈɒː	ˈa	0.276
ˈɒː	ˈɔ̯aː	0.26
ˈɒː	ˈoː	0.208
ˈɒː	ˈɛːa̯	0.095
ˈɒː	ˈɛ	0.076
ˈɒː	ˈɔ	0.055
ˈɔ	ˈʊ	0.327
ˈɔ	ˈuː	0.238
ˈɔ	ˈœ	0.196
ˈɔ	ʎ	0.119
ˈɔ	ˈa	0.119
ˈɔʏ̯	ˈøː	0.68
ˈɔʏ̯	ˈɔːi̯	0.253
ˈɔʏ̯	ɹː	0.067
ˈɛ	ˈɛ	0.416
ˈɛ	j	0.265
ˈɛ	ˈɪ	0.099
ˈɛ	ˈuː	0.069
ˈɛ	ˈøː	0.064
ˈɛ	ˈɛːa̯	0.056
ˈɛː	ˈeː	0.503
ˈɛː	ˈiː	0.108
ˈɛː	ˈɔ	0.089
ˈɛː	ˈɛːa̯	0.088
ˈɛː	ˈøː	0.072
ˈɛː	ˈʊ	0.072
ˈɛː	ˈeə̯	0.068
ˈɪ	ˈɪ	0.451
ˈɪ	ˈɛ	0.109
ˈɪ	ˈʊ̯iː	0.108
ˈɪ	ˈiː	0.091
ˈɪ	ˈeː	0.077
ˈɪ	ˈʉːu̯	0.063
ˈɪ	-	0.053
ˈʊ	ˈʊ	0.917
ˈʏ	ˈɪ	0.352
ˈʏ	ˈʊ	0.311
ˈʏ	ˈa	0.21
ˈʏ	ˈɔ	0.085
