East Low German	Faroese	probability
b	b̥	0.804
b	v	0.195
d	d̥	0.369
d	-	0.282
d	tʰ	0.217
d	d̥_ʊ	0.082
d	ʤ̊	0.044
f	f	0.701
f	v	0.133
f	-	0.079
f	tː	0.046
f	d̥	0.043
h	h	0.971
h	-	0.039
j	ɡ̊	0.403
j	-	0.232
j	ʤ̊	0.202
j	ˈaːi̯	0.129
k	k	0.347
k	k_ʊ	0.251
k	ɡ̊_ʊ	0.165
k	ʰʧ	0.069
k	ɡ̊	0.067
kʰ	kʰ	0.709
kʰ	-	0.182
kʰ	ʧʰ	0.08
l	l	0.658
l	l̥	0.115
l	l_ʊ	0.109
l	l̥_ʊ	0.037
l	-	0.032
m	m	0.574
m	a	0.17
m	m_ʊ	0.17
m	-	0.053
m	n	0.036
n	n	0.466
n	a	0.266
n	-	0.121
n	nː	0.113
n	n̥	0.032
p	p	0.47
p	ʰp	0.178
p	tː	0.16
p	ɹ	0.102
r	ɹ	0.851
r	-	0.083
r	r	0.063
s	s	0.938
s	sː	0.059
t	t	0.478
t	-	0.158
t	ʰt	0.109
t	w	0.072
t	j	0.071
tʰ	tʰ	0.862
tʰ	ʧʰ	0.116
v	v	0.623
v	-	0.37
w	v	1.0
x	v	0.219
x	-	0.219
x	w	0.219
x	j	0.14
x	ʰtː	0.14
x_t	ʰtː	1.0
z	s	0.928
z	ʃ	0.069
æ	ɹ	0.504
æ	ɪ_ɹ	0.199
æ	ɹ_a	0.083
æ	n̥	0.063
æ	a_ɹ	0.041
æ_t	ɹ	1.0
ç	v_ʊ	0.191
ç	ɡ̊_ʊ	0.166
ç	ʤ̊	0.126
ç	ʰtː	0.106
ç	-	0.086
ŋ	ŋ	0.73
ŋ	ɡ̊	0.101
ŋ	a	0.077
ŋ	ɲ	0.059
ŋ_k	ʰkː	1.0
ɡ	ɡ̊	0.748
ɡ	ʧ	0.16
ɡ	ʤ̊	0.073
ɣ	ʧː	0.234
ɪ	ɛ	0.297
ɪ	a	0.297
ɪ	ʊ	0.179
ɪ	ŋ	0.108
ɾ	w	0.416
ɾ	j	0.275
ɾ	v	0.158
ɾ	ʰt	0.101
ʃ	s	0.483
ʃ	ʃ	0.307
ʃ	s_k	0.151
ʃ	f	0.054
ˈa	ˈa	0.333
ˈa	ˈɛːa̯	0.331
ˈa	ˈɔ	0.189
ˈa	ˈɛ	0.101
ˈa	ˈeː	0.044
ˈae̯	ˈai̯	0.222
ˈae̯	ˈʊ	0.174
ˈae̯	ˈaːi̯	0.103
ˈae̯	ˈɛːi̯	0.087
ˈae̯	ˈɔːu̯	0.07
ˈaʊ̯	ˈɔːu̯	0.366
ˈaʊ̯	ˈɛːi̯	0.298
ˈaʊ̯	ˈɔ̯aː	0.136
ˈaʊ̯	ˈa	0.054
ˈaʊ̯	ˈɔːi̯	0.054
ˈaː	ˈa_ɹ	0.679
ˈaː	ˈɛːa̯	0.289
ˈeː	ˈɔ̯aː	0.484
ˈiː	ˈʊ̯iː	0.498
ˈiː	ˈɪ	0.109
ˈiː	ˈeː	0.099
ˈiː	j	0.072
ˈiː	ˈɛːa̯	0.072
ˈoː	ˈɔ̯aː	0.384
ˈoː	ˈɛːi̯	0.253
ˈoː	ˈœ	0.162
ˈoː	ˈɔ	0.097
ˈuː	ˈʉːu̯	0.491
ˈuː	ˈoː	0.148
ˈuː	ˈɔ	0.129
ˈuː	ˈʊ	0.115
ˈuː	ˈɔːi̯	0.085
ˈyː	ˈɔːi̯	0.322
ˈyː	ˈʊ̯iː	0.271
ˈyː	ʊ	0.194
ˈøː	ˈʊ	0.177
ˈøː	ˈɔ	0.177
ˈœ	ˈœ	0.644
ˈœ	ˈɛ	0.236
ˈœː	ˈɪ	0.183
ˈœː	ˈiː	0.183
ˈœː	ˈɛːi̯	0.16
ˈœː	ˈʊ	0.102
ˈœː	ˈɔ	0.102
ˈɒː	ˈɔ̯aː	0.402
ˈɒː	ˈa	0.206
ˈɒː	ˈɛːa̯	0.125
ˈɒː	ˈoː	0.116
ˈɒː	ˈʊ	0.082
ˈɔ	ˈœ	0.278
ˈɔ	ˈuː	0.257
ˈɔ	ˈʊ	0.169
ˈɔ	ˈa	0.169
ˈɔ	ˈɪ	0.075
ˈɔʏ̯	ˈøː	0.715
ˈɔʏ̯	ˈɔːi̯	0.28
ˈɛ	ˈøː	0.178
ˈɛ	ˈɛːa̯	0.178
ˈɛ	ˈuː	0.117
ˈɛ	ˈɛ	0.113
ˈɛ	j	0.088
ˈɛː	ˈeː	0.496
ˈɛː	ˈɔ	0.12
ˈɛː	ˈeə̯	0.12
ˈɛː	ˈʊ	0.083
ˈɛː	ˈøː	0.083
ˈɪ	ˈɪ	0.314
ˈɪ	ˈɛ	0.175
ˈɪ	ˈiː	0.149
ˈɪ	ˈʊ̯iː	0.113
ˈɪ	ˈai̯	0.063
ˈʊ	ˈʊ	0.737
ˈʊ	ˈʏ	0.092
ˈʊ	ˈɔ	0.069
ˈʊ	ˈɔːu̯	0.067
ˈʏ	ˈɪ	0.638
ˈʏ	ˈa	0.25
ˈʏ	ˈʊ	0.065
