West Frisian	Old High German	probability
ˈɪə̯_l	ˈɑ_l	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈiu̯	1.0
ˈø	-	1.0
ˈyː	ˈu	1.0
ˈy	-	1.0
ˈu̯o	ˈuo̯	1.0
ˈuː_χ	rː	1.0
ˈuə̯	ˈuo̯	1.0
ˈu	ˈu	1.0
ˈaː_j	ˈei̯	1.0
ˈai̯	ˈɑ	1.0
ˈa	ˈɑ	1.0
ə_n	i	1.0
ɕ	s	1.0
ŋ	ŋ_ɡ	1.0
z	s	1.0
v_ə	i	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s	s	1.0
p_ə	f_ɑ	1.0
j_ˈuə̯	ˈiu̯	1.0
h	h	1.0
f	f	1.0
d_ə	t_ɑ	1.0
b	b	1.0
ʋ	w	0.978
r	r	0.969
m	m	0.946
l	l	0.91
ˈaː	ˈɑ	0.848
v	w	0.742
ˈɔː	ˈɑ	0.74
ɣ	ɡ	0.674
d̥	t	0.667
p	p͡f	0.647
ʦ	-	0.638
n	n	0.629
ə	ɑ	0.613
j_ə	e_n	0.6
ˈoː	ˈuo̯	0.593
j	-	0.592
ˈɛː	ˈɑ	0.589
k	k	0.586
χ	x	0.585
ˈuː	ˈuː	0.578
ˈeː	-	0.575
ˈiː	ˈiː	0.557
j_ˈɪ	ˈio̯	0.508
j_ˈɪ	ˈie̯	0.492
ˈɪ	ˈi	0.475
ˈi	ˈi	0.443
d	d	0.443
ˈeː	ˈɛ	0.425
ˈɛː	-	0.411
ˈoː	ˈuː	0.407
j_ə	oː_n	0.4
ˈi	ˈiː	0.386
d	t	0.371
ˈɛi̯	ˈɛ_ɡ	0.368
ʦ	d	0.362
ˈoə̯	ˈu	0.359
ˈɛ	ˈɛ	0.358
ˈɛi̯	ˈei̯	0.355
ˈoə̯	ˈo_r	0.34
k	xː	0.339
d̥	d	0.333
ɣ	kː	0.326
t	s̻	0.311
t	ʦ	0.296
ˈɛ	-	0.292
ˈɔ	ˈo	0.288
ˈiə̯	ˈɑː	0.28
ˈɪ	ˈu	0.277
ˈɛi̯	ˈɑ_ɡ	0.277
χ	ɡ	0.275
ˈɪə̯	ˈoː	0.268
ˈɔː	ˈɑ_l	0.26
v	b	0.258
ˈuː	ˈu	0.248
ˈiə̯	ˈei̯	0.244
ˈiː	ˈio̯	0.228
ˈiː	-	0.216
ˈɔ	ˈu	0.208
ˈɪə̯	-	0.194
ˈɪə̯	ˈou̯	0.192
ˈoə̯	ˈɑː	0.19
p	p	0.186
d	tː	0.186
ˈɛ	ˈi	0.185
t	t	0.178
ˈɔ	-	0.177
ˈuː	-	0.174
ˈi	-	0.17
p	fː	0.167
ˈɛ	ˈiː	0.164
ˈiə̯	ˈuo̯	0.164
ˈɪə̯	ˈio̯	0.158
j	ˈiu̯	0.157
ˈaː	ˈɑː	0.152
ˈɔ	ˈi	0.151
n	h_ɑ	0.142
χ	kː	0.14
n	n_t	0.136
ˈiə̯	ˈɛ	0.127
ˈiə̯	ˈio̯	0.127
ˈɪ	-	0.124
t	s̻ː	0.123
j	n	0.122
ˈoə̯	ˈu_r	0.111
ˈɪə̯	ˈɑ	0.093
ə	u	0.093
n	nː	0.093
ˈɪ	ˈe	0.089
ˈɔ	ˈuː	0.088
ˈɔ	w	0.088
k	-	0.075
j	j	0.072
ˈɪə̯	ˈei̯	0.065
ə	ɛ	0.065
ˈiə̯	ˈeː	0.06
j	ˈio̯	0.057
ə	o	0.056
m	mː	0.054
t	ʦː	0.052
l	lː	0.052
