Westphalian	Westphalian	probability
ˈɛː	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈa	1.0
ˈɒː	ˈɑː_r	1.0
ˈœː	-	1.0
ˈø	ˈɛ	1.0
ˈyːœ̯	-	1.0
ˈyə̯	ˈɵ	1.0
ˈuːə̯	-	1.0
ˈuː	ˈʉː	1.0
ˈuə̯	-	1.0
ʋ	v	1.0
ʃ_ˈɪ	ɧ	1.0
ɪ	-	1.0
ɣ	-	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
z	s	1.0
v_ˈʊ	ˈɵ	1.0
t_n	t_a	1.0
n_ˈaɪ̯	n	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
l_ə	lː	1.0
k_ə	k	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d	1.0
d_ɐ	r	1.0
d_n	d_a	1.0
aɪ̯	ɔ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
#>	ɛ_#>	1.0
l	l	0.946
b	b	0.909
h	h	0.889
v	v	0.875
r	r	0.875
ə	a	0.8
<#_d	<#_d	0.786
ˈoː	ˈuː	0.778
s	s	0.762
ˈaʊ̯	ˈøː	0.727
ˈøː	ˈøː	0.714
ˈiː	ˈiː	0.714
ç_#>	#>	0.714
d	tʰ	0.714
ˈa	ˈa	0.708
ŋ	ŋː	0.7
ˈɪ	ˈɪ	0.684
ˈʏ	ˈʏ	0.667
ˈaː	ˈɑː	0.667
p	p	0.667
m	m	0.667
ɐ	r	0.643
k	k	0.632
ʃ	s	0.619
ˈɪə̯	-	0.6
ˈɛ	ˈɛ	0.571
ɡ	ɡ	0.571
x	ɡ	0.556
ˈʊ	ˈɵ	0.545
ˈaɪ̯	ˈʉː	0.538
t	t	0.533
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈiɛ̯	ˈɛ	0.5
ˈiɛ̯	-	0.5
ˈeː	ˈeː	0.5
n	n	0.471
ˈɛ	-	0.429
ˈɪə̯	ˈeː	0.4
ˈɪɛ̯	ˈɛː	0.364
ˈɪɛ̯	-	0.364
ɐ	ɛ_r	0.357
ˈʏ	-	0.333
ˈaː	ˈa	0.333
p	pː	0.333
n	a	0.333
m	mː	0.333
ˈaɪ̯	-	0.308
ˈeː	-	0.3
ŋ	-	0.3
t	tː	0.3
ˈøː	-	0.286
ˈiː	-	0.286
ɡ	ɡː	0.286
ç_#>	ɡ_#>	0.286
ˈʊ	ˈʊ	0.273
ˈɪɛ̯	ˈɛ	0.273
ˈaʊ̯	-	0.273
ʃ	ɧ	0.238
ˈoː	-	0.222
<#_d	<#	0.214
ˈɪ	-	0.211
ˈeː	ˈɛ	0.2
ə	-	0.2
s	ɧ	0.19
ˈʊ	ˈʉː	0.182
x	j	0.167
x	-	0.167
k	kː	0.158
ˈaɪ̯	ˈeː	0.154
ʃ	s_k	0.143
ɡ	jː	0.143
d	ɕ	0.143
d	-	0.143
ˈa	ˈɑː	0.125
v	-	0.125
r	r_ˈœ	0.125
x	ˈɔ	0.111
h	j	0.111
ˈɪ	ˈeː	0.105
k	ɕ	0.105
k	-	0.105
b	-	0.091
ˈa	ˈɛ	0.083
ˈa	ˈoː	0.083
n	n_d	0.078
t	ʈː	0.067
t	-	0.067
n	nː	0.059
l	lː	0.054
