Insular North Frisian	Insular North Frisian	probability
ˈɛː	ˈæ	1.0
ˈœ_n	n	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈoː_v	1.0
ˈaɪ̯	-	1.0
ɾ_ɐ	ɾ	1.0
v_ˈɛ	ʋ	1.0
v	ʋ	1.0
tʰ	d	1.0
s_#>	z̥_#>	1.0
r	ɾ	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l_ə	w	1.0
h	ˈɑ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
e	-	1.0
b	b	1.0
aɪ̯	iə̯	1.0
<#_ˈɔː	<#_ˈɑ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_h	<#	1.0
<#	<#_ˈɑ	1.0
t	t	0.923
ɐ	ɾ	0.828
ɡ	ɦ	0.818
n	n	0.786
ˈɔː	ˈɒː	0.778
d	d	0.765
ˈa	ˈɑ	0.75
ɾ	d̥	0.733
l	l	0.725
ˈoː	ˈoː	0.714
ˈeː	-	0.667
ɪ	ə	0.667
ˈɔa̯	ˈoː	0.625
s_k	s	0.625
#>	n_#>	0.615
j	-	0.6
k	k	0.583
ˈuː	ˈoː	0.556
ˈɔ	-	0.545
ŋ	ŋ	0.545
s	z	0.538
ˈœ	-	0.5
ˈøː	ˈøː	0.5
ˈøː	ˈuə̯	0.5
ˈyː	ˈiə̯	0.5
ˈyː	-	0.5
ʃ	ʃ	0.5
ʃ	z	0.5
nʲ	n_d̥	0.5
nʲ	d_n	0.5
s	s	0.462
ŋ	ŋ_k	0.455
x	h	0.438
ˈiː	ˈiə̯	0.412
ˈʏ	ˈyː	0.4
ˈʊ	-	0.4
j	j	0.4
ˈɔa̯	-	0.375
s_k	ʃ_h	0.375
ˈɪ	ˈi	0.348
ˈɛ	-	0.333
ˈeː	ˈeː	0.333
ɪ	ɪ	0.333
ç	ɦ	0.333
x	-	0.312
ə	n	0.308
ə	-	0.308
#>	d̥_#>	0.308
ˈɪ	ˈɪ	0.304
ˈʏ	-	0.3
ˈoː	ˈuə̯	0.286
ˈɔ	ˈɔ	0.273
ˈʊ	ˈu	0.267
ɾ	d	0.267
ˈœ	ˈɔ	0.25
ˈœ	ˈɑ	0.25
ˈa	ˈæ	0.25
ç	ɦ_ə	0.25
k	k_ə	0.25
d	t	0.235
ə	ə	0.231
ˈɔː	-	0.222
ˈuː	ʋ	0.222
ˈuː	n	0.222
n	n_ə	0.214
ˈʊ	ˈuə̯	0.2
ˈɛ	ˈɪ	0.19
ˈɔ	ˈæ	0.182
ɡ	-	0.182
ˈiː	ˈɛː	0.176
ˈiː	ˈeː	0.176
ˈɪ	-	0.174
ɐ	ə_ɾ	0.172
ç	ɦ̥	0.167
ç	h	0.167
k	k_n	0.167
ə	w	0.154
l	w	0.15
ˈɛ	ˈɛ	0.143
ˈɛ	ˈœ	0.143
ˈʊ	ˈɪ	0.133
x	ɾ	0.125
x	ɦ̥	0.125
ˈiː	ˈɒː	0.118
ˈiː	ˈi	0.118
ˈʏ	ˈœ	0.1
ˈʏ	ˈu	0.1
ˈʏ	ˈoː	0.1
ˈɛ	ˈuə̯	0.095
ˈɛ	n	0.095
ˈɪ	ˈɛ	0.087
ˈɪ	h	0.087
ç	ç	0.083
t	-	0.077
#>	ɦ̥_#>	0.077
l	-	0.075
