North Frisian	East Low German	probability
<#	<#_v	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_tʲ	<#_d	1.0
<#_v	<#_v	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈa	<#	1.0
<#_ˈeː	<#	1.0
d	t	1.0
dʲ	d	1.0
f_#>	f_#>	1.0
i_#>	ɪ_ç	1.0
j	ɡ	1.0
j_#>	ç_#>	1.0
j_ə	ɡ	1.0
k	-	1.0
k_#>	k	1.0
l	l	1.0
l_#>	l_#>	1.0
lʲ	l	1.0
m_#>	m_#>	1.0
m_ə	m	1.0
n_#>	n	1.0
n_i	n_ɪ	1.0
n_ə	n	1.0
nʲ_#>	n	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	æ_#>	1.0
r_s	s	1.0
s	-	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
tʲ_#>	t	1.0
v_#>	f_#>	1.0
v_ə	m	1.0
x	x	1.0
x_t	ç	1.0
ŋ	ŋ_k	1.0
ŋ_#>	ç_#>	1.0
ŋ_ə	ŋ	1.0
ə	-	1.0
ə_#>	n_#>	1.0
ʃ_#>	ʃ_#>	1.0
ˈa_r	ˈaː	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ˈaː	ˈœː	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈiː_#>	ˈae̯_#>	1.0
ˈuː_l	ˈa_l	1.0
ˈyː_dʲ	ˈaʊ̯_t	1.0
ˈøː	ˈuː	1.0
ˈœ_dʲ	ˈaʊ̯_t	1.0
ˈœ_nʲ	ˈa_n	1.0
ˈɔ	ˈuː	1.0
ˈɔu̯	ˈɒː	1.0
ˈɛ	ˈɔʏ̯	1.0
ˈɛː	ˈɒː	1.0
ˈɛː_d	ˈɛː_ɾ	1.0
ˈʏ	ˈʏ	1.0
r	ˈoː_æ	0.061
r	ˈaː	0.091
ˈiː	ˈeː	0.091
ˈiː	ˈɔʏ̯	0.091
ˈʊ	ˈɛ	0.111
ˈʊ	ˈa	0.111
ˈʊ	-	0.111
ˈʊ	ˈʏ	0.111
#>	d_#>	0.722
<#_s	<#_z	0.562
ˈeː	ˈiː	0.2
ˈeː	ˈœ	0.2
ˈiː	ˈae̯	0.682
ˈyː	ˈʊ_n	0.2
ˈyː	ˈaʊ̯	0.2
<#_ɡ	<#_j	0.273
n	-	0.353
r	æ	0.273
ˈa	ˈʏ	0.333
ˈeː	ˈɛ	0.3
ˈeː	ˈʏ	0.3
ˈuː	ˈuː	0.3
ˈyː	-	0.133
ˈœ	ˈɔ	0.333
<#_j	<#	0.714
<#_t	<#_d	0.474
d_#>	d_#>	0.364
z	t	0.4
ˈi	ˈɪ	0.444
ˈɛi̯	ˈɔʏ̯	0.4
d_ə	ŋ	0.5
d_ə	ɾ	0.5
k_ə	k	0.5
k_ə	k_n	0.5
v	-	0.25
v	w	0.375
v	v	0.375
ˈɒ	ˈɪ	0.25
ˈɒ	ˈa	0.75
<#_j	<#_j	0.286
<#_t	<#_tʰ	0.526
d_#>	t	0.636
r	r	0.576
z	-	0.6
ˈi	ˈiː	0.556
ˈiː	ˈiː	0.136
ˈɒː	ˈaː	0.286
ˈɒː	ˈɒː	0.286
ˈɔː	ˈa	0.286
ˈɔː	ˈœː	0.286
ˈɛi̯	ˈɒː	0.6
<#_ɡ	<#_ɡ	0.727
ˈa	ˈɪ	0.667
ˈuː	ˈaʊ̯	0.7
ˈyː	ˈuː	0.467
ˈœ	ˈaʊ̯	0.667
ˈʊ	ˈɪ	0.167
#>	ç_#>	0.278
<#_s	<#_ʃ	0.438
n	ŋ	0.118
n	n	0.529
ˈɒː	ˈa	0.429
ˈɔː	ˈɔ	0.429
ˈʊ	ˈʊ	0.389
