Bellunese	Québécois French	probability
b	b	1.0
f	f	1.0
ʤ	ɡ	1.0
a	a	0.231
i	w	0.21
i	i	0.401
j	ɡ_l	0.061
o	ɑɔ̯	0.061
o	øʏ̯	0.221
u	ɔ	0.081
w	oʊ̯	0.181
z	z	0.521
ŋ	ã	0.1
ˈa	ã	0.061
ˈa	æɛ̯	0.291
ˈe	œ	0.061
ˈɔ	ɥ	0.061
i	e	0.092
l	-	0.122
o	i	0.102
o	aœ̯	0.102
o	u	0.2
s	t	0.062
t	t	0.622
z	l	0.052
ð	-	0.252
ŋ	n	0.152
ˈa	a	0.182
ˈe	æɛ̯	0.232
θ	s	0.882
j	w	0.053
l	l	0.853
o	ɔ	0.103
ˈi	i	0.283
ˈo	aœ̯	0.183
ˈu	ʏ	0.203
ˈɔ	ɔ	0.13
ˈɛ	ɛ	0.063
ˈɛ	æɛ̯	0.333
a	i	0.084
a	j	0.194
e	i	0.144
p	p	0.924
ŋ	ẽɪ̯̃	0.4
ʧ	j	0.824
ˈi	ɪ	0.564
ˈu	y	0.474
ˈɔ	-	0.064
ˈɛ	-	0.164
θ	-	0.104
m	m	0.995
n	-	0.135
t	-	0.335
u	æɛ̯	0.375
u	y	0.415
ŋ	m	0.055
ɲ	ɲ	0.585
ˈo	oʊ̯	0.05
ˈɔ	o	0.065
ˈɛ	ɛɪ̯	0.05
e	œ	0.176
j	-	0.156
j	l	0.26
k	ʃ	0.606
o	-	0.156
p	-	0.076
r	ʁ	0.996
ɡ	ɡ	0.336
ʧ	k	0.176
ˈa	e	0.266
ˈe	j	0.06
ˈu	u	0.256
e	-	0.487
i	-	0.297
j	j	0.47
n	n	0.817
s	s	0.687
v	-	0.17
v	v	0.747
ɡ	-	0.627
ɲ	n	0.207
ɲ	ʒ	0.207
ˈe	w	0.057
ˈo	øʏ̯	0.057
ˈo	ɔ	0.07
ˈɔ	ɑɔ̯	0.597
ˈɛ	oʊ̯	0.207
d	-	0.438
s	-	0.228
z	-	0.338
ð	ʒ	0.688
ŋ	-	0.28
ˈa	-	0.08
ˈe	-	0.078
ˈe	ɛ	0.328
ˈi	w	0.058
ˈo	œ	0.08
ˈo	ɒ̃ʊ̯̃	0.268
a	-	0.139
a	ɛ	0.29
d	ʣ	0.229
d	d	0.249
e	ɛ	0.179
k	k	0.319
u	ɥ	0.129
v	ʒ	0.059
w	-	0.819
ˈo	-	0.069
ˈɛ	ã	0.129
