Québécois French	Latin	probability
aœ̯	ˈoː	1.0
o	ˈɔ	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈɛ	1.0
ɪ	ˈiː	1.0
ɲ	n	1.0
ʊ	ˈʊ	1.0
ʏ	ˈuː	1.0
ʣ	d	1.0
ʦ	d	1.0
a	a	0.51
ã	ˈa_n	0.111
b	b	0.901
f	-	0.061
s	s	0.711
w	ˈeː_ɡ	0.071
w	ɪ	0.181
w	ˈʊ	0.351
æɛ̯	ʊ̃ː_#>	0.051
øʏ̯	ʊ_s	0.271
ɒ̃ʊ̯̃	oː	0.071
ɒ̃ʊ̯̃	ŋ	0.081
ɛ	ˈa	0.111
ɛ	ãː	0.361
ɡ	ɡ	0.781
ɥ	-	0.421
ã	ˈa	0.162
ẽɪ̯̃	e_ʊ̃ː	0.092
j	ˈɛ	0.402
l	lʲː_ãː	0.062
l	l	0.142
n	n	0.632
t	s_k	0.082
æɛ̯	a	0.062
øʏ̯	ʊ̃ː	0.372
œ	ˈɔ	0.102
ɔ	ɔ	0.402
ɥ	ˈuː	0.12
ʁ	r_ɛ̃ː	0.082
ʁ	r_ɛ	0.172
ʃ	-	0.092
e	r_ɛ	0.063
i	ˈɛ	0.203
k	kʷ	0.23
l	-	0.053
oʊ̯	ˈa_ɫ	0.073
z	s	0.293
ɑɔ̯	ˈɔ	0.923
ɒ̃ʊ̯̃	ˈɔ_n	0.223
ɥ	ˈʊ	0.143
ʁ	r_ʊ̃ː	0.053
ʁ	ɛ_r_ɛ	0.063
ʒ	j	0.173
ã	ɛ̃ː	0.124
b	-	0.084
e	ʊ̃ː	0.054
e	ˈaː_r	0.454
ẽɪ̯̃	ʊ̃ː	0.144
ẽɪ̯̃	n	0.474
oʊ̯	ʊ̃ː	0.054
t	t	0.584
w	ˈeː	0.24
æɛ̯	ˈa	0.144
æɛ̯	ˈaː	0.264
ɛ	ɛ	0.064
a	aː	0.085
ã	ʊ̃ː	0.325
d	-	0.155
j	-	0.325
n	n_ãː	0.345
u	ˈʊ	0.505
v	p	0.195
ʒ	d	0.105
a	-	0.066
e	ˈaː	0.06
j	lʲ_i	0.136
m	m	0.906
p	p	0.996
u	ˈoː	0.356
v	w	0.736
w	-	0.156
æɛ̯	ˈa_k	0.056
ɥ	t	0.316
i	ˈiː_k	0.107
j	i	0.077
k	k	0.77
l	ɫ_ʊ̃ː	0.057
oʊ̯	lʲː_ʊ̃ː	0.757
z	-	0.707
ɑɔ̯	ɔ	0.077
ɒ̃ʊ̯̃	ˈoː_n	0.127
ɒ̃ʊ̯̃	ˈoː_n_ɛ̃ː	0.497
ɛ	ˈɛ	0.087
d	d	0.8
l	ɫ	0.618
oʊ̯	ˈau̯	0.058
oʊ̯	ˈɛ_lʲː	0.058
s	-	0.258
t	tː	0.078
t	k_t	0.098
y	ˈuː	0.958
øʏ̯	oː	0.078
œ	ɛ	0.768
ɔ	ˈɔ	0.478
ɛ	k_ɛ̃ː	0.118
ɛ	-	0.18
ʁ	r	0.478
ʃ	k	0.908
ʒ	-	0.098
a	ˈa	0.339
ã	ˈa_ŋ	0.179
e	-	0.279
ẽɪ̯̃	n_ʊ̃ː	0.289
f	f	0.939
i	ˈiː	0.589
t	s_t	0.159
u	ˈɔ	0.139
æɛ̯	ˈɛ	0.209
øʏ̯	k_ʊ̃ː	0.279
ɔ	ˈoː	0.079
ɡ	k	0.219
ʒ	ɡ	0.589
