Gascon	Franco-Provençal	probability
a	a	1.0
d	d	1.0
h	f	1.0
m	m	1.0
p	p	1.0
y	-	1.0
ʃ	s	1.0
ʤ	ð	1.0
i	i	0.341
j	-	0.571
t	-	0.111
z	z	0.911
ˈe	ˈe	0.091
ˈu	ˈø	0.071
ˈu	w	0.091
ˈɔ	w	0.231
ˈɔ	ˈoː	0.731
e	e	0.12
j	j	0.302
n	n	0.682
s	s	0.892
t	t	0.452
w	-	0.512
ŋ	-	0.682
ɔ	a	0.622
ɡ	ɡ	0.782
ʒ	ʒ	0.62
ˈe	ˈɛː	0.212
ˈi	ˈi	0.532
b	v	0.723
e	o	0.113
u	o	0.363
w	w	0.283
ɔ	i	0.053
ʎ	ʎ	0.933
ˈe	ˈɛ	0.203
ˈi	ˈe	0.203
ˈu	ˈɔ	0.473
ˈɛ	ˈɛː	0.093
s	ʃ	0.084
w	l	0.204
ɲ	ˈɛ̃	0.374
ɾ	ð	0.244
ʦ	ʃ	0.934
ˈa	ˈɑː	0.054
ˈa	ˈe	0.054
ˈa	ˈa	0.414
ˈe	ˈi	0.144
ˈu	ˈoː	0.124
ˈu	ˈo	0.164
ˈy	ˈo	0.074
β	v	0.754
k	ʃ	0.485
ð	ð	0.235
ð	-	0.765
ɔ	ə	0.255
ɣ	v	0.475
ɣ	ɡ	0.525
ˈe	j	0.055
ˈɛ	ˈa	0.195
β	b	0.095
e	ə	0.346
k	-	0.106
t	l	0.406
ɲ	ɲ	0.626
ʦ	-	0.066
ˈe	ˈɛ̃	0.276
ˈi	ˈĩ	0.256
ˈɛ	j_ˈe	0.126
β	ð	0.06
b	b	0.277
e	-	0.137
e	ʁ_o	0.197
k	k	0.387
u	ɔ	0.597
ɾ	-	0.087
ʎ	-	0.067
ˈa	ˈɛː	0.057
ˈa	ˈɑ̃	0.087
ˈa	ʁ_#>	0.107
ˈy	ˈu	0.277
ˈy	w	0.617
j	ˈø	0.08
n	-	0.318
ŋ	n_a	0.318
ɡ	-	0.218
ʒ	ð	0.38
ˈa	ˈaː_ð	0.068
ˈu	ˈu	0.078
ˈɛ	ˈɛ	0.238
β	v_ʁ	0.058
i	o	0.659
l	l	0.959
r	ʁ	0.969
z	-	0.089
ɔ	-	0.069
ɾ	ʁ	0.669
ˈɛ	ˈe	0.309
