Neapolitan	Neapolitan	probability
ˈɛ	ˈɛ	1.0
ˈɔ_v	u	1.0
ˈɔ_k	ɣ	1.0
ˈɔ	ˈɔ	1.0
ˈi_l	ˈi_l	1.0
ˈi_#>	ɛ_#>	1.0
ʧ	ɣ	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʤː	ɣ	1.0
ʎː	ʣ	1.0
ʃ_ˈɛ	k_ˈe	1.0
ʃ_ˈi	k_ˈi	1.0
ʃ_ə	ɣ_ɛ	1.0
ɾ_t	ɾ_t	1.0
ɾ_n	r	1.0
ə_ɾ	ɛ_ɾ	1.0
ə_#>	#>	1.0
ŋ_k	m_b	1.0
w_ˈɔ	ˈo	1.0
w_ə	a	1.0
v_ˈu	b_ˈɔ	1.0
v_ə	ɛ	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r	ɾ	1.0
m	m	1.0
l	l	1.0
kː_ə	k_a	1.0
kː_j	j	1.0
kː	-	1.0
k_ɾ	ɾ	1.0
k_j	p_ɾ	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	b_ˈe	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	t	1.0
d	d	1.0
b_w	b	1.0
b	b	1.0
a_t	a_ð	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#_ʣ	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.962
n	n	0.915
p	p	0.897
ˈi	ˈi	0.848
ɾ_ə	ɾ_ɛ	0.846
ˈu	ˈu	0.838
k	k	0.833
v	b	0.792
ˈo	ˈɔ	0.769
ɾ	ɾ	0.743
lː	ɖː	0.714
#>	ɾ_ɛ_#>	0.65
ʤ	ʣ	0.6
nː	nː	0.6
mː	m	0.6
t	t	0.581
ɡ	b	0.571
w	-	0.545
ʃː	s_k	0.5
ʃː	-	0.5
ŋ	m	0.5
ŋ	-	0.5
o	u	0.5
o	-	0.5
j	-	0.5
i	i	0.467
w	ˈo	0.455
u	u	0.455
ˈe	ˈɛ	0.438
ˈe	ˈi	0.438
ɲː	ŋ_ɡ	0.429
ɡ	-	0.429
t	ð	0.419
ə	u	0.418
ʤ	b	0.4
nː	-	0.4
mː	m_i	0.4
ʃ	i_s	0.389
u	ɔ	0.364
#>	ɛ_#>	0.35
ə	a	0.289
ɲː	ɲ	0.286
ɲː	n_ʣ	0.286
lː	-	0.286
j	ɾ	0.25
j	j_z	0.25
ˈo	ˈu	0.231
ʃ	ɣ	0.222
ʃ	k	0.222
v	-	0.208
i	ɛ	0.2
i	-	0.2
ə	ɛ	0.191
u	-	0.182
ʃ	f_ɾ	0.167
k	ɣ	0.167
ɾ_ə	ɛ	0.154
ˈi	ˈɛ	0.152
ɾ	-	0.143
i	e	0.133
ˈe	ˈe	0.125
ɾ	i	0.114
ˈu	ˈɔ	0.108
p	β	0.103
ˈu	ˈo	0.054
