Dutch	Old High German	probability
χ_t	x_t	1.0
ˈʏ	ˈu	1.0
ˈɛi̯_n	ˈiː_n	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈœy̯	ˈuː	1.0
ˈøː	ˈɑ	1.0
ˈyː	ˈiu̯	1.0
ˈu	ˈuo̯	1.0
ɾ_χ	r_ɡ	1.0
ɾ_ə	r	1.0
ɾ	r	1.0
ɦ	h	1.0
ə_ɾ	i_r	1.0
z̥	s	1.0
z	s	1.0
v_ə	b_ɑ	1.0
s_ɫ	s_l	1.0
s_t	s_t	1.0
p_ə	f_ɑ	1.0
k_n	kʰ_n	1.0
j	j	1.0
i	ɛ_h	1.0
d̥	t	1.0
d_ˈɪ	d_ˈi	1.0
d_ə	t_ɑ	1.0
b	b	1.0
ʋ	w	0.985
ɫ	l	0.971
m	m	0.963
n	n	0.938
ˈɑ	ˈɑ	0.937
ˈɪ	ˈi	0.931
v	f	0.874
ŋ	ŋ_ɡ	0.833
s	s	0.78
d	d	0.761
χ	ɡ	0.748
ˈɔ	ˈu	0.687
v̥	f	0.639
p	p͡f	0.606
ˈi	ˈio̯	0.593
ˈaː	ˈɑː	0.504
ˈɛi̯	ˈiː	0.487
ə	ɑ	0.482
k	kʰ	0.451
ˈeː	ˈei̯	0.438
v̥	b	0.361
ˈeː	ˈɛ	0.329
t	ʦ	0.329
t	s̻	0.325
ˈɛ	ˈɛ	0.318
ˈɔ	ˈo	0.313
ˈoː	ˈo	0.309
k	xː	0.288
ˈaː	ˈɑ	0.283
ˈoː	ˈoː	0.256
ˈɛ	ˈe	0.228
ə	e	0.213
ˈɛi̯	ˈei̯	0.211
ˈoː	ˈou̯	0.211
p	p	0.21
ˈoː	ˈu	0.206
ˈɛi̯	ˈi_r	0.199
ˈɛ	-	0.197
χ	k	0.192
p	fː	0.184
t	s̻ː	0.173
d	t	0.17
ŋ	ŋ	0.167
k	kː	0.166
ˈi	ˈɛ_h	0.147
ˈɛ	ˈi	0.142
v	b	0.126
ˈaː	-	0.12
s	s_k	0.12
ˈɛ	ˈɑ	0.115
ˈi	ˈiu̯	0.112
ˈeː	ˈeː	0.106
ˈɛi̯	ˈi	0.103
s	x_s	0.1
k	k	0.095
ˈaː	ˈɑ_h	0.093
ˈeː	-	0.077
ˈi	-	0.075
ˈi	ˈie̯	0.072
ə	ɛ	0.071
ˈɪ	ˈiː	0.069
d	tː	0.069
ˈɑ	-	0.063
ə	i	0.063
n	nː	0.062
χ	x	0.06
ə	u	0.053
t	t	0.053
ə	eː	0.051
ˈeː	ˈi	0.05
