Aragonese	Aragonese	probability
θ_#>	s_#>	1.0
ˈu_ɾ	ˈy	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈe_ɾ_#>	ˈe_#>	1.0
ˈe_ɾ	e	1.0
ˈe_ɣ	ˈe_k	1.0
ˈe_ð	ˈe_d	1.0
ˈe_j	ˈɛ_j	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ʧ	ʤ	1.0
ʝ	-	1.0
ʎ_o_#>	w_#>	1.0
ʎ_a	j_ɔ	1.0
ɾ_o	ɾ_e	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ŋ	ŋ	1.0
z_l	lː	1.0
w_ˈa	ˈa	1.0
t_o_#>	#>	1.0
t_a	t_ɔ	1.0
s_k	s_k	1.0
s_#>	#>	1.0
r	ʀ	1.0
p_o_#>	#>	1.0
p	p	1.0
o_#>	#>	1.0
n_t	ŋ	1.0
n_o	ŋ	1.0
l_o	w	1.0
l_#>	w_#>	1.0
k_ɾ	k_ɾ	1.0
k_o_#>	k_#>	1.0
k	k	1.0
j_t	ʧ	1.0
f	f	1.0
e_#>	#>	1.0
b_w	b_w	1.0
a_ð	a	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
m	m	0.967
n_#>	ŋ_#>	0.867
d	d	0.857
ˈi	ˈi	0.81
e	e	0.793
b	v	0.773
j_ˈe	ˈɛ	0.75
a	ɔ	0.725
u	u	0.714
w	w	0.71
ɡ	ɡ	0.692
#>	e_#>	0.692
s	s	0.682
l	l	0.679
ˈa	ˈa	0.667
ˈe	ˈe	0.6
ʃ	s	0.6
t	t	0.591
ʎ	j	0.583
n	n	0.571
ð	d	0.538
ɾ	ɾ	0.521
β	b	0.52
θ	z	0.5
θ	s	0.5
ˈo	ˈu	0.471
ʎ	l	0.417
ʃ	j_s	0.4
i	e	0.4
j	j	0.357
j	-	0.357
ˈu	ˈy	0.348
ˈu	ˈu	0.348
o	u	0.348
ˈa	ˈã	0.333
ɾ	ʀ	0.312
ɡ	k	0.308
ð	-	0.308
i	i	0.3
u	y	0.286
n	ŋ	0.286
t	-	0.273
j_ˈe	ˈẽ	0.25
β	v	0.24
a	a	0.203
i	-	0.2
ˈi	ˈĩ	0.19
s	z	0.182
ˈo	ˈũ	0.176
ˈu	ˈũ	0.174
o	w	0.174
w	-	0.161
ð	z	0.154
#>	ɔ_#>	0.154
#>	w_#>	0.154
n	-	0.143
l	-	0.143
j	ˈe	0.143
j	j_ɾ	0.143
d	-	0.143
e	-	0.138
t	w_t	0.136
s	-	0.136
b	-	0.136
n_#>	#>	0.133
ˈu	ˈỹ	0.13
w	ɥ	0.129
ɾ	-	0.125
β	w	0.12
β	-	0.12
ˈe	ˈẽ	0.117
l	w	0.107
ˈe	j	0.1
i	ĩ	0.1
b	b	0.091
ˈo	ˈa_w	0.088
ˈo	w	0.088
o	ˈe	0.087
o	ʀ	0.087
o	ŋ	0.087
o	e	0.087
o	-	0.087
ˈe	ˈɛ	0.083
l	ˈe	0.071
e	i	0.069
ˈo	ˈe	0.059
ˈo	ˈa	0.059
ˈo	w_ˈe	0.059
