Eastern Lombard	French	probability
b	b	1.0
i	-	1.0
m	m	1.0
p	p	1.0
w	-	1.0
ŋ	-	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ʤ	-	1.0
ˈy	y	1.0
e	-	0.411
f	f	0.981
o	-	0.501
r	ʁ	0.861
ˈo	ɔ	0.351
d	-	0.592
t	-	0.402
ɡ	ɡ	0.362
ˈi	-	0.182
ˈi	i	0.382
ˈɛ	w	0.172
j	-	0.353
j	l	0.53
n	-	0.233
ʧ	j	0.403
ˈa	-	0.073
ˈa	ɛ̃	0.163
ˈa	ɛ	0.273
ˈe	ɛ	0.073
ˈø	y	0.273
ˈɔ	o	0.213
n	n	0.474
z	-	0.084
z	z	0.14
ˈe	i	0.434
ˈi	i_ʁ	0.124
ˈo	o	0.244
ˈɛ	-	0.244
e	ə	0.165
l	-	0.305
l	l	0.695
ˈa	a	0.195
ˈa	e	0.275
ˈi	w	0.225
ˈu	ɔ	0.055
ˈø	u	0.275
ˈø	œ	0.375
a	a	0.726
e	a	0.366
r	-	0.086
z	ʒ	0.776
ˈe	ɑ̃	0.116
ˈo	ɔ̃	0.196
a	-	0.217
e	ɛ	0.057
j	j	0.117
n	ɑ̃	0.257
ʧ	-	0.597
ˈu	u	0.167
a	ɛ	0.058
d	d	0.408
s	s	0.928
t	t	0.598
ɡ	-	0.638
ˈi	ɛ̃	0.088
ˈu	ɔ̃	0.358
ˈu	œ	0.38
ˈɔ	ɔ	0.748
ˈɛ	ɛ	0.508
k	ʃ	0.399
k	k	0.589
o	ɔ	0.499
ˈe	w	0.159
ˈe	j	0.219
ˈo	u	0.209
