Spanish	Romansch	probability
a	ə	0.806
a	-	0.158
b	v	0.687
b	b	0.213
b	b_ˈa	0.057
d	d	0.853
d	t	0.147
e	-	0.62
e	ə	0.254
f	f	1.0
i	-	0.414
i	u	0.23
i	ə	0.157
i	i	0.142
i	ˈi	0.058
j	ˈɛ	0.315
j	ˈi	0.271
j	-	0.17
j	ˈa	0.084
j	j	0.073
j	ˈɛː	0.065
k	ʨ	0.705
k	k	0.215
l	l	0.936
m	m	0.879
m	-	0.069
n	n	0.773
n	w_n	0.106
n	ɲ	0.057
o	-	0.794
o	u	0.076
p	p	0.85
p	v	0.097
p	b	0.053
r	r	0.947
r	l	0.053
s	s	0.742
s	ʃ	0.179
t	t	0.576
t	t_ə	0.162
t	ʦ	0.113
t	-	0.077
u	i	1.0
w	j	0.486
w	u	0.257
w	ˈuɔ̯	0.257
x	ʎ	0.749
x	ʥ	0.208
ð	d	0.489
ð	t	0.292
ð	d_ˈa	0.126
ð	p	0.093
ŋ	ŋ	0.763
ŋ	ɲ	0.237
ɟ͡ʝ	p_l	0.449
ɟ͡ʝ	k_l	0.421
ɟ͡ʝ	ʃ	0.084
ɡ	ɡ	0.735
ɡ	-	0.18
ɡ	ʥ	0.085
ɣ	ɡ	0.378
ɣ	j	0.267
ɣ	w	0.145
ɣ	ʧ	0.145
ɣ	ʥ	0.065
ɲ	ɲ	0.603
ɲ	n	0.263
ɲ	m	0.133
ɾ	r	0.808
ɾ	-	0.159
ʝ	l	0.71
ʝ	ʥ	0.196
ʝ	-	0.094
ʧ	ʨ	0.7
ʧ	ʦ	0.3
ˈa	ˈa	0.562
ˈa	ˈaː	0.284
ˈa	ˈɔ	0.109
ˈe	-	0.284
ˈe	ə	0.172
ˈe	j	0.108
ˈe	ˈa_j	0.102
ˈe	ˈe	0.1
ˈe	ˈeː	0.079
ˈe	ˈɛ	0.07
ˈi	ˈi	0.642
ˈi	ˈiː	0.2
ˈo	ˈu	0.501
ˈo	w	0.206
ˈo	ˈuː	0.109
ˈu	ˈi	0.501
ˈu	ˈu	0.358
ˈu	ˈiː	0.109
β	v	0.707
β	-	0.293
θ	ʃ	0.43
θ	ʧ	0.27
θ	s	0.103
θ	-	0.091
