Pennsylvania German	Pennsylvania German	probability
ˈɔɪ̯	ˈɔːɪ̯	1.0
ˈaː	-	1.0
ˈaɪ̯_#>	ˈɛɪ̯_#>	1.0
ˈa_s	ˈɔː_t	1.0
ˈa_l	ˈoː_l	1.0
ʦ	t	1.0
ʋ_ˈeː	v_ˈoː	1.0
ʃ_l	s_l	1.0
ɾ_ə	r	1.0
ɾ	r	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ɡ̊	x	1.0
ɡ	ɣ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
t	t	1.0
s_#>	s_#>	1.0
p	p	1.0
m	m	1.0
l_#>	l_ə_#>	1.0
l	l	1.0
h	h	1.0
eː	i	1.0
d_ɑ	r	1.0
b̥_#>	f_#>	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_j	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#	<#_d	1.0
d̥	d	0.909
ʋ	v	0.862
ˈeː	ˈeː	0.833
ə	ə	0.829
n	n	0.737
f	f	0.733
ˈaʊ̯	ˈuː	0.727
k	k	0.7
ˈɛː	-	0.667
<#_d	<#_d	0.607
ʃ	s	0.6
#>	ə_n_#>	0.6
ˈuː	ˈoːu̯	0.583
ɪ	-	0.556
x	x	0.545
ç	x	0.533
ˈɔː	ˈoː	0.5
ˈoː	ˈoː	0.5
j	ɣ	0.5
j	j	0.5
b̥	v	0.5
b̥	-	0.5
ɑ	ə_r	0.469
ç	k	0.467
x	k	0.455
ɪ	ɪ	0.444
d	t	0.444
s	s	0.441
ˈiː	ˈɛɪ̯	0.429
ˈiː	j_ˈoː	0.429
ˈʊ	ˈuː	0.4
ˈɔ	ˈoːu̯	0.4
ʃ	s_k	0.4
#>	x_#>	0.4
ˈɔː	-	0.389
s	t	0.382
ˈɪ	ˈɪ	0.379
ˈʊ	ˈʊ	0.35
ˈɛː	ˈiː	0.333
ˈa	ˈɔː	0.333
d	d	0.333
ˈaɪ̯	ˈi	0.316
ˈɔ	ˈʊ	0.3
ˈɔ	ˈɔ	0.3
k	x	0.3
<#_d	<#_t	0.286
ɑ	r	0.281
ˈaʊ̯	-	0.273
f	p	0.267
ˈʊ	-	0.25
ˈuː	-	0.25
ˈa	ˈoːu̯	0.25
ˈɪ	ˈiː	0.241
d	d_ə	0.222
ˈoː	ˈɛɪ̯	0.214
ˈɛ	ˈɛ	0.2
ˈɛ	ˈeː	0.2
ˈɛ	-	0.2
ˈɪ	-	0.172
ˈuː	ˈuː	0.167
ˈaɪ̯	ˈiː	0.158
ˈaɪ̯	j_ˈuː	0.158
ˈaɪ̯	-	0.158
ˈoː	ˈoːu̯	0.143
ˈoː	-	0.143
ˈiː	j	0.143
ˈɪ	ˈɛː	0.138
ˈɛ	ˈʊ	0.133
ˈɛ	ˈɔː	0.133
ˈa	ˈaː	0.125
ˈa	ˈa	0.125
ə	j_ə	0.122
s	z	0.118
ˈɔː	ˈiː	0.111
ˈeː	ˈoː	0.111
<#_d	<#	0.107
ˈaɪ̯	ˈɛ	0.105
ˈaɪ̯	ˈuː	0.105
n	n_d	0.105
n	-	0.105
d̥	-	0.091
ˈa	ˈɪ	0.083
ˈa	-	0.083
ˈɪ	j_ˈʊ	0.069
ʋ	w	0.069
ʋ	-	0.069
ˈɛ	ˈiːu̯	0.067
ˈɛ	ˈeːu̯	0.067
ɑ	ˈuː_r	0.062
ɑ	ˈi	0.062
ɑ	ə	0.062
ɑ	-	0.062
s	t_ə	0.059
ˈeː	ˈœː	0.056
n	d	0.053
