Ripuarian	Middle English	probability
ˈʏ	-	1.0
ˈʊ	ˈu	1.0
ˈɔ	-	1.0
ˈøː	ˈeː	1.0
ˈøʏ̯	ˈiu̯_ə	1.0
ˈy	ˈɔ	1.0
ˈu	ˈu	1.0
ˈoː_m	ˈɛː_m	1.0
ˈi	ˈiː	1.0
ˈeː_j	ˈiː_ə	1.0
ʦ	t	1.0
ɣ̊	-	1.0
ɣ	ə	1.0
ə_ɕ	iː	1.0
ə_f	v	1.0
z̥	z	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l_ə	ɫ	1.0
h	h	1.0
e	eː	1.0
b	b	1.0
ʀ	r	0.965
ʋ	w	0.92
z	s	0.912
l	l	0.909
ɐ	ə_r	0.844
f	f	0.805
v	v	0.781
s	t	0.765
k	k	0.733
ɡ̊	d	0.723
ɫ	ɫ	0.687
d̥	d	0.647
ə	ə_n	0.609
ˈe	ˈi	0.588
ˈyː	ˈeː	0.584
ˈo	ˈu	0.574
n	n	0.573
ˈuː	ˈuː	0.568
ˈɔː	ˈɛː	0.564
ʃ	ʃ	0.563
ˈeɪ̯	ˈeː	0.555
ˈɔʊ̯	ˈuː	0.529
ɕ	ç_t	0.526
d	θ	0.526
ˈɪ	ˈiː	0.525
ˈœ	ˈi	0.506
ˈoː	ˈoː	0.487
ˈɪ	ˈi_ŋ	0.475
j	ɡ	0.473
ˈɔʊ̯	ˈɛː	0.471
x	t	0.458
ˈeɪ̯	ˈɔː	0.445
ˈiː	ˈiː	0.439
ˈeː	ˈeː	0.438
ʃ	s	0.437
ˈɔː	-	0.436
ˈuː	ˈɛː	0.432
ˈyː	ˈiː	0.416
ˈa	ˈa	0.405
ˈaː	ˈaː	0.383
ˈɛː	ˈɛ	0.376
ˈɛ	ˈɛ	0.339
ŋ	n	0.327
d	d	0.326
j	j	0.314
ˈoː	ˈɔ	0.31
x	x	0.31
ˈɛː	ˈæi̯	0.307
ˈaː	ˈa	0.294
ˈɛ	-	0.29
ˈiː	-	0.285
ˈœ	-	0.278
ɡ̊	ɡ	0.277
ˈiː	ˈɔu̯	0.276
ˈa	ˈɔː	0.262
ˈe	ˈiː	0.257
ˈeː	ˈɔː	0.256
ɕ	k	0.254
d̥	θ	0.235
x	k	0.233
ɕ	x	0.22
v	-	0.219
ŋ	ŋ	0.217
ˈœ	ˈu	0.215
j	ə	0.214
ˈoː	-	0.203
ˈa	-	0.2
f	p	0.195
ˈɛ	ˈi	0.191
k	ʧ	0.19
ə	n	0.189
ˈɛ	ˈa	0.18
n	-	0.178
ˈeː	ˈɛː	0.173
ˈo	ˈoː	0.168
n	n_ə	0.164
ə	ə	0.163
ˈɛː	ˈɛː	0.159
ˈɛː	ˈi	0.159
ɫ	l_ə	0.157
ˈe	ˈɛ	0.156
ɫ	l	0.156
ɐ	r_ə	0.156
ˈo	ˈɔ	0.138
s	s	0.136
ˈeː	-	0.134
ˈa	ˈaː	0.134
ˈaː	ˈi_ç	0.132
ˈaː	-	0.132
ŋ	n_d	0.127
ŋ	ɡ	0.122
ˈo	-	0.119
d̥	r_d	0.118
d	ð	0.102
s	t_ə	0.1
l	ɫ	0.091
z	s_ˈu	0.088
n	r_n	0.086
ŋ	ˈiː_n	0.084
ʋ	ʍ	0.08
k	ʤ	0.078
ŋ	-	0.063
ˈaː	ˈau̯	0.06
ŋ	n_ɡ	0.059
