Middle High German	Mainland North Frisian	probability
ˈɛ_h	ˈiː	1.0
ˈɑː_r	ʀ	1.0
ˈɑ_n	ˈœ	1.0
ˈøː	ˈiː	1.0
ˈæː	ˈɛi̯	1.0
ˈu_n	ˈʏ	1.0
ˈou̯	ˈuː	1.0
ˈiː_s̻	ˈi_t	1.0
ˈiə̯_ɡ	ˈiː	1.0
ˈi_r	ˈɛ	1.0
ˈeː	ˈiː	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	ʃ	1.0
ʃ_w	s	1.0
ɡ̊	ŋ	1.0
ɛ_h	ɛi̯	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ɑː	ˈuː	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
w_ˈo	ˈʊ	1.0
w_ˈi	v	1.0
v	f	1.0
tː	d	1.0
t_ə	t_ə	1.0
r_n	ʀ_n	1.0
p͡f	p	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈuː	1.0
nː	n	1.0
n_ə	n_i	1.0
n_t	n	1.0
mː	ˈʊ_m	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l_t	lʲ	1.0
kʰ	k	1.0
k	k	1.0
j	-	1.0
i	i	1.0
h	h	1.0
fː	v	1.0
d_ə	ə	1.0
b_ə	v_ə	1.0
r	ʀ	0.968
w	v	0.914
s	s	0.914
l	l	0.898
s̻	tʲ	0.809
b	b	0.792
x	x	0.769
ˈiː	ˈi	0.76
f	p	0.688
n	n	0.676
ˈy	-	0.661
kː	-	0.656
d	t	0.624
ˈiə̯	ˈiː	0.587
ˈoː	ˈyː	0.58
ˈu	ˈʊ	0.566
ˈei̯	ˈiː	0.537
ˈe	-	0.53
ˈyː	-	0.524
ʃ	s	0.516
ˈɛ	-	0.513
s̻ː	d	0.512
ˈuə̯	-	0.511
ˈyə̯	ˈɛ	0.506
ˈyə̯	ˈɛi̯	0.494
ˈuə̯	ˈœ	0.489
s̻ː	z	0.488
ʃ	ʃ	0.484
ɡ	ɡ	0.481
ˈyː	ˈœː	0.476
ə	-	0.471
ˈe	ˈɒ	0.47
t	t	0.466
ə	ə	0.464
ˈei̯	-	0.463
b̥	v̥	0.462
ˈuː	ˈʏ	0.444
ˈu	-	0.434
ˈoː	ˈuː	0.42
ˈiə̯	-	0.413
ˈi	ˈi	0.385
ˈɑː	-	0.37
ˈɑː	ˈɔu̯	0.354
kː	ç	0.344
ˈo	ˈɔ	0.324
b̥	ə_v̥	0.323
ˈɛ	ˈɛː	0.318
ˈuː	-	0.31
d	d	0.285
ˈɑː	ˈɛi̯	0.276
d̥	-	0.267
ɡ	j	0.251
ˈuː	ˈœː	0.246
ˈiː	ˈa	0.24
t	dʲ	0.238
x	k	0.231
ˈi	ˈa	0.226
t	d̥	0.223
b̥	-	0.215
b	-	0.208
d̥	z̥	0.2
d̥	nʲ	0.2
d̥	d̥	0.2
s̻	t	0.191
ˈi	-	0.189
ˈo	ˈœ	0.178
ɡ	-	0.178
n	nʲ	0.175
ˈɛ	ˈeː	0.17
ˈy	ˈeː	0.17
ˈy	ˈa	0.17
ˈɑ	-	0.169
f	ə_n	0.156
f	v̥	0.156
ˈɑ	ˈɒ	0.147
ˈo	ˈɔː	0.146
ˈi	ˈœ	0.14
d̥	n	0.133
ˈo	-	0.129
ˈo	ˈʊ	0.128
ˈɑ	ˈɒː	0.125
ˈɑ	ˈeː	0.117
ˈɑ	ˈɔː	0.111
n	-	0.109
ˈɑ	ˈʊ	0.108
ˈo	ˈœː	0.095
d	-	0.091
ɡ	w	0.09
w	-	0.086
s	z	0.086
ˈɑ	ˈa	0.075
t	d	0.073
ə	d_ə	0.064
ˈɑ	ˈuː	0.062
ˈi	ˈɔː	0.059
ˈɑ	ˈœ	0.055
l	lʲ	0.051
l	j	0.051
