Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈe_l	ˈe_l	1.0
ˈa_r_#>	ˈe_#>	1.0
ʧ_o	d_l	1.0
ʧ	k_l	1.0
ʤ	d_l	1.0
ɲ	ɲ	1.0
ɡ_o	ˈɛ_k	1.0
ð	ʒ	1.0
z_e	ʃ	1.0
w	-	1.0
v_o_#>	f_#>	1.0
u	-	1.0
r_#>	#>	1.0
p	p	1.0
o_#>	#>	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_r	k_r	1.0
k_#>	k_#>	1.0
j_#>	j_#>	1.0
f	f	1.0
d_a	d_a	1.0
b	b	1.0
a_d	a_d	1.0
a_#>	#>	1.0
<#_ɡ	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
a	a	0.967
t	t	0.947
ˈi	ˈi	0.909
d	d	0.9
l	l	0.889
r	r	0.864
o	o	0.833
n	n	0.833
v	v	0.828
ɡ	ɡ	0.818
e	e	0.781
ˈɛ	ˈɛ	0.76
ˈa	ˈa	0.727
ŋ	n	0.714
ˈɔ	ˈɔ	0.706
s	s	0.686
z	ʒ	0.625
i	i	0.625
j_ˈe	j_ˈɛ	0.6
r_o	r	0.571
k	k	0.552
#>	ˈe_#>	0.5
#>	s_#>	0.5
ˈe	ˈe_j	0.458
k	ʨ	0.448
ˈo	ˈo	0.441
r_o	e_r	0.429
j_ˈe	ˈɛ	0.4
θ	ʨ	0.375
ˈe	ˈe	0.375
i	-	0.375
j	l	0.357
j	j	0.357
s	ʃ	0.314
θ	ʧ	0.312
z	-	0.25
ŋ	ŋ	0.214
ˈa	ˈɛ	0.205
θ	ʦ	0.188
ɡ	-	0.182
ˈɔ	w	0.176
ˈo	ˈo_w	0.176
o	ˈɛ	0.167
ˈɛ	-	0.16
e	-	0.156
ˈo	ˈɔ	0.147
ˈo	w_ˈɛ	0.147
j	ɡ_l	0.143
j	-	0.143
θ	-	0.125
z	z	0.125
ˈɔ	-	0.118
v	-	0.103
d	j	0.1
ˈi	-	0.091
r	j	0.091
ˈo	w	0.088
ˈe	ˈɛ	0.083
ˈe	-	0.083
n	n_ˈe	0.083
n	-	0.083
ˈɛ	j_ˈɛ	0.08
ŋ	-	0.071
v	w	0.069
ˈa	ˈe	0.068
e	ˈe	0.062
l	w	0.056
l	-	0.056
t	d	0.053
