North Frisian	Danish	probability
b	b̥	0.952
b	-	0.049
d	d̥	0.382
d	-	0.241
d	ð̞ˠ	0.217
d	ʦʰ	0.059
d	nˀ	0.045
dʲ	ð̞ˠ	1.0
f	f	0.896
f	w	0.094
h	h	0.893
h	-	0.102
i	-	0.391
i	i	0.391
i	e	0.202
j	-	0.632
j	jˀ	0.075
j	l	0.059
j	j	0.055
j	d̥	0.055
k	kʰ	0.364
k	-	0.269
k	k	0.216
k	j	0.12
l	l	0.831
l	lˀ	0.128
l	-	0.037
l_ə	lˀ	1.0
lʲ	lˀ	0.74
lʲ	l	0.12
m	m	0.866
m	wˀ	0.067
m	mˀ	0.067
n	n	0.664
n	-	0.212
n	nˀ	0.103
n	m	0.026
nʲ	-	0.323
nʲ	n	0.323
nʲ	nˀ	0.219
p	b̥	0.518
p	-	0.181
p	pʰ	0.158
p	p	0.101
r	ɐ	0.379
r	ʁ	0.355
r	-	0.124
r	ɐˀ	0.094
r	ɐ_n	0.03
r_d	ɐˀ	1.0
r_m	m	1.0
r_s	s	1.0
s	s	0.937
s	nˀ	0.052
s	-	0.024
t	t	0.331
t	ʦʰ	0.28
t	-	0.253
t	w	0.039
t	ʨ	0.039
t_v	ʦʰ	1.0
tʲ	ð̞ˠ	0.758
tʲ	ʦʰ	0.223
v	ʋ	0.594
v	-	0.213
v	v	0.082
v	b̥	0.054
v	mˀ	0.046
v_ə	w	1.0
w	ˈy	0.361
w	ˈiˀ	0.361
w	j	0.192
x	ɡ̊	0.425
x	-	0.226
x	j	0.12
x_t	t	1.0
z	ð̞ˠ	0.533
z	s	0.169
z	-	0.154
ŋ	ŋ	0.514
ŋ	ŋˀ	0.386
ŋ	-	0.078
ŋ_k	k	0.463
ə	-	0.478
ə	ə	0.472
ə	w	0.031
ə	ɐ	0.024
ɡ	ɡ̊	1.0
ʃ	s_k	0.696
ʃ	kʰ	0.114
ʃ	s	0.099
ʃ	f	0.073
ˈa	ˈe	0.258
ˈa	ˈɛ	0.243
ˈa	ˈa	0.157
ˈa	-	0.078
ˈa	ˈiˀ	0.078
ˈa_r	ˈa	0.463
ˈai̯	ˈe	0.74
ˈai̯	ˈyˀ	0.12
ˈaː	ˈœ	0.425
ˈaː	ˈeˀ	0.226
ˈaː	ˈiː	0.12
ˈeː	ˈɛ	0.148
ˈeː	ˈɑˀ	0.085
ˈeː	j	0.085
ˈeː	ˈa	0.085
ˈeː	ˈi	0.085
ˈi	ˈiˀ	0.425
ˈi	ˈe	0.158
ˈi	ˈiː	0.111
ˈi	jˀ	0.084
ˈi	ˈɛ	0.065
ˈiː	ˈeˀ	0.223
ˈiː	ˈyˀ	0.161
ˈiː	ˈyː	0.115
ˈiː	ˈɛˀ	0.09
ˈiː	ˈiˀ	0.057
ˈuː	ˈøː	0.165
ˈuː	ˈœˀ	0.165
ˈuː	ˈo	0.137
ˈuː	ˈɛ	0.109
ˈuː	ˈʌ	0.08
ˈyː	ˈuˀ	0.316
ˈyː	ˈœˀ	0.145
ˈyː	ˈu	0.101
ˈyː	ˈøː	0.067
ˈyː	ˈoˀ	0.067
ˈøː	ˈuˀ	0.381
ˈøː	ˈoˀ	0.14
ˈøː	-	0.134
ˈøː	ˈyˀ	0.134
ˈøː	ˈuː	0.055
ˈœ	ˈoˀ	0.328
ˈœ	ˈʌ	0.166
ˈœ	ˈa	0.098
ˈœ	ˈo	0.088
ˈœ	ˈiˀ	0.088
ˈɒ	ˈɛ	0.314
ˈɒ	ˈa	0.233
ˈɒ	ˈeˀ	0.153
ˈɒ	ˈyˀ	0.102
ˈɒ	ˈɑ	0.072
ˈɒː	ˈa	0.258
ˈɒː	ˈaː	0.148
ˈɒː	ˈɛ	0.148
ˈɒː	ˈɑː	0.098
ˈɒː	ˈeˀ	0.098
ˈɔ	ˈo	0.393
ˈɔ	ˈœ	0.22
ˈɔ	ˈɒː	0.141
ˈɔ	ˈɔˀ	0.135
ˈɔi̯	ˈeˀ	0.463
ˈɔu̯	ˈɔː	0.206
ˈɔu̯	ˈa	0.119
ˈɔu̯	ˈo	0.119
ˈɔu̯	ˈoˀ	0.087
ˈɔu̯	ˈiː	0.087
ˈɔː	ˈɛ	0.208
ˈɔː	ˈoː	0.157
ˈɔː	ˈu	0.137
ˈɔː	ˈa	0.119
ˈɔː	ˈɛː	0.084
ˈɛ	ˈœ	0.322
ˈɛ	ˈe	0.186
ˈɛ	ˈɛ	0.172
ˈɛ	ˈœˀ	0.099
ˈɛi̯	ˈœˀ	0.168
ˈɛi̯	ˈɔˀ	0.168
ˈɛi̯	ˈeˀ	0.115
ˈɛi̯	ˈɒˀ	0.111
ˈɛi̯	ˈæˀ	0.107
ˈɛː	ˈɛː	0.17
ˈɛː	ˈeˀ	0.17
ˈɛː	ˈɑ	0.17
ˈɛː	ˈɒˀ	0.113
ˈɛː	ˈoˀ	0.104
ˈʊ	ˈu	0.265
ˈʊ	ˈœ	0.201
ˈʊ	ˈɔ	0.119
ˈʊ	ˈɑ	0.088
ˈʊ	ˈyː	0.079
ˈʏ	ˈœ	0.53
ˈʏ	ˈy	0.461
