Lower Sorbian	Lower Sorbian	probability
ˈɪ	ˈɪ	1.0
ˈɨ	ˈɨ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ʨ	ʨ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʑ	ʑ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʂ	ʂ	1.0
ɲ	ɲ	1.0
ɨ	ɨ	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ɡʲ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ɕ	ɕ	1.0
ɔ	ɔ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	w	1.0
vʲ	vʲ	1.0
v	v	1.0
u	u	1.0
t͡ʂ	t͡ʂ	1.0
t	t	1.0
s	s	1.0
rʲ	rʲ	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
l	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
a	a	1.0
