Upper Sorbian	Proto-Slavic	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ê	1.0
i	ŭ	1.0
kʲ	k	1.0
mʲ	m	1.0
n	n	1.0
pʲ	p	1.0
xʲ	x	1.0
z	z	1.0
ɥ	v	1.0
ʀʲ	r	1.0
ʒ	ʒ	1.0
ˈi	i	1.0
ˈu	ûː	1.0
ˈɪ	ɨ̌	1.0
β	v	1.0
a	a	0.411
ɲ	n	0.201
ʃ	r	0.161
ˈe	ɛː	0.171
t	d_ŭ	0.142
ʦ	ʦ	0.682
ʧ	t	0.342
ˈe	ɛ̂ː	0.412
ˈɔ	e	0.052
l	l	0.983
p	p	0.83
t	t	0.613
x	x	0.623
ɔ	ǒ	0.193
ɔ	o	0.613
ɪ	ŭ	0.33
k	k	0.724
m	m_ĭ	0.214
p	b_ŭ	0.084
s	s	0.774
ɔ	e	0.194
ɛ	e	0.634
ɲ	n_ĭ	0.534
ʀ	r	0.924
ʧ	t_i	0.144
ˈa	ẽ	0.284
ˈe	ɛˀ	0.214
ˈɔ	o	0.244
t	t_ŭ	0.245
w	l_ŭ	0.095
w	l	0.905
ɲ	ɲ_ĭ	0.265
ʤ	<#_ô	0.065
ʤ	d	0.935
ʧ	-	0.05
ˈo	-	0.335
ˈɔ	ĭ̌	0.155
ˈɛ	-	0.185
ˈɛ	e	0.235
k	k_ŭ	0.276
m	m	0.786
p	b	0.086
s	s_ŭ	0.226
ɛ	ɛː	0.366
ʀ	oˀ_r	0.076
ʧ	t_ĭ	0.406
ˈa	-	0.116
ˈe	ĭ̂	0.156
ˈo	ôː	0.506
ˈɔ	-	0.186
x	ɡ_ŭ	0.377
ɦ	ɡ	0.987
ɪ	ŭ_j	0.67
ˈɔ	ô	0.197
ʧ	ʧ	0.058
ˈo	ô	0.158
ˈɛ	ẽ	0.58
a	ǎ	0.589
ʃ	ʒ_ĭ	0.839
ʦ	ĭ_#>	0.109
ʦ	t	0.209
ˈa	aˀ	0.599
ˈɔ	ǒ	0.119
