Sicilian	Romanian	probability
a	ə	0.549
a	-	0.246
a	a	0.09
b	b	1.0
c	-	0.276
c	n	0.209
c	p_l	0.18
c	k	0.164
c	kʲ	0.108
c_ʊ	kʲ	0.78
c_ʊ	e	0.219
d	d	0.687
d	-	0.078
d	z	0.078
d	ʤ	0.078
d	ʧ	0.078
f	f	0.942
f	-	0.062
i	e	0.417
i	i	0.202
i	u	0.113
i	ə	0.075
i	ˈe	0.064
i	-	0.063
i	ŋ	0.063
j	-	0.428
j	ʒ	0.23
j	j	0.225
j	ɨ	0.09
k	k	0.683
k	-	0.209
k	p	0.056
k_ʊ	k	1.0
l	l	0.667
l	r	0.141
l	-	0.063
l_ʊ	r	1.0
m	m	0.872
m	-	0.119
n	n	0.767
n	-	0.137
o	u	0.574
o	o	0.295
p	p	0.903
p	t	0.077
p_ʊ	p	1.0
r	r	0.976
s	s	0.653
s	ʃ	0.207
s	-	0.116
s_ʊ	s	1.0
t	t	0.679
t	p	0.158
t	-	0.069
t	ʦ	0.058
t_ʊ	t	1.0
u	u	1.0
v	v	0.497
v	-	0.297
v	b	0.153
v_ʊ	l	0.513
v_ˈa	ˈa	0.513
w	u	0.312
w	l	0.272
w	-	0.201
w	ɡ	0.133
w	ˈe	0.06
w_a	ə	1.0
z	ʃ	0.338
z	s	0.174
ç	f	0.513
ŋ	n	0.474
ŋ	ŋ	0.157
ŋ	b	0.148
ŋ	m	0.111
ɕ	ʧ	0.748
ɕ	ʤ	0.112
ɕ	k	0.074
ɕ	-	0.063
ɖ	-	0.695
ɖ	l	0.3
ɖ_ʊ	r	0.608
ɖ_ʊ	l	0.16
ɖ_ʊ	e	0.056
ɟ	-	0.56
ɟ	j	0.141
ɟ	k	0.122
ɟ	n	0.072
ɟ	z	0.072
ɟ_a	e	0.513
ɡ	ɡ	0.459
ɡ	-	0.16
ɡ	ʤ	0.121
ɡ	m	0.118
ɡ	b	0.082
ɪ	e	0.738
ɪ	-	0.112
ɲ	m	0.43
ɲ	j	0.294
ɲ	n	0.271
ɲ_ʊ	n	0.683
ɲ_ʊ	e	0.231
ɽ	r	0.641
ɽ	ə	0.202
ɽ	-	0.137
ɾ	r	0.839
ɾ	d	0.096
ɾ_ˈa	ˈa	1.0
ʃ	s	0.432
ʃ	t	0.253
ʃ	ʃ	0.191
ʃ	-	0.062
ʃ	ʧʲ	0.062
ʈ	t	0.878
ʈ	-	0.097
ʊ	-	0.597
ʊ	e	0.124
ʊ	w	0.108
ʊ	u	0.081
ʊ	ə	0.07
ʊ_l	r	1.0
ʐ	r	0.71
ʐ	-	0.216
ʤ	ʤ	0.519
ʤ	-	0.187
ʤ	ʒ	0.133
ʤ	ʦ	0.127
ʦ	-	0.5
ʦ	ʦ	0.225
ʦ	z	0.125
ʦ	ʃ	0.116
ʧ	-	0.5
ʧ	ʧ	0.25
ʧ	t	0.169
ʧ	ʦ	0.053
ˈa	ˈa	0.733
ˈa	ˈɨ	0.198
ˈi	ˈi	0.368
ˈi	ˈe	0.355
ˈi	e̯ˈa	0.082
ˈi	ˈə	0.069
ˈi_ɖ	e̯ˈa	1.0
ˈo	ˈu	1.0
ˈu	ˈu	0.617
ˈu	ˈo	0.193
ˈu	o̯ˈa	0.148
ˈɔ	ˈo	0.444
ˈɔ	ˈu	0.312
ˈɔ	o̯ˈa	0.157
ˈɔ	u	0.06
ˈɔ_s	ˈo	0.513
ˈɔ_v	ˈo	1.0
ˈɛ	ˈe	0.275
ˈɛ	j_ˈe	0.187
ˈɛ	j_ˈa	0.152
ˈɛ	ˈi	0.147
ˈɛ	e	0.079
ˈɛ	ˈa	0.06
ˈɛ_ɖ	ˈe	0.118
ˈɛ_ɖ	r	0.06
