Hessian	Hessian	probability
ˈɛ̃ː	ˈɒː_n	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑː_#>	ˈɒː_ɐ_#>	1.0
ˈæː	-	1.0
ˈæ_ɐ	ɐ	1.0
ˈæ	ˈa	1.0
ˈõː	ˈoː_n	1.0
ˈoĩ̯	ˈeː_ɣ	1.0
ˈĩː	ˈɔʏ̯_n	1.0
ˈẽː	ˈoː_n	1.0
ˈeː	ˈɛɪ̯	1.0
ˈãː	ˈɛɪ̯_n	1.0
ˈau̯	ˈuː	1.0
ˈai̯_#>	ˈɛɪ̯_#>	1.0
ʦ	t	1.0
ʣ̥	t	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	k_#>	1.0
ʀ_ˈaː	r	1.0
ʀ	r	1.0
ɡ̊_ə	k_n	1.0
ɛː	ɒː	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥_ə	t_n	1.0
z̥	t	1.0
v̥_ə	b_m	1.0
v_ə	m	1.0
t_#>	#>	1.0
pʰ	p	1.0
oː	ˈeo̯	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥_æ̆	ɐ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_n	<#_n	1.0
v	v	0.897
ˈɑ	ˈa	0.846
ɣ̊	-	0.8
p	b	0.8
ə	n	0.76
ˈuː	ˈaʊ̯	0.75
ɡ̊	ɣ	0.75
ˈiː	ˈɛɪ̯	0.714
f_#>	p_#>	0.667
ˈi	ˈɪ	0.656
ˈai̯	ˈiː	0.625
ˈɔ	ˈoː	0.6
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈoː	ˈeo̯	0.5
ˈa	ˈa	0.5
x	x	0.5
x	k	0.5
t	t	0.5
t	d	0.5
j	j	0.5
j	-	0.5
#>	n_#>	0.5
#>	d̥_#>	0.5
ʃ	ʃ	0.476
d̥	d	0.476
s	z	0.469
ˈu	ˈʊ	0.462
d̥	d̥	0.452
ˈo	ˈʊ	0.444
k	k	0.444
ˈe	ˈɛ	0.429
ˈɑː	ˈɒː	0.417
ˈɔ	-	0.4
ˈaː	ˈeo̯	0.375
ˈai̯	ˈɪ	0.375
ˈɛ	ˈɛː	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	ˈeː	0.333
ˈoi̯	ˈʏ	0.333
ˈoi̯	ˈyː	0.333
ˈoi̯	-	0.333
ˈo	ˈɔ	0.333
ʃ	ç	0.333
k	-	0.333
f_#>	p_ə_#>	0.333
ˈoː	-	0.3
ˈe	ˈœ	0.286
ˈe	-	0.286
ˈa	ˈɒː	0.286
ˈɑː	ˈaː	0.25
ˈuː	-	0.25
ˈaː	ˈɛɪ̯	0.25
ˈaː	ˈɔ	0.25
ɡ̊	j	0.25
s	t	0.25
ə	ə	0.24
ˈu	ˈɔ	0.231
ˈo	-	0.222
k	ɣ	0.222
ˈoː	ˈɒː	0.2
ɣ̊	ɣ̊	0.2
p	p	0.2
ʃ	s	0.19
ˈɑː	ˈɛː	0.167
ˈɑː	ˈa	0.167
ˈi	ˈʏ	0.156
s	s	0.156
ˈɑ	ˈa_ɐ	0.154
ˈu	ˈʏ	0.154
ˈu	ˈaʊ̯	0.154
ˈiː	ˈɔʏ̯	0.143
ˈiː	-	0.143
ˈa	-	0.143
ˈaː	ˈaɪ̯	0.125
s	z̥	0.125
v	w	0.103
ˈi	ˈɛ	0.094
ˈi	-	0.094
ˈa	ˈɛə̯	0.071
d̥	t	0.071
