Bavarian	Bokmål Norwegian	probability
eɐ̯	n	1.0
p	d	1.0
ɪ	i	1.0
ˈou̯	ˈøː	1.0
ˈy	ˈoː	1.0
ˈɛː	ˈøː	1.0
a	-	0.101
d̥	n	0.151
f	f	0.621
h	j	0.131
k	k	0.31
l	l	0.901
t	-	0.411
ç	-	0.351
ŋ	-	0.241
ɡ̊	j	0.191
ˈai̯	ˈiː	0.441
ˈau̯	ˈʉː	0.711
ˈaː	ˈøː	0.091
ˈi	ˈʊ	0.061
ˈo	ˈʉ	0.081
ˈuɐ̯	ˈuː	0.631
ə	ʋ	0.2
ɡ̊	ɡː	0.192
ˈaː	ˈœ	0.152
ˈiː	ˈyː	0.572
ˈoɐ̯	ˈøː	0.072
ˈoː	ˈɛ	0.092
ˈu	ˈɔ	0.202
ˈuɐ̯	ˈøː	0.22
ˈɛ	ˈeː	0.212
i	ŋ	0.333
i	lː	0.333
i	i	0.333
k	-	0.13
k	ɡː	0.153
n	ə	0.383
x	tː	0.253
ɐ	ˈæː	0.053
ɡ̊	ɡ	0.543
ʃ	s	0.843
ʋ	ˈʉː	0.063
ʋ	-	0.183
ʋ	ʋ	0.713
ˈe	ˈyː	0.063
ˈe	ˈæː	0.063
ˈi	ˈiː	0.133
ˈiɐ̯	ˈœ	0.113
ˈo	ˈiː	0.063
ˈoɐ̯	ˈɛ	0.143
ˈoː	ˈoː	0.253
ˈoː	ˈɑː	0.543
ˈu	ˈʉː	0.143
ˈu	ˈʏ	0.203
ˈu	ˈʉ	0.333
ˈɒː	ˈɑː	0.133
ˈɔ	ˈʉː	0.103
ˈɔ	ˈɔ	0.173
ˈɛ	ˈɛ	0.33
ˈʏ	ˈɛ	0.263
ˈʏ	ˈʏ	0.263
b̥	tʰ	0.064
j	-	0.104
j	l	0.584
kʰ	ç	0.204
m	m	0.694
r	-	0.064
s	s	0.574
ɐ	ɳ	0.054
ɐ	-	0.134
ˈai̯	ˈɛ	0.174
ˈe	j	0.164
ˈe	ˈøː	0.194
ˈeɐ̯	ˈuː	0.314
ˈeː	ˈæː	0.174
ˈeː	ˈiː	0.294
ˈeː	ˈoː	0.304
ˈiː	ˈɪ	0.24
ˈo	ˈɛ	0.074
ˈo	ˈɑː	0.084
ˈo	ˈœ	0.084
ˈoɐ̯	ˈuː	0.284
ˈɒ	ˈɛ	0.24
ˈɒ	ˈɑ	0.374
ˈʏ	ˈœ	0.474
d̥	tʰ	0.265
f	-	0.095
p͡f	p	0.5
p͡f	pʰ	0.5
s	ʂ	0.055
t	t	0.385
ə	-	0.285
ə	ə	0.515
ˈau̯	ə	0.165
ˈe	ˈɛ	0.25
ˈoː	ˈɔ	0.055
ˈu	ˈɛ	0.075
ˈɔ	ˈoː	0.455
ˈɛ	ˈʊ	0.115
a	ɾ	0.126
b̥	ʋ	0.286
d̥	-	0.296
f	p	0.116
j	lː	0.276
kʰ	kʰ	0.796
ˈa	-	0.166
ˈai̯	ˈæɪ̯	0.056
ˈai̯	ˈeː	0.106
ˈeɐ̯	ˈiː	0.506
ˈeː	ˈæɪ̯	0.156
ˈiɐ̯	ˈyː	0.746
ˈo	ˈɑ	0.476
ˈɒ	ˈɔ	0.256
ˈɛ	ˈɔ	0.106
ˈɛ	ˈæː	0.106
b̥	b	0.637
f	pː	0.07
k	kː	0.407
x	s	0.17
ŋ	ɪ	0.077
ŋ	n	0.077
ŋ	kː	0.127
ɐ	ɾ	0.737
ʃ	ʂ	0.157
ʦ	-	0.067
ʦ	tʰ	0.647
ˈa	ˈɑː	0.187
ˈau̯	ˈʉ	0.077
ˈaː	ˈɔ	0.117
ˈaː	ˈeː	0.247
ˈeː	ˈeː	0.057
ˈi	ˈɪ	0.597
ˈoː	ˈʉː	0.057
ˈɒː	ˈɑ	0.277
a	ə	0.688
d̥	d	0.288
f	ʋ	0.098
m	-	0.068
n	nː	0.198
r	ɾ	0.868
s	t	0.258
t	d	0.118
x	j	0.058
ʦ	t	0.078
ʦ	tː	0.108
ˈa	ˈɑ	0.618
ˈaː	ˈuː	0.058
ˈaː	ˈʊ	0.148
ˈaː	ʋ	0.148
ˈe	ˈʉː	0.118
ˈe	ˈoː	0.148
ˈeɐ̯	ˈœ	0.18
ˈi	ˈʏ	0.058
ˈi	ˈœ	0.08
ˈo	ˈɔ	0.108
ˈoɐ̯	ˈɑ	0.118
h	h	0.869
m	mː	0.199
n	n	0.319
x	k	0.519
ç	k	0.649
ŋ	ɡ	0.109
ŋ	ŋː	0.369
ˈai̯	ˈyː	0.129
ˈiɐ̯	ˈøː	0.109
ˈiː	ˈʉː	0.189
ˈoɐ̯	ˈeː	0.079
ˈoɐ̯	ˈæɪ̯	0.229
ˈuɐ̯	ˈœ	0.059
ˈuɐ̯	ˈʉː	0.09
ˈɒ	ˈɑː	0.129
ˈɒː	ˈoː	0.589
ˈɔ	ˈɑ	0.269
