Ripuarian	Old High German	probability
ˈʊ	ˈu	1.0
ˈɔ	ˈo	1.0
ˈøʏ̯	ˈiu̯_w	1.0
ˈy	ˈu	1.0
ˈu	-	1.0
ˈi	ˈi	1.0
ˈaː	ˈɑ	1.0
ˈa	ˈɑ	1.0
ʋ_ˈɔː	v	1.0
ʋ	w	1.0
ʀ	r	1.0
ɣ̊	ɡ	1.0
ɡ̊	t	1.0
ə_f	i_f	1.0
ŋ_ɡ̊	n_d	1.0
z	s	1.0
v	b	1.0
l	l	1.0
h	h	1.0
f_ʀ	f_r	1.0
f	f	1.0
e	ɛ_h	1.0
b	b	1.0
m	m	0.959
ʦ	ʦ	0.871
t	t	0.849
ˈɔː	ˈɑː	0.845
n	n	0.83
ˈɛː	ˈɛ	0.781
ˈɪ	ˈi	0.77
ˈe	ˈi	0.768
ɫ	l	0.758
j	ɡ	0.729
d	d	0.729
ˈœ	ˈu	0.722
x	x	0.702
ˈøː	ˈuo̯	0.67
ˈeɪ̯	ˈei̯	0.63
ˈɛ	ˈɛ	0.586
ˈuː	ˈuː	0.586
k	kʰ	0.582
ˈo	ˈu	0.554
p	p͡f	0.541
ʃ	s_k	0.531
ɕ	x	0.525
ˈeː	ˈio̯	0.517
d̥	t	0.508
ˈiː	ˈiː	0.504
ˈʏ	ˈu	0.5
ˈʏ	ˈiu̯	0.5
ˈɔʊ̯	ˈou̯	0.5
z̥	s_i	0.5
z̥	s	0.5
ˈoː	ˈuo̯	0.478
s	s̻	0.471
ʃ	s	0.469
ə	ɑ_n	0.439
ɐ	ɑ_r	0.434
ˈuː	ˈoː	0.414
ŋ	n	0.403
ˈyː	ˈoː	0.388
ˈyː	ˈiu̯	0.388
d̥	d	0.379
ˈɔʊ̯	ˈuː	0.375
ˈeɪ̯	ˈiː	0.37
s	s̻ː	0.345
ŋ	ŋ	0.338
ˈøː	-	0.33
ɐ	r	0.328
x	xː	0.298
ˈɛ	ˈɑ	0.286
ˈo	ˈo	0.285
p	f	0.285
ɕ	ɡ	0.282
ˈœ	-	0.278
j	j	0.271
ˈeː	ˈei̯	0.243
d	t	0.232
ˈɪ	ˈiː	0.23
ˈyː	ˈuː	0.224
ə	e_n	0.22
ˈɛː	-	0.219
k	k	0.212
ˈoː	ˈo_r	0.208
ˈiː	ˈi	0.208
ɕ	xː	0.194
ŋ	ŋ_ɡ	0.192
s	s	0.184
ˈoː	-	0.176
p	p	0.174
ˈɔː	-	0.155
t	t_ɛ	0.151
ɫ	l_ɑ	0.148
ɐ	r_ɑ	0.145
ˈiː	ˈɑː	0.144
ˈiː	ˈeː	0.144
ˈoː	ˈou̯	0.137
ˈɛ	-	0.129
ʦ	ʦː	0.129
ˈɔʊ̯	ou̯	0.125
n	nː	0.117
ˈe	ˈe	0.116
ˈe	-	0.116
d̥	r_t	0.113
ˈo	-	0.109
ˈeː	ˈɛ_h	0.109
ˈeː	ˈe	0.109
k	kː	0.105
k	-	0.101
ɫ	lː	0.094
ɐ	ɛ_r	0.094
ə	u	0.079
ə	ɑ	0.074
ə	n	0.069
ŋ	n_t	0.067
n	r_n	0.053
ˈo	ˈuː	0.052
ə	o	0.051
