Mainland North Frisian	German	probability
ˈɛ_#>	ˈiː_ɐ_#>	1.0
ˈɔu̯	ˈoː	1.0
ˈɔ	ˈɔ	1.0
ˈɒː_d	ˈa_s	1.0
ˈœː	ˈaʊ̯	1.0
ˈœi̯	ˈuː	1.0
ˈyː	ˈoː	1.0
ˈaː	ˈɔ	1.0
ˈai̯	ˈɪ	1.0
ʃ	ʃ	1.0
ʀ_n	ɐ_n	1.0
ɡ	ɡ	1.0
ə_ʀ	ɐ	1.0
ə_v̥	b̥	1.0
ç	k_n	1.0
z̥	d̥	1.0
z_ə	s_n	1.0
z	-	1.0
v	v	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
m	m	1.0
l	l	1.0
k_ə	ç	1.0
j_ˈa	ˈɛ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
dʲ	t	1.0
d_ə	ɡ_n	1.0
b	b	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ʀ	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	ç_#>	1.0
ŋ	ŋ	0.833
n	n	0.825
tʲ	s	0.778
ˈɒ	ˈa	0.75
ˈɒː	ˈa	0.714
d̥	t	0.7
d	tʰ	0.682
ˈɛː	ˈɛ	0.667
ˈi	ˈaɪ̯	0.632
nʲ	n	0.625
ˈʏ	ˈaʊ̯	0.6
lʲ	l	0.6
s	z	0.571
ˈɛi̯	ˈaː	0.556
ʀ	ɐ	0.512
ˈɛ	ˈyː	0.5
ˈɛ	ˈuː	0.5
x	x	0.5
v̥	f	0.5
v̥	b̥	0.5
j_ə	ɡ_n	0.5
j_ə	ɡ	0.5
j	ɡ	0.5
j	-	0.5
ʀ	ʁ	0.488
ˈuː	ˈaʊ̯	0.462
ə	n	0.436
s	ʃ	0.429
ˈœ	ˈuː	0.417
ˈiː	ˈaɪ̯	0.417
lʲ	l_t	0.4
ˈʊ	ˈʊ	0.389
ˈiː	ˈiː	0.375
nʲ	d̥	0.375
k	kʰ	0.37
ˈi	ˈɪ	0.368
t	ʦ	0.348
ˈɛː	ˈaː	0.333
ˈɔː	ˈɔ	0.333
ˈɔː	ˈaː	0.333
ˈɔː	ˈa	0.333
ˈa	ˈɪ	0.333
x	ç	0.333
v_ə	f	0.333
v_ə	b_n	0.333
v_ə	b	0.333
t	t	0.326
ˈeː	ˈɛ	0.3
ˈeː	ˈaː	0.3
d̥	d̥	0.3
ˈɒː	ˈaː	0.286
ə	ə_n	0.282
ˈɒ	ˈɛ	0.25
ˈœ	ˈa_n	0.25
ˈuː	ˈa	0.231
ˈʊ	ˈa	0.222
ˈɛi̯	ˈɛː	0.222
ˈɛi̯	ˈyː	0.222
tʲ	d	0.222
k	ç	0.222
k	k	0.222
ˈiː	ˈeː	0.208
ˈʏ	ˈʊ_n	0.2
ˈʏ	ˈuː	0.2
ˈeː	ˈʏ	0.2
ˈeː	ˈa	0.2
ˈa	ˈɛ	0.2
ˈa	ˈa	0.2
t	d	0.196
k	x	0.185
d	d	0.182
ˈʊ	ˈɪ	0.167
ˈœ	ˈɔ	0.167
ˈœ	ˈa	0.167
ŋ	ç	0.167
x	ə	0.167
ˈuː	ˈoː	0.154
ˈuː	v	0.154
ə	ə	0.154
d	t	0.136
ˈa	ˈʏ	0.133
ˈa	ˈaɪ̯	0.133
t	s	0.13
ˈʊ	ˈɔ	0.111
ˈʊ	v_ˈɔ	0.111
n	n_d	0.1
ə	-	0.077
n	-	0.075
ə	d̥	0.051
