Eastphalian	Danish	probability
ˈɛː_ɐ	ɐ	1.0
ˈɛɪ̯_#>	#>	1.0
ˈɛ	-	1.0
ˈøː	-	1.0
ˈyː	ˈyˀ	1.0
ˈeː	-	1.0
ˈaː	ˈa	1.0
ʃ	s_ɡ̊	1.0
ɪ	-	1.0
ɣ	-	1.0
ɡ	ɡ̊	1.0
ɐ_#>	#>	1.0
ŋ_k	ɡ̊	1.0
ç	-	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x	-	1.0
v_ˈoː	ˈo	1.0
t_ə_#>	#>	1.0
t_n	ð̞ˠ_ə	1.0
t_#>	d̥_#>	1.0
s	s	1.0
p_#>	b̥_#>	1.0
p	b̥	1.0
nː	n_ə	1.0
n_d̥	nˀ	1.0
n_#>	#>	1.0
m_#>	#>	1.0
m	m	1.0
l_f	lˀ	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
k_#>	j_#>	1.0
d̥_#>	#>	1.0
d̥	ð̞ˠ	1.0
b	b̥	1.0
<#_ˈɛɪ̯	<#_ˈeˀ	1.0
<#_ˈa	<#	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#	1.0
r	ʁ	0.917
h	h	0.882
f	f	0.818
ˈoː	-	0.75
l	l	0.742
ˈuː	ˈuˀ	0.667
ˈaʊ̯	ˈoˀ	0.667
v	ʋ	0.619
ˈɛː	-	0.6
ˈɔʏ̯	ˈøː	0.6
ˈœ	-	0.6
w	ʋ	0.6
ŋ	ŋˀ	0.556
ɐ	ɐ	0.548
ˈʏ	-	0.545
ˈiː	ˈiˀ	0.538
k	kʰ	0.524
ə	ə	0.514
ˈɪ	ˈe	0.5
j	ɡ̊	0.5
j	-	0.5
#>	ə_#>	0.5
d	d̥	0.481
t	d̥	0.478
ˈeo̯	ˈœˀ	0.444
n	n	0.44
t	ð̞ˠ	0.435
d	ʦʰ	0.407
ˈɛː	ˈɛː	0.4
ˈɔʏ̯	ð̞ˠ	0.4
ˈœ	ˈʌ	0.4
ə	-	0.4
w	-	0.4
ˈʊ	ˈɔ	0.333
ˈʊ	ˈu	0.333
ˈʊ	-	0.333
ˈuː	-	0.333
ˈeo̯	-	0.333
ˈaʊ̯	-	0.333
ˈɪ	-	0.308
ˈɒː	ˈɔˀ	0.308
ˈɛɪ̯	ˈeˀ	0.3
ˈɛɪ̯	-	0.3
n	ə	0.3
#>	d̥_#>	0.3
ˈa	ˈɛ	0.292
ˈa	ˈa	0.292
ˈʏ	ˈœ	0.273
l	lˀ	0.258
ˈɛɪ̯	ˈyː	0.25
ˈoː	ˈɒ	0.25
ˈɒː	-	0.231
ˈiː	ˈiː	0.231
ˈiː	-	0.231
ˈeo̯	ˈʌˀ	0.222
ŋ	ŋ	0.222
ŋ	w_ə	0.222
ˈa	ˈɑ	0.208
ˈa	-	0.208
ˈɔ	ˈʌ	0.2
ˈɔ	ˈɛ	0.2
ˈɔ	ˈœ	0.2
ˈɔ	ˈu	0.2
ˈɔ	-	0.2
#>	j_#>	0.2
ɐ	ʌ	0.194
v	w	0.19
v	-	0.19
k	ɡ̊	0.19
ˈʏ	ˈɑ	0.182
ˈɒː	ˈɔː	0.154
ˈɒː	ˈɒˀ	0.154
ˈɒː	ˈa	0.154
ˈɛɪ̯	ˈyˀ	0.15
ɐ	ɐˀ	0.129
ɐ	-	0.129
n	nˀ	0.12
h	j	0.118
ˈɪ	ˈiˀ	0.115
d	-	0.111
k	w	0.095
k	j	0.095
k	-	0.095
f	ʋ	0.091
f	-	0.091
t	-	0.087
ə	ɐ	0.086
r	ʁ_ˈœ	0.083
ˈɪ	ˈɛ	0.077
n	n_ə	0.06
