Swedish	Saterland Frisian	probability
a	ə	0.857
a	-	0.107
b	b	1.0
d	d	0.855
d	t	0.095
d	-	0.046
e	ə	0.508
f	f	1.0
h	h	0.973
h	k	0.044
j	j	0.2
j	ˈɔː	0.2
j	-	0.161
j	ˈi	0.161
j	ˈɛɪ̯	0.079
jː	j	0.508
k	k	0.944
k	x	0.06
kʰ	k	1.0
kː	ŋ_k	0.629
kː	k	0.361
l	l	0.968
l	-	0.034
lː	l	0.822
lː	ɫ	0.119
m	m	0.923
m	w	0.076
mː	m	1.0
n	n	0.871
n	-	0.085
n	n_t	0.041
nː	n	0.91
nː	r	0.081
p	p	1.0
pʰ	p	0.508
pː	p	0.508
r	r	0.916
r	-	0.049
rː	t	0.5
rː	x	0.5
s	s	0.929
s	z	0.066
sː	z	0.335
sː	s	0.17
t	t	1.0
tʰ	t	0.704
tʰ	d	0.288
tː	x_t	0.519
tː	t	0.459
v	v	0.636
v	f	0.104
v	-	0.077
v	x	0.067
v	w	0.059
ŋ	n	0.245
ŋ	x	0.245
ŋ	ɪ	0.155
ŋ	-	0.109
ŋ	ŋ	0.098
ŋː	ŋ	1.0
ɕ	s	0.66
ɕ	d	0.112
ɕ	t	0.112
ɖ	d	1.0
ɛ	ə	0.727
ɛ	-	0.212
ɛ	ˈaːi̯	0.06
ɡ	ɣ	0.548
ɡ	-	0.251
ɡ	x	0.095
ɡ	k	0.091
ɡː	x	0.425
ɡː	-	0.248
ɡː	ɣ	0.145
ɧ	s	0.509
ɧ	s_k	0.322
ɪ	ə	0.401
ɪ	-	0.269
ɪ	ɪ	0.119
ɳ	d_ə	0.561
ɳ	r	0.425
ɳː	d	0.258
ɵ	-	0.53
ɵ	ə	0.461
ʈː	t	1.0
ʊ	ˈoː	0.335
ʊ	ˈuː	0.335
ˈa	ˈoːu̯	0.202
ˈa	ˈoː	0.186
ˈa	ˈɔ	0.166
ˈa	ˈɔː	0.157
ˈa	ˈɛː	0.113
ˈeː	ˈeː	0.395
ˈeː	ˈɪ	0.103
ˈeː	j	0.098
ˈeː	ˈiː	0.098
ˈeː	ˈiːu̯	0.098
ˈiː	ˈi	0.636
ˈiː	ˈiː	0.185
ˈiː	j	0.161
ˈoː	ˈoː	0.204
ˈoː	ˈɛɪ̯	0.192
ˈoː	ˈuː	0.177
ˈoː	ˈiː	0.131
ˈoː	ˈoːu̯	0.114
ˈuː	ˈoːu̯	0.618
ˈuː	ˈuː	0.169
ˈuː	-	0.111
ˈuː	ˈu	0.088
ˈyː	j_ˈuː	0.447
ˈyː	j_ˈoː	0.214
ˈyː	ˈɛɪ̯	0.105
ˈyː	j	0.099
ˈæ	ˈaː	0.292
ˈæ	ˈɛ	0.292
ˈæː	ˈiː	0.361
ˈæː	ˈɛɪ̯	0.361
ˈæː	ˈi	0.211
ˈøː	ˈoː	0.62
ˈøː	ˈeː	0.136
ˈøː	ˈɛɪ̯	0.119
ˈøː	ˈuː	0.078
ˈøː	ˈa	0.047
ˈøː_ɳ	r	1.0
ˈœ	ˈoːu̯	0.155
ˈœ	ˈeː	0.141
ˈœ	ˈɛɪ̯	0.141
ˈœ	ˈuː	0.108
ˈœ	-	0.105
ˈœː	ˈeː	0.758
ˈœː	ˈoː	0.099
ˈɑː	ˈɔː	0.306
ˈɑː	ˈɛ	0.251
ˈɑː	-	0.172
ˈɑː	ˈɛɪ̯	0.172
ˈɑː	ˈɛː	0.078
ˈɑː_ɡ	ˈaːi̯	0.508
ˈɔ	ˈoːu̯	0.26
ˈɔ	ˈuː	0.226
ˈɔ	ˈɔː	0.143
ˈɔ	ˈɔ	0.109
ˈɔ	ˈeː	0.105
ˈɛ	ˈa	0.15
ˈɛ	ˈaː	0.113
ˈɛ	ˈiː	0.113
ˈɛ	ˈɪ	0.113
ˈɛ	ˈɔː	0.099
ˈɛː	ˈeː	0.216
ˈɛː	ˈi	0.18
ˈɛː	ˈaːi̯	0.156
ˈɛː	-	0.136
ˈɛː	ˈoː	0.091
ˈɪ	ˈɪ	0.806
ˈɪ	ˈiː	0.186
ˈɵ	ˈuː	0.159
ˈɵ	j_ˈʊ	0.139
ˈɵ	v_ˈʊ	0.122
ˈɵ	ˈɛː	0.105
ˈɵ	ˈʊ	0.105
ˈʉː	ˈuː	0.358
ˈʉː	ˈoː	0.188
ˈʉː	ˈɛɪ̯	0.131
ˈʉː	ˈɔ	0.079
ˈʉː	a	0.07
ˈʊ	ˈʊ	0.78
ˈʊ	ˈoːu̯	0.219
ˈʏ	ˈɛː	0.519
ˈʏ	ˈu	0.203
ˈʏ	ˈʊ	0.203
ˈʏ	ˈyː	0.064
