Icelandic	Dutch	probability
a	ə_n	0.6
a	-	0.329
a	ə	0.07
b̥	b	0.94
b̥	-	0.06
c	χ	0.517
c	k	0.45
cʰ	k	1.0
d̥	d	0.724
d̥	t	0.269
d̥_ʏ	t	1.0
f	v	0.905
f	f	0.09
f_j	v	0.519
h	ɦ	0.957
h	k	0.055
i	ə	1.0
j	-	0.707
j	ˈeː	0.29
j_ˈoːu̯	ˈi	1.0
k	k	0.901
k	χ	0.089
k_s	s	1.0
kʰ	ʋ	0.516
kʰ	k	0.476
l	ɫ	0.856
l	-	0.078
l	l	0.059
l_j	ɫ	0.519
l̥	ɫ	0.518
l̥	-	0.218
l̥	l	0.197
l̥_ʏ	ɫ	0.519
m	m	0.934
m	f	0.069
m_ʏ	m	1.0
n	n	0.886
n	-	0.113
nː	n	0.485
nː	n_d	0.24
nː	n_t	0.125
nː	ɫ	0.113
n̥	n	0.639
n̥	-	0.312
n̥	ɾ	0.051
p	p	0.591
p	v	0.232
p	m	0.15
p_ʏ	p	0.519
r	ɾ	0.953
r	-	0.053
r_a	ɾ	0.519
r_j	ɾ	1.0
rː̥	ɾ	0.66
rː̥	χ	0.178
r̥	-	0.694
r̥	ɾ	0.267
s	s	0.503
s	z	0.471
s_c	s	1.0
s_j	z	0.519
s_k	s	1.0
sː	s	1.0
t	t	0.703
t	-	0.295
t_j	t	1.0
t_l̥	ɫ	1.0
t_n̥	n	1.0
t_ʏ	t	1.0
tʰ	t	1.0
u	-	0.298
u	ə	0.298
v	ʋ	0.484
v	v	0.173
v	-	0.167
v	p	0.073
v	s	0.056
v_ʏ	f	1.0
v_ˈaː	ˈɑ	1.0
x	-	0.574
x	k	0.298
ç	ɦ	0.699
ç	ʋ	0.221
ð	t	0.466
ð	d	0.291
ð	-	0.23
ð_ʏ	t	1.0
ŋ	ŋ	0.883
ŋ	n	0.115
ɑu̯	ɪ	0.519
ɛ	-	0.394
ɛ	ə	0.204
ɛː	ə	0.519
ɟ̊	χ	0.702
ɟ̊	-	0.296
ɡ̊	-	0.475
ɡ̊	χ	0.364
ɡ̊	χ_ə	0.104
ɡ̊	ə_χ	0.047
ɡ̊_ʏ	ə	0.519
ɣ	χ	0.723
ɣ	k	0.216
ɣ_a	χ	1.0
ɪ	-	0.496
ɪ	ə	0.384
ɪ	ɾ	0.08
ɲ	ŋ	1.0
ʏ	-	0.895
ʏ	ə	0.104
ʰk	k	0.561
ʰk	ŋ_k	0.291
ʰp	p_ə	1.0
ʰt	χ_t	0.809
ʰt	t	0.148
ˈa	ˈɑ	0.587
ˈa	ˈɛ	0.157
ˈa	ˈɑu̯	0.116
ˈa	ˈaː	0.068
ˈa	ˈoː	0.067
ˈai̯	ˈu	0.392
ˈai̯	ˈi	0.234
ˈai̯	ˈɛ	0.234
ˈaː	ˈɑ	0.514
ˈaː	ˈaː	0.272
ˈaː	ˈeː	0.107
ˈaː	ˈɛ	0.084
ˈaːi̯	ˈu	0.441
ˈaːi̯	ˈɑ	0.334
ˈaːi̯	ˈɛ	0.174
ˈaːu̯	ˈaː	0.343
ˈaːu̯	ˈoː	0.343
ˈeːi̯	ˈɛi̯	0.574
ˈeːi̯	ˈoː	0.298
ˈi	ˈɪ	0.708
ˈi	ˈoː	0.128
ˈi	ˈœy̯	0.128
ˈiː	ˈɛi̯	0.573
ˈiː	ˈi	0.249
ˈiː	ˈɪ	0.072
ˈiː	ˈyː	0.062
ˈiː	ˈu	0.055
ˈou̯	ˈɔ	0.461
ˈou̯	ˈaː	0.164
ˈou̯	ˈoː	0.164
ˈoːu̯	ˈu	0.649
ˈoːu̯	-	0.162
ˈoːu̯	ˈi	0.107
ˈoːu̯	w	0.077
ˈu	ˈɔ	0.416
ˈu	ˈœy̯	0.215
ˈu	ʋ	0.154
ˈu	j	0.139
ˈuː	ˈœy̯	0.82
ˈuː	ˈi	0.148
ˈœ	ˈɑ	0.367
ˈœ	ˈaː	0.273
ˈœ	-	0.242
ˈœy̯	ˈoː	0.519
ˈœː	ˈeː	0.477
ˈœː	ˈoː	0.315
ˈœː	ˈɔ	0.132
ˈœːy̯	ˈoː	1.0
ˈɑu̯	ˈɑ	1.0
ˈɑːu̯	ˈaː	0.591
