Icelandic	Dutch	probability
a	ə	0.996
aːu̯	i	1.0
b̥	b	0.981
c	k	0.518
c	χ	0.333
c	-	0.148
cʰ	k	1.0
d̥	d	0.692
d̥	t	0.308
f	v	0.919
f	f	0.081
h	ɦ	0.937
h	k	0.063
i	ə	1.0
j	-	0.599
j	ˈi	0.261
j	ˈeː	0.121
k	k	0.789
k	-	0.162
kʰ	k	0.722
kʰ	ʋ	0.214
kʰ	v	0.064
l	ɫ	0.838
l	ə_ɫ	0.1
l	-	0.062
l̥	ɫ	0.809
l̥	-	0.191
m	m	0.936
n	n	0.882
n	-	0.118
nː	n	0.927
nː	ɫ	0.073
n̥	ə_n	0.701
n̥	k_n	0.151
n̥	-	0.135
p	p	0.698
p	m	0.227
p	v	0.075
r	ɾ	0.894
r	-	0.062
rː̥	ɾ	1.0
r̥	-	0.73
r̥	ɾ	0.27
s	s	0.528
s	z	0.468
sː	s	1.0
t	t	0.828
t	-	0.172
tʰ	t	0.937
tʰ	b	0.063
u	-	0.5
u	ə	0.5
v	ʋ	0.52
v	v	0.161
v	f	0.148
v	-	0.088
x	k	0.489
x	-	0.255
x	χ	0.255
ç	ɦ	0.983
ð	t	0.558
ð	d	0.226
ð	-	0.216
ŋ	ŋ	0.697
ŋ	n	0.303
ɑu̯	ɪ	1.0
ɛ	ə	0.657
ɛ	-	0.343
ɛː	ə	1.0
ɟ̊	χ	0.804
ɟ̊	-	0.196
ɟ̊ː	χ	1.0
ɡ̊	χ	0.54
ɡ̊	-	0.402
ɡ̊	ə_χ	0.058
ɡ̊ː	-	0.53
ɡ̊ː	χ	0.47
ɣ	χ	0.787
ɣ	k	0.213
ɪ	-	0.657
ɪ	ə	0.343
ɲ	ŋ	1.0
ʏ	-	0.914
ʏ	ə	0.086
ʰc	k	1.0
ʰk	ŋ_k	0.569
ʰk	k	0.431
ʰp	p	1.0
ʰt	χ_t	0.571
ʰt	t	0.429
ˈa	ˈɑ	0.595
ˈa	ˈɛ	0.238
ˈa	ˈaː	0.113
ˈai̯	ˈaː	0.342
ˈai̯	ˈi	0.224
ˈai̯	ˈɛ	0.223
ˈai̯	ˈu	0.211
ˈau̯	ˈaː	0.52
ˈau̯	ˈɛ	0.405
ˈau̯	ˈɑ	0.076
ˈaː	ˈɑ	0.425
ˈaː	ˈaː	0.351
ˈaː	ˈeː	0.13
ˈaː	ˈɛ	0.094
ˈaːi̯	ˈu	0.546
ˈaːi̯	ˈɑ	0.258
ˈaːi̯	ˈɛ	0.195
ˈaːu̯	ˈaː	0.457
ˈaːu̯	ˈeː	0.392
ˈaːu̯	ˈoː	0.151
ˈeːi̯	ˈoː	0.714
ˈeːi̯	ˈɛi̯	0.286
ˈi	ˈɪ	0.816
ˈi	ˈoː	0.154
ˈiː	ˈɛi̯	0.32
ˈiː	ˈi	0.281
ˈiː	-	0.174
ˈiː	ˈyː	0.097
ˈiː	ˈɪ	0.078
ˈou̯	ˈoː	0.438
ˈou̯	ˈɔ	0.351
ˈou̯	ˈaː	0.21
ˈoːu̯	-	0.517
ˈoːu̯	ˈu	0.326
ˈoːu̯	w	0.103
ˈoːu̯	ˈi	0.053
ˈu	ˈɔ	0.798
ˈu	ˈœy̯	0.116
ˈu	ˈɪ	0.086
ˈuː	-	0.471
ˈuː	ˈœy̯	0.407
ˈuː	ˈyː	0.079
ˈœ	ˈɑ	0.42
ˈœ	ˈaː	0.353
ˈœ	-	0.165
ˈœ	ˈɪ	0.063
ˈœː	ˈeː	0.907
ˈœː	ˈɔ	0.063
ˈœːy̯	ˈoː	1.0
ˈɑu̯	ˈɑ	1.0
ˈɑːu̯	ˈaː	0.695
ˈɑːu̯	ˈoː	0.169
ˈɑːu̯	n	0.072
ˈɑːu̯	ˈi	0.064
ˈɔ	ˈoː	0.566
ˈɔ	ˈɔ	0.342
ˈɔ	ˈɑu̯	0.066
ˈɔu̯	ˈɔ	0.29
ˈɔu̯	ˈɛ	0.281
ˈɔu̯	ˈu	0.268
ˈɔu̯	ˈɑ	0.16
ˈɔː	ˈoː	0.96
ˈɛ	ˈɛ	0.569
ˈɛ	ˈɑ	0.165
ˈɛ	ˈɪ	0.086
ˈɛ	-	0.062
ˈɛ	ˈɛi̯	0.06
ˈɛi̯	ˈeː	1.0
ˈɛː	ˈɛi̯	0.235
ˈɛː	ˈɛ	0.162
ˈɛː	ˈɪ	0.135
ˈɛː	ˈeː	0.118
ˈɛː	ˈaː	0.114
ˈɛː	ˈi	0.107
ˈɛː	-	0.058
ˈɛːi̯	ˈeː	0.513
ˈɛːi̯	ˈoː	0.39
ˈɛːi̯	ˈɛ	0.066
ˈɪ	ˈɪ	0.505
ˈɪ	ˈʏ	0.173
ˈɪ	ˈɛi̯	0.107
ˈɪ	ˈɛ	0.098
ˈɪ	ˈoː	0.07
ˈɪː	ˈeː	0.395
ˈɪː	ˈoː	0.262
ˈɪː	ˈɪ	0.24
ˈɪː	ˈɛi̯	0.103
ˈʏ	ˈɔ	0.354
ˈʏ	ˈʏ	0.219
ˈʏ	ʋ_ˈɔ	0.179
ˈʏ	ˈœy̯	0.101
ˈʏ	ˈɑu̯	0.069
ˈʏː	ˈoː	0.446
ˈʏː	ˈyː	0.294
ˈʏː	ˈi	0.097
ˈʏː	ˈɔ	0.097
ˈʏː	ˈeː	0.067
θ	d	0.921
θ	j	0.079
